Số đơn hàng,Mã sản phẩm,Tên sản phẩm,Công việc,Tên công việc,Mã nhóm,Mã mặt hàng,Tên mặt hàng,Đơn vị tính 1,Đơn vị tính 2,Số lượng (1),Số lượng (2)
SODEMO-001,TPH055092G54.34TDUPR06,"Bao TP-PP, trắng đục, PR06 Arroz, K55x92LL, TL: 54.34g/cái, không in. [Ép kiện: 1000cái/kiện, bắn đai 5 ngang x 1 dọc]",02,Công đoạn tạo sợi,TPH-1551,SOI-PR12-MI,"Sợi PP, trắng đục, 3.25mm, 670D. [15%] [MF5X]",KG,KG,4093.725,4093.725
SODEMO-001,TPH055092G54.34TDUPR06,"Bao TP-PP, trắng đục, PR06 Arroz, K55x92LL, TL: 54.34g/cái, không in. [Ép kiện: 1000cái/kiện, bắn đai 5 ngang x 1 dọc]",03,Công đoạn dệt,TPH-1552,THACAPER550080080055PR06,"Vải cuộn PP, K55.0cm, trắng đục, MĐ: 8.0x8.0, 55.0g/m (PR06).",M,KG,73440,4039.2
SODEMO-001,TPH055092G54.34TDUPR06,"Bao TP-PP, trắng đục, PR06 Arroz, K55x92LL, TL: 54.34g/cái, không in. [Ép kiện: 1000cái/kiện, bắn đai 5 ngang x 1 dọc]",15,Công đoạn cắt may tự động,BAO,CMA055092G53.23PR06,"Bao PP, trắng đục, K55.0x92.0LL(+/-1), cắt răng cưa 96.0cm, đáy gấp 1/1 đường PP1200D trắng, TL: 53.23g/cái. [PR06]",CAI,KG,75000,3992.25
SODEMO-001,TPH055092G54.34TDUPR06,"Bao TP-PP, trắng đục, PR06 Arroz, K55x92LL, TL: 54.34g/cái, không in. [Ép kiện: 1000cái/kiện, bắn đai 5 ngang x 1 dọc]",34,Công đoạn ép kiện,TPH-1553,TPH055092G54.34TDUPR06,"Bao TP-PP, trắng đục, PR06 Arroz, K55x92LL, TL: 54.34g/cái, không in. [Ép kiện: 1000cái/kiện, bắn đai 5 ngang x 1 dọc]",CAI,KG,75000,4075.5
SO2309-0068,THACAVAI750100100115XAMO,"Vải áo, cuộn PP màu xám tro khổ 75cm sọc 1 biên 5cm bằng chỉ súc máy, 10x10, TL 115gr/m (nếu tráng bọc cuộn thì dệt không xẻ, nếu áo ép kiện thì không tráng và xẻ hông bên có sọc)",01,"Công đoạn tái chế (ó, tạo hạt)",SUI,SUI-TAPMAU,Sủi tạp màu.,KG,KG,7312.3,7312.3
SO2309-0068,HAT-SUITAPMAU,SỦI TẠP MÀU,01,"Công đoạn tái chế (ó, tạo hạt)",SUI,HAT-SUITAPMAU,SỦI TẠP MÀU,KG,KG,30000,30000
SO2309-0068,THACAVAI750100100115XAMO,"Vải áo, cuộn PP màu xám tro khổ 75cm sọc 1 biên 5cm bằng chỉ súc máy, 10x10, TL 115gr/m (nếu tráng bọc cuộn thì dệt không xẻ, nếu áo ép kiện thì không tráng và xẻ hông bên có sọc)",02,Công đoạn tạo sợi,TPH-1551,SOI-VA6,"Sợi PP dệt vải áo, xám tro, 1200D, 2.9mm - 3.2mm.",KG,KG,11649.2,11649.2
SO2309-0068,THACAVAI750100100115XAMO,"Vải áo, cuộn PP màu xám tro khổ 75cm sọc 1 biên 5cm bằng chỉ súc máy, 10x10, TL 115gr/m (nếu tráng bọc cuộn thì dệt không xẻ, nếu áo ép kiện thì không tráng và xẻ hông bên có sọc)",03,Công đoạn dệt,TPH-1552,THACAVAI750100100115XAMO,"Vải áo, cuộn PP màu xám tro khổ 75cm sọc 1 biên 5cm bằng chỉ súc máy, 10x10, TL 115gr/m (nếu tráng bọc cuộn thì dệt không xẻ, nếu áo ép kiện thì không tráng và xẻ hông bên có sọc)",M,KG,100000,11500
SO2309-0067,0102125067000000,"Vải cuộn PP, tráng hấp PE, trắng đục, K51.0cm, MĐ: 8.0x8.0, TL: 84.5g/m. [3000m/cuộn] [900D, 8x8]",02,Công đoạn tạo sợi,TPH-1551,SOI-SP30-1,"Sợi PP, 820D, 2.91mm, trắng đục. [22.7%]",KG,KG,8227.524,8227.524
SO2309-0067,0102125067000000,"Vải cuộn PP, tráng hấp PE, trắng đục, K51.0cm, MĐ: 8.0x8.0, TL: 84.5g/m. [3000m/cuộn] [900D, 8x8]",02,Công đoạn tạo sợi,TPH-1551,SOI-SP30-1,"Sợi PP, 820D, 2.91mm, trắng đục. [22.7%]",KG,KG,16455.048,16455.048
SO2309-0067,0102125061000000,"Vải cuộn PP, tráng hấp PE, trắng đục, K58.5cm, MĐ: 8.0x8.0, TL: 100.0g/m. [3000m/cuộn] [920D, 8x8]",02,Công đoạn tạo sợi,TPH-1551,SOI-GL16-4,"Sợi PP, trắng đục, 850D, 2.91mm. [22.7TC] [No Recycled]",KG,KG,2400.99,2400.99
SO2309-0067,0102125067000000,"Vải cuộn PP, tráng hấp PE, trắng đục, K51.0cm, MĐ: 8.0x8.0, TL: 84.5g/m. [3000m/cuộn] [900D, 8x8]",03,Công đoạn dệt,TPH-1552,THACUSAN520085080064TRDU,"Vải cuộn PP, trắng đục, dệt lồng PE, K52.0cm, TL: PP 64.5g/m + HDPE 20.0g/m = 84.5g/m.",M,KG,125860,10635.17
SO2309-0067,0102125067000000,"Vải cuộn PP, tráng hấp PE, trắng đục, K51.0cm, MĐ: 8.0x8.0, TL: 84.5g/m. [3000m/cuộn] [900D, 8x8]",03,Công đoạn dệt,TPH-1552,THACUSAN520085080064TRDU,"Vải cuộn PP, trắng đục, dệt lồng PE, K52.0cm, TL: PP 64.5g/m + HDPE 20.0g/m = 84.5g/m.",M,KG,251720,21270.34
SO2309-0067,0102125061000000,"Vải cuộn PP, tráng hấp PE, trắng đục, K58.5cm, MĐ: 8.0x8.0, TL: 100.0g/m. [3000m/cuộn] [920D, 8x8]",03,Công đoạn dệt,TPH-1552,THACUHAL595085080778TRDU,"Vải cuộn PP dệt lồng PE, trắng đục, K59.5cm, TL: PP-77.8g/m + HDPE-22.2g/m = 100.0g/m.",M,KG,30450,3045
SO2309-0067,0102125061000000,"Vải cuộn PP, tráng hấp PE, trắng đục, K58.5cm, MĐ: 8.0x8.0, TL: 100.0g/m. [3000m/cuộn] [920D, 8x8]",07,Công đoạn thổi túi (HDPE - LDPE-LLDPE),THA,HDPE597222TD,"Cuộn HDPE, K59.7cm, 22.2g/m, 22.0mic, trắng đục.",M,KG,30861.09,685.116198
SO2309-0067,0102125067000000,"Vải cuộn PP, tráng hấp PE, trắng đục, K51.0cm, MĐ: 8.0x8.0, TL: 84.5g/m. [3000m/cuộn] [900D, 8x8]",07,Công đoạn thổi túi (HDPE - LDPE-LLDPE),THA,HDPE523020TD,"Cuộn HDPE, K52.3cm, 20.0g/m, 22.0mic, trắng đục.",M,KG,127559.42,2551.1884
SO2309-0067,0102125067000000,"Vải cuộn PP, tráng hấp PE, trắng đục, K51.0cm, MĐ: 8.0x8.0, TL: 84.5g/m. [3000m/cuộn] [900D, 8x8]",07,Công đoạn thổi túi (HDPE - LDPE-LLDPE),THA,HDPE523020TD,"Cuộn HDPE, K52.3cm, 20.0g/m, 22.0mic, trắng đục.",M,KG,255118.84,5102.3768
SO2309-0067,0102125061000000,"Vải cuộn PP, tráng hấp PE, trắng đục, K58.5cm, MĐ: 8.0x8.0, TL: 100.0g/m. [3000m/cuộn] [920D, 8x8]",10,Công đoạn tráng hấp,TPH-1552,0102125061000000,"Vải cuộn PP, tráng hấp PE, trắng đục, K58.5cm, MĐ: 8.0x8.0, TL: 100.0g/m. [3000m/cuộn] [920D, 8x8]",M,KG,30000,3000
SO2309-0067,0102125067000000,"Vải cuộn PP, tráng hấp PE, trắng đục, K51.0cm, MĐ: 8.0x8.0, TL: 84.5g/m. [3000m/cuộn] [900D, 8x8]",10,Công đoạn tráng hấp,TPH-1552,0102125067000000,"Vải cuộn PP, tráng hấp PE, trắng đục, K51.0cm, MĐ: 8.0x8.0, TL: 84.5g/m. [3000m/cuộn] [900D, 8x8]",M,KG,124000,10478
SO2309-0067,0102125067000000,"Vải cuộn PP, tráng hấp PE, trắng đục, K51.0cm, MĐ: 8.0x8.0, TL: 84.5g/m. [3000m/cuộn] [900D, 8x8]",10,Công đoạn tráng hấp,TPH-1552,0102125067000000,"Vải cuộn PP, tráng hấp PE, trắng đục, K51.0cm, MĐ: 8.0x8.0, TL: 84.5g/m. [3000m/cuộn] [900D, 8x8]",M,KG,248000,20956
SO2309-0066,MLD455068G496CA00.DW,"[MMLD] Bao PP, màu cam, K45.5x68.0PB, miệng 1 lần/may 1 đường Polyester + luồn dây cước xanh 130cm(cũ 125+/-4cm), TL: 49.60g/cái, không in. [May miệng bỏ dây luồn vào bên trong]",02,Công đoạn tạo sợi,TPH-1551,SOI-DCA-01,"Sợi PP, màu cam, 710D, 2.60mm.",KG,KG,19465.6,19465.6
SO2309-0066,MLD455068G496TDSD.DW,"[MMLD] Bao PP, trắng đục + 4 sọc đỏ 1.5cm cách biên 1.5cm, K45.5x68.0PB, miệng 1 lần/may 1 đường Polyester + luồn dây cước xanh 130cm(cũ 125+/-4cm), TL: 49.6gr/cái, bao không in. [May miệng bỏ dây luồn vào bên trong]",02,Công đoạn tạo sợi,TPH-1551,SOI-PR25,"Sợi PP, màu đỏ, 710D, 3.3mm, 4.3kgF, 20%. (Đỏ EMH4022, cũ 750D)",KG,KG,932.4,932.4
SO2309-0066,MLD455068G496TDSD.DW,"[MMLD] Bao PP, trắng đục + 4 sọc đỏ 1.5cm cách biên 1.5cm, K45.5x68.0PB, miệng 1 lần/may 1 đường Polyester + luồn dây cước xanh 130cm(cũ 125+/-4cm), TL: 49.6gr/cái, bao không in. [May miệng bỏ dây luồn vào bên trong]",02,Công đoạn tạo sợi,TPH-1551,SOI-DTD-01-1,"Sợi PP, màu trắng, 720D, 2.60mm.",KG,KG,28266.6,28266.6
SO2309-0066,MLD455068G496CA00.DW,"[MMLD] Bao PP, màu cam, K45.5x68.0PB, miệng 1 lần/may 1 đường Polyester + luồn dây cước xanh 130cm(cũ 125+/-4cm), TL: 49.60g/cái, không in. [May miệng bỏ dây luồn vào bên trong]",03,Công đoạn dệt,TPH-1552,THACADOW455100110062CA00,"Vải cuộn PP, màu cam, K45.5cm, dệt 3x1/tự do (dệt máy 6 thoi kiểu dệt 2x1/5x1), MĐ: 10.0x11.0, TL: 62.0g/m. [68gsm]",M,KG,309781.6,19206.4592
SO2309-0066,MLD455068G496TDSD.DW,"[MMLD] Bao PP, trắng đục + 4 sọc đỏ 1.5cm cách biên 1.5cm, K45.5x68.0PB, miệng 1 lần/may 1 đường Polyester + luồn dây cước xanh 130cm(cũ 125+/-4cm), TL: 49.6gr/cái, bao không in. [May miệng bỏ dây luồn vào bên trong]",03,Công đoạn dệt,TPH-1552,THACADOW455100110062TDSD,"Vải cuộn PP, trắng đục + 4 line ĐỎ 1.5cm cách biên 1.5cm, K45.5cm(+/-0.5), MĐ: 10.0x11.0, kiểu dệt 2x1/5x1 (cũ 3 xếp 1/dệt tự do), TL: 62.0g/m(+/-1.8).",M,KG,464672.4,28809.6888
SO2309-0066,MLD455068G496CA00.DW,"[MMLD] Bao PP, màu cam, K45.5x68.0PB, miệng 1 lần/may 1 đường Polyester + luồn dây cước xanh 130cm(cũ 125+/-4cm), TL: 49.60g/cái, không in. [May miệng bỏ dây luồn vào bên trong]",15,Công đoạn cắt may tự động,BAO,CMA455071G475CA00.DW,"[Cắt, may đáy] Bao PP, màu cam, K45.5x71PB, cắt thẳng 76.0cm, đáy 2 lần/1 đường PP1200D trắng, TL: 47.5gr/cái. [100cái/tép]",CAI,KG,400400,19019
SO2309-0066,MLD455068G496TDSD.DW,"[MMLD] Bao PP, trắng đục + 4 sọc đỏ 1.5cm cách biên 1.5cm, K45.5x68.0PB, miệng 1 lần/may 1 đường Polyester + luồn dây cước xanh 130cm(cũ 125+/-4cm), TL: 49.6gr/cái, bao không in. [May miệng bỏ dây luồn vào bên trong]",15,Công đoạn cắt may tự động,BAO,CMA455071G475TDSD.DW,"[Cắt, may đáy] Bao PP, màu trắng đục + 4 sọc đỏ 1.5cm cách biên 1.5cm, khổ 45.5x71PB(+/-1), cắt thẳng dài 76cm, bẻ đáy 2 lần may 1 đường PP1200D, TL: 47.5gr/cái.",CAI,KG,600600,28528.5
SO2309-0066,MLD455068G496CA00.DW,"[MMLD] Bao PP, màu cam, K45.5x68.0PB, miệng 1 lần/may 1 đường Polyester + luồn dây cước xanh 130cm(cũ 125+/-4cm), TL: 49.60g/cái, không in. [May miệng bỏ dây luồn vào bên trong]",19,Công đoạn may viền miệng,MAY,MLD455068G496CA00.DW,"[MMLD] Bao PP, màu cam, K45.5x68.0PB, miệng 1 lần/may 1 đường Polyester + luồn dây cước xanh 130cm(cũ 125+/-4cm), TL: 49.60g/cái, không in. [May miệng bỏ dây luồn vào bên trong]",BAO,KG,400000,19840
SO2309-0066,MLD455068G496TDSD.DW,"[MMLD] Bao PP, trắng đục + 4 sọc đỏ 1.5cm cách biên 1.5cm, K45.5x68.0PB, miệng 1 lần/may 1 đường Polyester + luồn dây cước xanh 130cm(cũ 125+/-4cm), TL: 49.6gr/cái, bao không in. [May miệng bỏ dây luồn vào bên trong]",19,Công đoạn may viền miệng,MAY,MLD455068G496TDSD.DW,"[MMLD] Bao PP, trắng đục + 4 sọc đỏ 1.5cm cách biên 1.5cm, K45.5x68.0PB, miệng 1 lần/may 1 đường Polyester + luồn dây cước xanh 130cm(cũ 125+/-4cm), TL: 49.6gr/cái, bao không in. [May miệng bỏ dây luồn vào bên trong]",BAO,KG,600000,29760
SO2309-0065,TPH073122TDLAH5,"Bao TP-PP, trắng đục, K73x122LL (+/-1), TL: 155g/cái (+/-5%), không in (5001491). [EK: 500cái/kiện, MK nhận dạng bên ngoài, bắn đai 6 ngang x 1 dọc]",02,Công đoạn tạo sợi,TPH-1551,SOI-PRE2,"Sợi PP, trắng đục, 820D, 2.55mm. [Non-recycled]",KG,KG,11940.525,11940.525
SO2309-0065,TPH073122TDLAH5,"Bao TP-PP, trắng đục, K73x122LL (+/-1), TL: 155g/cái (+/-5%), không in (5001491). [EK: 500cái/kiện, MK nhận dạng bên ngoài, bắn đai 6 ngang x 1 dọc]",03,Công đoạn dệt,TPH-1552,THACALAH730105110118TR50,"Cuộn PP, trắng đục, K73cm (+/-1), MĐ: 10.5x11, TL: 118g/m. (500N)",M,KG,97345.5,11486.769
SO2309-0065,TPH073122TDLAH5,"Bao TP-PP, trắng đục, K73x122LL (+/-1), TL: 155g/cái (+/-5%), không in (5001491). [EK: 500cái/kiện, MK nhận dạng bên ngoài, bắn đai 6 ngang x 1 dọc]",15,Công đoạn cắt may tự động,BAO,CMA073122TDLAH5,"Bao PP, trắng đục, K73x122LL (+/-1), cắt thẳng 127cm, gấp đáy 1 lần may 2 đường PP900D, TL: 150.76g/cái (+/-3%). (500N)",CAI,KG,75000,11307
SO2309-0065,TPH073122TDLAH5,"Bao TP-PP, trắng đục, K73x122LL (+/-1), TL: 155g/cái (+/-5%), không in (5001491). [EK: 500cái/kiện, MK nhận dạng bên ngoài, bắn đai 6 ngang x 1 dọc]",34,Công đoạn ép kiện,TPH-1553,TPH073122TDLAH5,"Bao TP-PP, trắng đục, K73x122LL (+/-1), TL: 155g/cái (+/-5%), không in (5001491). [EK: 500cái/kiện, MK nhận dạng bên ngoài, bắn đai 6 ngang x 1 dọc]",CAI,KG,75000,11625
SO2309-0064,0119117002002000,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: BLUE HORSE R-CANAI (5000038). [EK: 500cái/kiện, MK nhận dạng bên ngoài, bắn đai 4 ngang x 1 dọc]/TPH050076TDLAH.BLHORCA",01,"Công đoạn tái chế (ó, tạo hạt)",SUI,SUI-TRANG,Sủi trắng,KG,KG,41.526,41.526
SO2309-0064,0119117002004000,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: CAP KILANG (5000072). [EK: 500cái/kiện, MK nhận dạng bên ngoài, bắn đai 4 ngang x 1 dọc]",01,"Công đoạn tái chế (ó, tạo hạt)",SUI,SUI-TRANG,Sủi trắng,KG,KG,59.784,59.784
SO2309-0064,0119117002003000,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: B-MURAI 68N (5000050). [EK: 500cái/kiện, MK nhận dạng bên ngoài, bắn đai 4 ngang x 1 dọc]/TPH050076TDLAH.BMU68N",02,Công đoạn tạo sợi,TPH-1551,SOI-SP22,"Sợi PP màu trắng đục, 830D, 2.55mm, 3.4KgF, 20%, long đền 5.7mm.",KG,KG,2372.826,2372.826
SO2309-0064,0119117002004000,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: CAP KILANG (5000072). [EK: 500cái/kiện, MK nhận dạng bên ngoài, bắn đai 4 ngang x 1 dọc]",02,Công đoạn tạo sợi,TPH-1551,SOI-SP22,"Sợi PP màu trắng đục, 830D, 2.55mm, 3.4KgF, 20%, long đền 5.7mm.",KG,KG,279.156,279.156
SO2309-0064,0119117002012000,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: RAMA2 R-CANAI (5000283). [EK: 500cái/kiện, MK nhận dạng bên ngoài, bắn đai 4 ngang x 1 dọc]/TPH050076TDLAH.RAMA2RCA",02,Công đoạn tạo sợi,TPH-1551,SOI-SP22,"Sợi PP màu trắng đục, 830D, 2.55mm, 3.4KgF, 20%, long đền 5.7mm.",KG,KG,348.945,348.945
SO2309-0064,0119117002010000,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: RAMA2 128 (2+0) (5000253). [EK: 500cái/kiện, MK nhận dạng bên ngoài, bắn đai 4 ngang x 1 dọc]/TPH050076TDLAH.RAMA128",02,Công đoạn tạo sợi,TPH-1551,SOI-SP22,"Sợi PP màu trắng đục, 830D, 2.55mm, 3.4KgF, 20%, long đền 5.7mm.",KG,KG,1257.444,1257.444
SO2309-0064,0119117002011000,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: RAMA2 138 (3+0) (5000255). [EK: 500cái/kiện, MK nhận dạng bên ngoài, bắn đai 4 ngang x 1 dọc]/TPH050076TDLAH.RAMA138",02,Công đoạn tạo sợi,TPH-1551,SOI-SP22,"Sợi PP màu trắng đục, 830D, 2.55mm, 3.4KgF, 20%, long đền 5.7mm.",KG,KG,418.734,418.734
SO2309-0064,0119117002008000,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: ORANGE LV (5000213). [EK: 500cái/kiện, MK nhận dạng bên ngoài, bắn đai 4 ngang x 1 dọc]/TPH050076TDLAH.ORLV",02,Công đoạn tạo sợi,TPH-1551,SOI-SP22,"Sợi PP màu trắng đục, 830D, 2.55mm, 3.4KgF, 20%, long đền 5.7mm.",KG,KG,349.29,349.29
SO2309-0064,0119117002006000,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: GRN HORSE (5000145). [EK: 500cái/kiện, MK nhận dạng bên ngoài, bắn đai 4 ngang x 1 dọc]/TPH050076TDLAH.GRNHO",02,Công đoạn tạo sợi,TPH-1551,SOI-SP22,"Sợi PP màu trắng đục, 830D, 2.55mm, 3.4KgF, 20%, long đền 5.7mm.",KG,KG,977.046,977.046
SO2309-0064,0119117002016000,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: SFFM 99 (5000305). [EK: 500cái/kiện, MK nhận dạng bên ngoài, bắn đai 4 ngang x 1 dọc]/TPH050076TDLAH.SFFM99",02,Công đoạn tạo sợi,TPH-1551,SOI-SP22,"Sợi PP màu trắng đục, 830D, 2.55mm, 3.4KgF, 20%, long đền 5.7mm.",KG,KG,1051.8,1051.8
