Số chứng từ,Ngày tạo,Người tạo,Loại kế hoạch,Ghi chú 1,Mã vật tư,Tên vật tư,Đvt 1,Số lượng (1),HSQĐ,Đvt 2,Số lượng (2),Ghi chú 2,Mục đích sử dụng,Ngày sử dụng
EP2305-0058,5/16/2023,Nguyễn Dũng Trung,Theo bộ phận,"SO2305-0011 - DONGWON
Dây đai ép kiện màu vàng",0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",CUON,10,0.01,KG,0.1,SO2305-0011,,6/23/2023
EP2305-0058,5/16/2023,Nguyễn Dũng Trung,Theo bộ phận,"SO2305-0011 - DONGWON
Dây đai ép kiện màu vàng",0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",CUON,10,0.01,KG,0.1,SO2305-0011,,7/7/2023
EP2305-0058,5/16/2023,Nguyễn Dũng Trung,Theo bộ phận,"SO2305-0011 - DONGWON
Dây đai ép kiện màu vàng",0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",CUON,10,0.01,KG,0.1,SO2305-0011,,7/21/2023
EP2305-0058,5/16/2023,Nguyễn Dũng Trung,Theo bộ phận,"SO2305-0011 - DONGWON
Dây đai ép kiện màu vàng",0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",CUON,6,0.01,KG,0.06,SO2305-0011,,8/4/2023
EP2306-0063,6/19/2023,Nguyễn Dũng Trung,Theo bộ phận,"SO2306-0035 - 48 LUMUT
SO2306-0035 - 48 LUMUT
SO2306-0036 - INTER",0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",CUON,1,10,KG,10,SO2306-0035 - 48 LUMUT,,6/23/2023
EP2307-0062,7/20/2023,Nguyễn Dũng Trung,Theo bộ phận,"Chỉ may PP 900D - Dây đai ép kiện
SO2307-0038 - Inter
SO2307-0040 - 48 Lumut
SO2307-0041 - Inter",0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",CUON,2,10,KG,20,SO2307-0040 - 48 Lumut,,7/28/2023
EP2307-0075,7/26/2023,Nguyễn Dũng Trung,Theo bộ phận,DONGWON,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,10,1,KG,10,SO2305-0011,,7/27/2023
EP2307-0094,7/31/2023,Nguyễn Dũng Trung,Theo bộ phận,DONGWON [SO TỔNG],0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,10,1,KG,10,SO2307-0075 - DONGWON [SO TỔNG],,8/3/2023
EP2308-0043,8/14/2023,Nguyễn Dũng Trung,Theo bộ phận,"SO2307-0075 - DONGWON - ĐẶT SLCL
SO2308-0021 - KIỀU VĂN LỊCH",0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,15,1,KG,15,,,8/16/2023
EP2308-0067,8/18/2023,Nguyễn Dũng Trung,Theo bộ phận,HANWA - HARVEST - SANPOLY - HALSTON - TƯ TRÚC - MATANG - DONGWON,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,25,1,KG,25,,,8/23/2022
