Ngày lập đơn,Số yêu cầu,Diễn giải,Yêu cầu mua hàng,Đơn đặt hàng,Mã mặt hàng,Tên mặt hàng,Đơn vị tính 1,Hệ số,Đơn vị tính 2,Số lượng (1),Số lượng (2)
8/2/2023,LN08/23-007,Mua hàng theo yêu cầu số PR23/06-048,PR23/06-048,PO06/23-092,0909100020000000,YẾM THOI LOHIA Mã: 11130521200,Cái,1,Cái,52,52
8/11/2023,LN08/23-045,Mua hàng theo yêu cầu số PR23/06-048,PR23/06-048,PO06/23-092,0909100020000000,YẾM THOI LOHIA Mã: 11130521200,Cái,1,Cái,23,23
9/28/2023,LN09/23-116,ĐẶT KHẮC PRESTSI - KHẮC NGHỊCH 5MM.,PR23/09-076,PO09/23-094,5200107320000000,Yellow Horse,CM2,1,CM2,2679,2679
8/27/2023,LN08/23-107,ĐẶT KHẮC THUẬN 4MM - ĐƠN HÀNG DONGWON PRESTASI (SO2306-0006)-PO9,PR23/08-052,PO08/23-088,5200107310000000,Yellow Globe,CM2,1,CM2,2709,2709
6/21/2023,LN06/23-086,"Nhập theo YCNK số IR2306-0006 (ứng với PO2305-0043).
- Nhập thừa hưởng từ ERP",,PO06/23-091,0908100011000000,xi măng sao mai,BAO,1,BAO,15,15
6/30/2023,LN06/23-121,Ốp đá và sơn lại Nhà văn phồng,PR23/06-077,PO06/23-123,0908100011000000,xi măng sao mai,BAO,1,BAO,5,5
7/28/2023,LN07/23-101,Đề xuất mua xi măng sao mai lót đá hoa cương cho bậc đi bồn rửa tay<và KHSDVT 60 Và 64,PR23/07-049,PO07/23-074,0908100011000000,xi măng sao mai,BAO,1,BAO,6,6
9/26/2023,LN09/23-104,Vật Tư lắp dặt chậu rửa cho bếp PO2309/061/078,PR23/09-063,PO09/23-078,0908100011000000,xi măng sao mai,BAO,0.33333,BAO,50,16.6665
7/17/2023,LN07/23-052,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG CHINA (+ INTER: SO2307-0013+SO2307-0019 PO07/23-045.,PR23/07-030,PO07/23-045,MDM-FL79,Xanh Lá 79 FL,KG,1,KG,50,50
9/27/2023,LN09/23-111,ĐĂT MỰC IN TRỰC TIẾP ĐƠN HÀNG PRESTASI-DONGWON.SO2306-0007+SO2309-0016,PR23/09-074,PO09/23-092,MDM-FL79,Xanh Lá 79 FL,KG,1,KG,50,50
7/17/2023,LN07/23-052,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG CHINA (+ INTER: SO2307-0013+SO2307-0019 PO07/23-045.,PR23/07-030,PO07/23-045,MDM-FL348,Xanh lá 348C,KG,1,KG,150,150
6/13/2023,LN06/23-037,Nhập kho theo PO23/06-042,PR23/06-026,PO06/23-042,MDM-FLXL3415CGT,Xanh Lá 3415C FL gián tiếp,KG,1,KG,34,34
8/9/2023,LN08/23-037,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG INTER- MFM: SO2307-0078 +SO2307-0080,PR23/08-005,PO08/23-029,MDM-FLXL3415CGT,Xanh Lá 3415C FL gián tiếp,KG,1,KG,51,51
8/22/2023,LN08/23-089,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG PRESTASI + INTER( SO2308-0027+SO2306-0006) PO08/23-065.,PR23/08-039,PO08/23-065,MDM-FLXL3415CGT,Xanh Lá 3415C FL gián tiếp,KG,1,KG,51,51
9/5/2023,LN09/23-012,ĐẶT MỰC IN GIÀN TIẾP ĐƠN HANG 48 MFM- SO2308-0020,PR23/08-058,PO08/23-106,MDM-FLXL3415CGT,Xanh Lá 3415C FL gián tiếp,KG,1,KG,48,48
9/18/2023,LN09/23-060,ĐẶT MỰC IN GIÁN TIẾP ĐƠN HÀNG 66 LUMUT-SO2309-0004,PR23/09-037,PO09/23-043,MDM-FLXL3415CGT,Xanh Lá 3415C FL gián tiếp,KG,1,KG,32,32
9/28/2023,LN09/23-112,ĐẶT MỰC IN GIÁN TIẾP - ĐƠN HÀNG 48 MFM- SGX,PR23/09-075,PO09/23-091,MDM-FLXL3415CGT,Xanh Lá 3415C FL gián tiếp,KG,1,KG,80,80
7/8/2023,LN07/23-027,Nhập kho theu YCNK LN07/23-027: Mua hàng theo YCMH số ĐẶT MỰC IN TRỰC TIẾP- ĐƠN HÀNG DONGWON PO 3+ PRESTASI + INTER,PR23/07-006,PO07/23-010,MDM-FLXL3415C,Xanh Lá 3415C FL,KG,1,KG,50,50
