Mã phi?u,Ng??i t?o,Ngày t?o,Mã yêu c?u,Mã v?t t?,Tên v?t t?,?vt (01),S? L??NG (01),?VT (02),S? L??NG (02),NGÀY C?N,Ti?n t?,??n giá,Ti?n thu?,T?ng ti?n,Mã NCC,Tên NCC
PO07/23-061,Nguy?n Th? ?ào,7/21/2023,PR23/07-045,0500100020000000,"Dây ?ai ép ki?n, màu vàng, K15.0mm, TL: 10.0g/m.",CUON,2,KG,20,,VND,230000,0,460000,NCC010053,TR?N H?U THÀNH _ V?T T? NHÀ MÁY
PO07/23-087,Nguy?n Th? ?ào,7/28/2023,PR23/07-058,0500100020000000,"Dây ?ai ép ki?n, màu vàng, K15.0mm, TL: 10.0g/m.",Cu?n,50,KG,50,,VND,415000,1660000,20750000,NCC010041,CÔNG TY TNHH DAE DUK BAND VI?T NAM
PO08/23-061,Y Nghe Knul,8/18/2023,PR23/08-028,0500100020000000,"Dây ?ai ép ki?n, màu vàng, K15.0mm, TL: 10.0g/m.",Cu?n,15,KG,15,,VND,415000,498000,6225000,NCC010041,CÔNG TY TNHH DAE DUK BAND VI?T NAM
PO08/23-061,Y Nghe Knul,8/18/2023,PR23/08-003,0500100020000000,"Dây ?ai ép ki?n, màu vàng, K15.0mm, TL: 10.0g/m.",Cu?n,10,KG,10,,VND,415000,332000,4150000,NCC010041,CÔNG TY TNHH DAE DUK BAND VI?T NAM
PO08/23-074,Nguy?n Th? ?ào,8/21/2023,PR23/08-043,0500100020000000,"Dây ?ai ép ki?n, màu vàng, K15.0mm, TL: 10.0g/m.",Cu?n,25,KG,25,,VND,415000,830000,10375000,NCC010041,CÔNG TY TNHH DAE DUK BAND VI?T NAM
PO09/23-040,Y Nghe Knul,9/12/2023,PR23/09-032,0500100020000000,"Dây ?ai ép ki?n, màu vàng, K15.0mm, TL: 10.0g/m.",Cu?n,50,KG,50,,VND,415000,1660000,20750000,NCC010041,CÔNG TY TNHH DAE DUK BAND VI?T NAM
PO09/23-057,Y Nghe Knul,9/18/2023,PR23/09-042,0500100020000000,"Dây ?ai ép ki?n, màu vàng, K15.0mm, TL: 10.0g/m.",Cu?n,50,KG,50,,VND,415000,1660000,20750000,NCC010041,CÔNG TY TNHH DAE DUK BAND VI?T NAM
PO11/23-008,Nguy?n Th? ?ào,11/2/2023,PR23/11-006,0500100020000000,"Dây ?ai ép ki?n, màu vàng, K15.0mm, TL: 10.0g/m.",Cu?n,59,KG,590,,VND,415000,1958800,24485000,NCC010041,CÔNG TY TNHH DAE DUK BAND VI?T NAM
PO12/23-035,Nguy?n Th? ?ào,12/13/2023,PR23/12-031,0500100020000000,"Dây ?ai ép ki?n, màu vàng, K15.0mm, TL: 10.0g/m.",Cu?n,50,KG,500,,VND,415000,1660000,20750000,NCC010041,CÔNG TY TNHH DAE DUK BAND VI?T NAM
PO01/24-071,Nguy?n Th? ?ào,1/23/2024,PR24/01-069,0500100020000000,"Dây ?ai ép ki?n, màu vàng, K15.0mm, TL: 10.0g/m.",Cu?n,100,KG,1000,,VND,415000,3320000,41500000,NCC010041,CÔNG TY TNHH DAE DUK BAND VI?T NAM
PO03/24-042,Nguy?n Th? ?ào,3/13/2024,PR24/03-038,0500100020000000,"Dây ?ai ép ki?n, màu vàng, K15.0mm, TL: 10.0g/m.",Cu?n,100,KG,1000,,VND,415000,3320000,41500000,NCC010041,CÔNG TY TNHH DAE DUK BAND VI?T NAM
