Ngày,Đơn hàng,Khách hàng,Mã hàng,Tên hàng,ĐVT 1,ĐVT 2,Số lượng 1,Số lượng 2,Ngày dự kiến giao hàng,Ghi chú
9/28/2023,SO2309-0066,Công Ty TNHH Sản Xuất Thương Mại Thái Anh,MLD455068G496CA00.DW,"[MMLD] Bao PP, màu cam, K45.5x68.0PB, miệng 1 lần/may 1 đường Polyester + luồn dây cước xanh 130cm(cũ 125+/-4cm), TL: 49.60g/cái, không in. [May miệng bỏ dây luồn vào bên trong]",BAO,KG,400000,19840,10/6/2023,
9/28/2023,SO2309-0066,Công Ty TNHH Sản Xuất Thương Mại Thái Anh,MLD455068G496TDSD.DW,"[MMLD] Bao PP, trắng đục + 4 sọc đỏ 1.5cm cách biên 1.5cm, K45.5x68.0PB, miệng 1 lần/may 1 đường Polyester + luồn dây cước xanh 130cm(cũ 125+/-4cm), TL: 49.6gr/cái, bao không in. [May miệng bỏ dây luồn vào bên trong]",BAO,KG,600000,29760,10/6/2023,
9/14/2023,SO2309-0035,AGRIFEED,0119101001001000,"Bao TP-PP, trắng đục, K56x81LL, TL: 62g/cái, đáy 1 lần/2 đường PP900D, cắt ZIGZAG, MK: AGRIFEED 25KGS (4+0). [Ép kiện: 500cái/kiện, bắn đai 4 ngang x 1 dọc, 1 tem bên hông]/TPH056081G062TDAGF.AGRI.2/TPH056081G062TDAGF.AGRI.2",CAI,KG,310000,19220,10/20/2023,
7/13/2023,SO2307-0026,Công Ty TNHH Sản Xuất Thương Mại Thái Anh,BAO-048075G13HDPE.DW,"Túi HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/cái(+/-1.0). [Ghi chú: cắt nguội dài 76.5cm(+/-1), hàn đáy 2 đường].",CAI,KG,3850,50.05,7/31/2023,
6/15/2023,SO2306-0028,SARAWAK FLOUR MILL SDN BHD,TPH050076TDSAR.BBBIFL,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: BB BISCUIT FLOUR (5000005). (Có in tracking). [Tép 100cái cột dây cam, kiện 5 tép trở đầu, vải áo PP dệt xếp, có MK bên ngoài, đai 4 ngang x 1 dọc]",CAI,KG,5000,350,7/21/2023,
6/15/2023,SO2306-0031,SARAWAK FLOUR MILL SDN BHD,TPH050076TDSAR.BBBIFL,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: BB BISCUIT FLOUR (5000005). (Có in tracking). [Tép 100cái cột dây cam, kiện 5 tép trở đầu, vải áo PP dệt xếp, có MK bên ngoài, đai 4 ngang x 1 dọc]",CAI,KG,5000,350,9/22/2023,
11/29/2023,SO2311-0047,SARAWAK FLOUR MILL SDN BHD,TPH050076TDSAR.BBBIFL,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: BB BISCUIT FLOUR (5000005). (Có in tracking). [Tép 100cái cột dây cam, kiện 5 tép trở đầu, vải áo PP dệt xếp, có MK bên ngoài, đai 4 ngang x 1 dọc]",CAI,KG,6000,420,12/13/2023,
11/29/2023,SO2311-0048,SARAWAK FLOUR MILL SDN BHD,TPH050076TDSAR.BBBIFL,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: BB BISCUIT FLOUR (5000005). (Có in tracking). [Tép 100cái cột dây cam, kiện 5 tép trở đầu, vải áo PP dệt xếp, có MK bên ngoài, đai 4 ngang x 1 dọc]",CAI,KG,3000,210,2/1/2024,
11/29/2023,SO2311-0049,SARAWAK FLOUR MILL SDN BHD,TPH050076TDSAR.BBBIFL,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: BB BISCUIT FLOUR (5000005). (Có in tracking). [Tép 100cái cột dây cam, kiện 5 tép trở đầu, vải áo PP dệt xếp, có MK bên ngoài, đai 4 ngang x 1 dọc]",CAI,KG,3000,210,4/1/2024,
11/29/2023,SO2311-0049,SARAWAK FLOUR MILL SDN BHD,TPH050076TDSAR.BBCRFL,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: BB CRACKER FLOUR (5000006). (Có in tracking) [Tép 100cái cột dây cam, kiện 5 tép trở đầu, vải áo PP dệt xếp, có MK bên ngoài, đai 4 ngang x 1 dọc]",CAI,KG,5000,350,4/1/2024,
11/29/2023,SO2311-0049,SARAWAK FLOUR MILL SDN BHD,TPH050076TDSAR.BLHO,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: BLUE HORSE (5000037). (Có in tracking). [Tép 100cái cột dây cam, kiện 5 tép trở đầu, vải áo PP dệt xếp, có MK bên ngoài, đai 4 ngang x 1 dọc]",CAI,KG,1000,70,4/1/2024,
6/15/2023,SO2306-0031,SARAWAK FLOUR MILL SDN BHD,TPH050076TDSAR.BLHO,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: BLUE HORSE (5000037). (Có in tracking). [Tép 100cái cột dây cam, kiện 5 tép trở đầu, vải áo PP dệt xếp, có MK bên ngoài, đai 4 ngang x 1 dọc]",CAI,KG,6000,420,9/22/2023,
6/15/2023,SO2306-0031,SARAWAK FLOUR MILL SDN BHD,TPH050076TDSAR.BLHOCK,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: BLUE HORSE CK (5000032). (Có in tracking). [Tép 100cái cột dây cam, kiện 5 tép trở đầu, vải áo PP dệt xếp, có MK bên ngoài, đai 4 ngang x 1 dọc]",CAI,KG,40000,2800,9/22/2023,
6/15/2023,SO2306-0028,SARAWAK FLOUR MILL SDN BHD,TPH050076TDSAR.BLHOCK,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: BLUE HORSE CK (5000032). (Có in tracking). [Tép 100cái cột dây cam, kiện 5 tép trở đầu, vải áo PP dệt xếp, có MK bên ngoài, đai 4 ngang x 1 dọc]",CAI,KG,60000,4200,7/21/2023,
