Số đơn hàng,Mã sản phẩm,Tên sản phẩm,Công việc,Tên công việc,Mã nhóm,Mã mặt hàng,Tên mặt hàng,Đơn vị tính 1,Đơn vị tính 2,Số lượng (1),Số lượng (2)
SO2401-0020,TPH041085G104TDLOT.HDPE,"Bao PP in trắng đục tráng hấp KT: 41x85.5LL(cm), gấp đáy 1 lần may 1 đường PP multiflament 900D màu trắng; TL:104.71g/cái, MK: HDPE",14,Xô hông - Xếp hông.,TPH-1552,XEHLOT041G104TRDU.HDPE,"Cuộn PP in, tráng hấp, trắng đục, K41.0cm xếp hông hai bên, mỗi bên 7cm; TL: 104.45g/89.5cm, MK: HDPE",CAI,KG,1018.2,106.35099
SO2401-0020,TPH041085G103TDLOT.HDPE,"Bao PP in trắng đục tráng hấp KT: 41x85.5LL(cm), gấp đáy 1 lần may 1 đường PP multiflament 900D màu trắng; TL:103.6g/cái, MK: HDPE",14,Xô hông - Xếp hông.,BAO,XEHLOT041G102TD.HDPE,"Manh PP trắng đục có in KT: 41.0x88.5cm, xếp hông mỗi bên 7.0cm có in marka HDPE, TL: 102.2g/cái",Cái,KG,1001,102.3022
SO2402-0021,TPH046096G108TDSPL.EP150,"Bao PP trắng đục KT: 46x96PB(cm) xếp hông mỗi bên 5cm, gấp đáy 1 lần may 1 đường PP1200D màu trắng đục; TL: 74g/cái, marka: EP1 Green 50Kg, lồng túi HDPE KT: 60x104cm; TL: 34g/cái. Tổng TL: 108.0g/bộ. Ép kiện 500bộ/kiện, bắn đai 5 ngang x 1 dọc, marka nhận",14,Xô hông - Xếp hông.,MANH,XEHSPL046G073TD.EP150,"Manh PP trắng đục có in KT: 46.0x99.0cm, xếp hông mỗi bên 5.0cm có in marka EP1 Green 50Kg, TL: 73.6g/cái",Cái,KG,50.05,3.68368
SO2404-0028,TPH041085G103TDLOT.HDPE,"Bao PP in trắng đục tráng hấp KT: 41x85.5LL(cm), gấp đáy 1 lần may 1 đường PP multiflament 900D màu trắng; TL:103.6g/cái, MK: HDPE",14,Xô hông - Xếp hông.,BAO,XEHLOT041G102TD.HDPE,"Manh PP trắng đục có in KT: 41.0x88.5cm, xếp hông mỗi bên 7.0cm có in marka HDPE, TL: 102.2g/cái",Cái,KG,200.2,20.46044
SO2404-0030,TPH041085G103TDLOT.HDPE,"Bao PP in trắng đục tráng hấp KT: 41x85.5LL(cm), gấp đáy 1 lần may 1 đường PP multiflament 900D màu trắng; TL:103.6g/cái, MK: HDPE",14,Xô hông - Xếp hông.,BAO,XEHLOT041G102TD.HDPE,"Manh PP trắng đục có in KT: 41.0x88.5cm, xếp hông mỗi bên 7.0cm có in marka HDPE, TL: 102.2g/cái",Cái,KG,200.2,20.46044
SO2406-0024,TPH046080G81TDUXH.THH01,"Bao TP-PP, tráng trong, trắng đục, in 2 mặt 3 màu,  K46x80LL( xếp hông 10cm),MK: THACH HONG-01 TL: 81.5g/cái,  đáy 1 lần/2 đường PP900D màu trắng. [Kiện 5 tép 100 cái trở đầu, vải áo dệt xếp, bắn đai 5 ngang x 1 dọc]",14,Xô hông - Xếp hông.,TPH-1552,XEHTHH460TD.THH01,"Cuộn  PP-In, tráng hấp, trắng đục, K56.0cm xếp hông hai bên, mỗi bên 5.0cm,thành phẩm K46.0cm MK:THACH HONG - 01, TL: 81.25g/85cm.",Cái,KG,1.025,0.083281
SO2406-0047,TPH046080G81TDUXH.THH01,"Bao TP-PP, tráng trong, trắng đục, in 2 mặt 3 màu,  K46x80LL( xếp hông 10cm),MK: THACH HONG-01 TL: 81.5g/cái,  đáy 1 lần/2 đường PP900D màu trắng. [Kiện 5 tép 100 cái trở đầu, vải áo dệt xếp, bắn đai 5 ngang x 1 dọc]",14,Xô hông - Xếp hông.,TPH-1552,XEHTHH460TD.THH01,"Cuộn  PP-In, tráng hấp, trắng đục, K56.0cm xếp hông hai bên, mỗi bên 5.0cm,thành phẩm K46.0cm MK:THACH HONG - 01, TL: 81.25g/85cm.",Cái,KG,51250,4164.0625
SO2402-0040,0119110020000000,"Bao Val-TP, trắng đục, tráng ngoài, K51.0x75.0PB, TL: 75.0g/cái. [500cái/kiện] [Bắn đai 5 đai ngang x 1 dọc]",11,Xăm lỗ,TPH-1552,XLOHAR510090TRDU,"Cuộn PP, tráng bóng ngoài, trắng đục, xăm lỗ thoát khí, K51.0cm, TL: 85.6g/m. (TL cũ: 90g/m)",M,KG,45212.65,3870.20284
SO2402-0040,TPH044064G050TDHAR,"Bao Val-TP, tráng ngoài, trắng đục, K44.0x64.0, TL: 50.0g/cái. [EK: 500cái/kiện, 4 đai ngang x 1 đai dọc]",11,Xăm lỗ,TPH-1552,XLOHAR440066TRDU,"Cuộn PP, trắng đục, tráng ngoài, K44cm, xăm lỗ thoát khí, TL: 66g/m.",M,KG,39819.8,2628.1068
SO2406-0002,TPH051070G072TDHARIMERYS,"Bao Val-TP, tráng ngoài, trắng đục, K51.0x70.0, TL: 72.0g/cái, MK: IMERYS. [EK: 500cái/kiện, 4 đai ngang x 1 đai dọc]",11,Xăm lỗ,TPH-1552,XLOHAR510090TRDU,"Cuộn PP, tráng bóng ngoài, trắng đục, xăm lỗ thoát khí, K51.0cm, TL: 85.6g/m. (TL cũ: 90g/m)",M,KG,17282.2,1479.35632
