Đơn hàng,KHSX,Khách hàng,Mã hàng,Tên hàng,Note,BOM,Loại hàng,Ngày giao,Tỉ lệ,Số lượng 1,Số lượng 2
SO2312-0057,MP24/01-001,SAN MIGUEL YAMAMURA WOVEN PRODUCTS SDN BHD,0102129003000000,"Vải manh PP, trắng đục, K127cm (Xẻ 2 hông thành 2 manh 127cm), MĐ: 7x7, TL: 76.0g/m. [4000 mét/cuộn]/THACUSMY127007007076TRDU","SAN MIGUEL, PO 4600009251, giao hàng từ tháng 1/2024",Version 1,THA,2/1/2024,0.076,2300000,174800
SO2312-0057,MP24/01-001,SAN MIGUEL YAMAMURA WOVEN PRODUCTS SDN BHD,0102129004000000,"Vải manh PP, trắng đục, K127cm (Xẻ 2 hông thành 2 manh 127cm), MĐ: 8x8, TL: 86.9g/m. [4000 mét/cuộn]/THACUSMY127080080869TRDU","SAN MIGUEL, PO 4600009251, giao hàng từ tháng 1/2024",Version 1,THA,2/1/2024,0.087,300000,26100
SO2312-0057,MP24/01-001,SAN MIGUEL YAMAMURA WOVEN PRODUCTS SDN BHD,0102129005000000,"Vải manh PP, trắng đục, K127cm (Xẻ 2 hông thành 2 manh 127cm), MĐ: 10x8, TL: 97.9g/m. [4000 mét/cuộn]/THACUSMY127100008098TRDU","SAN MIGUEL, PO 4600009251, giao hàng từ tháng 1/2024",Version 1,THA,2/1/2024,0.0979,400000,39160
SO2312-0057,MP24/01-001,SAN MIGUEL YAMAMURA WOVEN PRODUCTS SDN BHD,SOI-SMY1,"Sợi PP denier 940D, bản chỉ 2.91mm (KH Sanmiguel)","SAN MIGUEL, PO 4600009251, giao hàng từ tháng 1/2024",Version 1,THA,2/1/2024,0.0979,400000,39160
SO2312-0057,MP24/01-001,SAN MIGUEL YAMAMURA WOVEN PRODUCTS SDN BHD,SOI-SMY1,"Sợi PP denier 940D, bản chỉ 2.91mm (KH Sanmiguel)","SAN MIGUEL, PO 4600009251, giao hàng từ tháng 1/2024",Version 1,THA,2/1/2024,0.087,300000,26100
SO2312-0057,MP24/01-001,SAN MIGUEL YAMAMURA WOVEN PRODUCTS SDN BHD,SOI-SMY2,"Sợi PP denier 950D , bản chỉ 3.33mm (khách hàng San Miguel )","SAN MIGUEL, PO 4600009251, giao hàng từ tháng 1/2024",Version 1,THA,2/1/2024,0.076,2300000,174800
SO2312-0057,MP24/01-001,SAN MIGUEL YAMAMURA WOVEN PRODUCTS SDN BHD,SOI-SMY3,"Sợi PP, trắng đục, 950D, 2.50mm.","SAN MIGUEL, PO 4600009251, giao hàng từ tháng 1/2024",Version 1,THA,2/1/2024,0.0979,400000,39160
SO2401-0003,MP24/01-002,SANPOLY INDUSTRY SDN BHD,SOI-SP21-HD,"Sợi PP, màu trắng đục, 800D, bản sợi 2.55mm.",Đơn hàng Sanpoly,Version 2,THA,2/16/2024,0.094,100000,9400
SO2401-0003,MP24/01-002,SANPOLY INDUSTRY SDN BHD,SOI-GL4-4,"Sợi PP, trắng đục, 760D, 2.60mm. [No recycle]",Đơn hàng Sanpoly,Version3,THA,2/16/2024,0.078,475000,37050
SO2401-0003,MP24/01-002,SANPOLY INDUSTRY SDN BHD,0102125027000000,"Vải cuộn PP, trắng đục, K66.0cm, MĐ: 10.0x9.3, TL: 94.0g/m(+2.0/-1.0). [3500m/cuộn]/THACUSAN660100093094TRDU",Đơn hàng Sanpoly,Version 2,THA,2/16/2024,0.094,100000,9400
SO2401-0003,MP24/01-002,SANPOLY INDUSTRY SDN BHD,0102125012000000,"Vải cuộn PP, trắng đục, K56.0cm(+1/-0.5), MĐ: 10.0x9.0, TL: 78g/m (+1/-2). [3500m/cuộn]/THACUSAN560100009078TRDU",Đơn hàng Sanpoly,Version3,THA,2/16/2024,0.078,475000,37050
SO2401-0003,MP24/01-002,SANPOLY INDUSTRY SDN BHD,SUI-TRANG,Sủi trắng,Đơn hàng Sanpoly,Version 2,THA,2/16/2024,0.094,100000,9400
SO2401-0004,MP24/01-003,Halston Polyfabs Ltd (BONA VENTURES PTE LTD),0102109025000000,"Vải cuộn PP, trắng đục, hấp PE bên trong, K56.0cm, TL: 95.0g/m./HAPHAL560095TRDU",Haston giao sớm nhất có thể,Version 2,THA,1/19/2024,0.095,267000,25365
SO2401-0004,MP24/01-003,Halston Polyfabs Ltd (BONA VENTURES PTE LTD),THACUHAL570085080735TRDU,"Vải cuộn PP, trắng đục, dệt lòng PE, K57.0cm(+/-0.5), TL vải + PE: 95g/m. (TL vải: 73.5g/m, 64.5gsm)",Haston giao sớm nhất có thể,Version 2,THA,1/19/2024,0.095,267000,25365
SO2401-0004,MP24/01-003,Halston Polyfabs Ltd (BONA VENTURES PTE LTD),HDPE0027-2,"Cuộn HDPE, K57.3cm, 21.5g/m, 22.0mic, trắng đục. [Ext B: 68HD10LL22TC]",Haston giao sớm nhất có thể,Version 2,THA,1/19/2024,0.095,267000,25365
SO2401-0004,MP24/01-003,Halston Polyfabs Ltd (BONA VENTURES PTE LTD),SOI-GL16-4,"Sợi PP, trắng đục, 850D, 2.91mm. [22.7TC] [No Recycled]",Haston giao sớm nhất có thể,Version 2,THA,1/19/2024,0.095,267000,25365
SO2401-0001,MP24/01-004,COMMERCIAL CHINA PLASTIC (SAN CRISTOBAL) (DEL VALLE)(MOLINOS DEL NORTE),SOI-TM17,"Sợi PP, trắng đục, 580D, 2.60mm.",Đơn hàng China Plastic giao 02/02/2023,Version 2,TPH,2/2/2024,0.052,23000,1196
SO2401-0001,MP24/01-004,COMMERCIAL CHINA PLASTIC (SAN CRISTOBAL) (DEL VALLE)(MOLINOS DEL NORTE),SOI-TM17,"Sợi PP, trắng đục, 580D, 2.60mm.",Đơn hàng China Plastic giao 02/02/2023,Version 2,TPH,2/2/2024,0.052,15000,780
SO2401-0001,MP24/01-004,COMMERCIAL CHINA PLASTIC (SAN CRISTOBAL) (DEL VALLE)(MOLINOS DEL NORTE),SOI-TM17,"Sợi PP, trắng đục, 580D, 2.60mm.",Đơn hàng China Plastic giao 02/02/2023,Version 2,TPH,2/2/2024,0.052,85000,4420
SO2401-0001,MP24/01-004,COMMERCIAL CHINA PLASTIC (SAN CRISTOBAL) (DEL VALLE)(MOLINOS DEL NORTE),SOI-TM17,"Sợi PP, trắng đục, 580D, 2.60mm.",Đơn hàng China Plastic giao 02/02/2023,Version 2,TPH,2/2/2024,0.052,61000,3172
SO2401-0001,MP24/01-004,COMMERCIAL CHINA PLASTIC (SAN CRISTOBAL) (DEL VALLE)(MOLINOS DEL NORTE),SOI-TM17,"Sợi PP, trắng đục, 580D, 2.60mm.",Đơn hàng China Plastic giao 02/02/2023,Version 2,TPH,2/2/2024,0.052,188000,9776
SO2401-0001,MP24/01-004,COMMERCIAL CHINA PLASTIC (SAN CRISTOBAL) (DEL VALLE)(MOLINOS DEL NORTE),SOI-TM17,"Sợi PP, trắng đục, 580D, 2.60mm.",Đơn hàng China Plastic giao 02/02/2023,Version 2,TPH,2/2/2024,0.052,31000,1612
SO2401-0001,MP24/01-004,COMMERCIAL CHINA PLASTIC (SAN CRISTOBAL) (DEL VALLE)(MOLINOS DEL NORTE),SOI-TM17,"Sợi PP, trắng đục, 580D, 2.60mm.",Đơn hàng China Plastic giao 02/02/2023,Version 2,TPH,2/2/2024,0.052,60000,3120
