Ngày SX,Tên máy,Ca,Tên TT,Tên TP,Đơn hàng,Số KHTK,LSX,Mã Sợi,Tên Sợi,Số lượng sợi yêu cầu,Số lượng phế theo bom,Số lượng sợi đạt,Số lượng sợi tạm nhập,Số lượng sợi phế,Số lượng sợi chênh lệch với KH,Số lượng phế chênh lệch với KH,Đánh giá % sợi,Đánh giá % phế,Đánh giá
6/27/2024,O01,Ngày,,,SO2307-0024,MP23/07-030,LSX07/23-029,SUI-DEN,Sủi đen,0,0,2000,0,0,-2000,0,,,Không đạt
1/8/2024,O01,Ngày,,,SO2307-0024,MP23/07-030,LSX07/23-029,SUI-DEN,Sủi đen,0,0,2640,0,0,-2640,0,,,Không đạt
6/28/2024,O01,Ngày,,,SO2307-0024,MP23/07-030,LSX07/23-029,SUI-DEN,Sủi đen,0,0,1880,0,0,-1880,0,,,Không đạt
6/29/2024,O01,Ngày,,,SO2307-0024,MP23/07-030,LSX07/23-029,SUI-DEN,Sủi đen,0,0,80,0,0,-80,0,,,Không đạt
6/26/2024,O01,Ngày,,,SO2406-0058,MP24/06-204,LSX06/24-093,SUI-MAUCAM,Sủi màu CAM,0,0,1210,0,0,-1210,0,,,Không đạt
6/26/2024,O01,Ngày,,,SO2307-0024,MP23/07-030,LSX07/23-029,SUI-MAUCAM,Sủi màu CAM,0,0,150,0,0,-150,0,,,Không đạt
6/26/2024,O01,Ngày,,,SO2310-0039,MP23/10-036,LSX10/23-050,SUI-MAUCAM,Sủi màu CAM,0,0,640,0,0,-640,0,,,Không đạt
6/22/2024,O01,Ngày,,,SO2310-0039,MP23/10-036,LSX10/23-050,SUI-MAUCAM,Sủi màu CAM,0,0,1200,0,0,-1200,0,,,Không đạt
6/20/2024,O01,Ngày,,,SO2310-0039,MP23/10-036,LSX10/23-050,SUI-MAUCAM,Sủi màu CAM,0,0,2280,0,0,-2280,0,,,Không đạt
6/19/2024,O01,Ngày,,,SO2310-0039,MP23/10-036,LSX10/23-050,SUI-MAUCAM,Sủi màu CAM,0,0,3840,0,0,-3840,0,,,Không đạt
1/8/2024,O01,Ngày,,,SO2307-0024,MP23/07-030,LSX07/23-029,SUI-MAUDO,Sủi màu đỏ.,0,0,680,0,0,-680,0,,,Không đạt
1/8/2024,O01,Ngày,,,SO2307-0024,MP23/07-030,LSX07/23-029,SUI-MAUDO,Sủi màu đỏ.,0,0,920,0,0,-920,0,,,Không đạt
1/10/2024,O01,Ngày,,,SO2307-0003,MP23/07-004,LSX07/23-005,SUI-TAPMAU,Sủi tạp màu.,0,0,600,0,0,-600,0,,,Không đạt
1/10/2024,O01,Ngày,,,SO2309-0068,MP23/10-010,LSX10/23-015,SUI-TAPMAU,Sủi tạp màu.,0,0,1000,0,0,-1000,0,,,Không đạt
1/2/2024,O01,Ngày,,,SO2312-0028,MP23/12-018,LSX12/23-025,SUI-TRANG,Sủi trắng,0,0,4080,0,0,-4080,0,,,Không đạt
1/8/2024,O01,Ngày,,,SO2312-0028,MP23/12-018,LSX12/23-025,SUI-TRANG,Sủi trắng,0,0,490,0,0,-490,0,,,Không đạt
1/8/2024,O01,Ngày,,,SO2401-0021,MP24/01-016,LSX01/24-018,SUI-TRANG,Sủi trắng,0,0,3510,0,0,-3510,0,,,Không đạt
1/8/2024,O01,Ngày,,,SO2401-0021,MP24/01-016,LSX01/24-018,SUI-TRANG,Sủi trắng,0,0,2840,0,0,-2840,0,,,Không đạt
3/18/2024,O01,Ngày,,,SO2403-0001,MP24/03-006,LSX02/24-033,SUI-TRANG,Sủi trắng,0,0,4440,0,0,-4440,0,,,Không đạt
5/22/2024,O01,Ngày,,,SO2404-0038,MP24/04-062,LSX04/24-068,SUI-TRANG,Sủi trắng,0,0,1800,0,0,-1800,0,,,Không đạt
3/20/2024,O01,Ngày,,,SO2403-0001,MP24/03-006,LSX02/24-033,SUI-TRANG,Sủi trắng,0,0,2800,0,0,-2800,0,,,Không đạt
5/18/2024,O01,Ngày,,,SO2404-0038,MP24/04-062,LSX04/24-068,SUI-TRANG,Sủi trắng,0,0,4200,0,0,-4200,0,,,Không đạt
5/21/2024,O01,Ngày,,,SO2404-0038,MP24/04-062,LSX04/24-068,SUI-TRANG,Sủi trắng,0,0,3120,0,0,-3120,0,,,Không đạt
3/23/2024,O01,Ngày,,,SO2403-0001,MP24/03-006,LSX02/24-033,SUI-TRANG,Sủi trắng,0,0,4120,0,0,-4120,0,,,Không đạt
3/25/2024,O01,Ngày,,,SO2403-0001,MP24/03-006,LSX02/24-033,SUI-TRANG,Sủi trắng,0,0,4200,0,0,-4200,0,,,Không đạt
3/7/2024,O01,Ngày,,,SO2403-0001,MP24/03-006,LSX02/24-033,SUI-TRANG,Sủi trắng,0,0,2040,0,0,-2040,0,,,Không đạt
6/6/2024,O01,Ngày,,,SO2405-0057,MP24/05-057,LSX05/24-068,SUI-TRANG,Sủi trắng,0,0,1920,0,0,-1920,0,,,Không đạt
6/5/2024,O01,Ngày,,,SO2405-0057,MP24/05-057,LSX05/24-068,SUI-TRANG,Sủi trắng,0,0,4640,0,0,-4640,0,,,Không đạt
