Số đơn hàng,Mã sản phẩm,Tên sản phẩm,Công việc,Tên công việc,Mã nhóm,Mã mặt hàng,Tên mặt hàng,Đơn vị tính 1,Đơn vị tính 2,Số lượng (1),Số lượng (2)
SO2410-0037,VAO0001,"Vải áo bọc cuộn, tráng PE, W x L = 140cm x 280cm, dây rút 380cm, TL: 340gr/cái. [Gấp lai mỗi biên 5cm, may 1 đường PP900D]",,,PHE,PHE-MAU,"Phế màu các loại được bỏ ra trong quá trình in và quá trình dệt vải có nhiều màu, dùng để ó sủi tạp màu.",KG,KG,640.09743,640.09743
SO2410-0037,VAO0003,"Vải áo bọc cuộn, tráng PE, W x L = 140cm x 350cm, dây rút 380cm, TL: 480g/cái. [Gấp lai mỗi biên 5cm, may 1 đường PP900D]",,,PHE,PHE-MAU,"Phế màu các loại được bỏ ra trong quá trình in và quá trình dệt vải có nhiều màu, dùng để ó sủi tạp màu.",KG,KG,800.12178,800.12178
SO2410-0037,VAO0012,"Vải áo bọc cuộn, tráng PE, W x L = 140cm x 400cm, dây rút 430cm, TL: 580.62gr/cái. [Gấp lai mỗi biên 5cm, may 1 đường PP900D]",,,PHE,PHE-MAU,"Phế màu các loại được bỏ ra trong quá trình in và quá trình dệt vải có nhiều màu, dùng để ó sủi tạp màu.",KG,KG,914.4249,914.4249
SO2410-0037,VAO0001,"Vải áo bọc cuộn, tráng PE, W x L = 140cm x 280cm, dây rút 380cm, TL: 340gr/cái. [Gấp lai mỗi biên 5cm, may 1 đường PP900D]",01,"Công đoạn tái chế (ó, tạo hạt)",SUI,SUI-TAPMAU,Sủi tạp màu.,KG,KG,630.63786,630.63786
SO2410-0037,VAO0003,"Vải áo bọc cuộn, tráng PE, W x L = 140cm x 350cm, dây rút 380cm, TL: 480g/cái. [Gấp lai mỗi biên 5cm, may 1 đường PP900D]",01,"Công đoạn tái chế (ó, tạo hạt)",SUI,SUI-TAPMAU,Sủi tạp màu.,KG,KG,788.29731,788.29731
SO2410-0037,VAO0012,"Vải áo bọc cuộn, tráng PE, W x L = 140cm x 400cm, dây rút 430cm, TL: 580.62gr/cái. [Gấp lai mỗi biên 5cm, may 1 đường PP900D]",01,"Công đoạn tái chế (ó, tạo hạt)",SUI,SUI-TAPMAU,Sủi tạp màu.,KG,KG,900.91122,900.91122
SO2410-0037,VAO0001,"Vải áo bọc cuộn, tráng PE, W x L = 140cm x 280cm, dây rút 380cm, TL: 340gr/cái. [Gấp lai mỗi biên 5cm, may 1 đường PP900D]",02,Công đoạn tạo sợi,TPH-1551,SOI-VA6,"Sợi PP dệt vải áo, xám tro, 1200D, 2.9mm - 3.2mm.",KG,KG,1004.66754,1004.66754
SO2410-0037,VAO0003,"Vải áo bọc cuộn, tráng PE, W x L = 140cm x 350cm, dây rút 380cm, TL: 480g/cái. [Gấp lai mỗi biên 5cm, may 1 đường PP900D]",02,Công đoạn tạo sợi,TPH-1551,SOI-VA6,"Sợi PP dệt vải áo, xám tro, 1200D, 2.9mm - 3.2mm.",KG,KG,1255.83444,1255.83444
SO2410-0037,VAO0012,"Vải áo bọc cuộn, tráng PE, W x L = 140cm x 400cm, dây rút 430cm, TL: 580.62gr/cái. [Gấp lai mỗi biên 5cm, may 1 đường PP900D]",02,Công đoạn tạo sợi,TPH-1551,SOI-VA6,"Sợi PP dệt vải áo, xám tro, 1200D, 2.9mm - 3.2mm.",KG,KG,1435.23936,1435.23936
SO2410-0037,VAO0001,"Vải áo bọc cuộn, tráng PE, W x L = 140cm x 280cm, dây rút 380cm, TL: 340gr/cái. [Gấp lai mỗi biên 5cm, may 1 đường PP900D]",03,Công đoạn dệt,TPH-1552,THACAVAI750009009115XAMO,"Vải áo, cuộn PP màu xám tro khổ 75cm sọc 1 biên 5cm bằng chỉ súc máy, 9x9, TL 115gr/m (nếu tráng bọc cuộn thì dệt không xẻ, nếu áo ép kiện thì không tráng và xẻ hông bên có sọc)",M,KG,8619.87126,991.2851949
