Mã phiếu,Người tạo,Ngày tạo,Mã yêu cầu,Mã vật tư,Tên vật tư,Đvt (01),SỐ LƯỢNG (01),ĐVT (02),SỐ LƯỢNG (02),NGÀY CẦN,Tiền tệ,Đơn giá,Tiền thuế,Tổng tiền,Tên NCC,Mã NCC
PO11/24-051,Nguyễn Thị Đào,11/16/2024,PR24/11-054,5200100060000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 116cm (-1), độ bền nén: >=270kgF/100mm.",ONG,20,KG,81.2,,VND,120000,192000,2400000,CÔNG TY CỔ PHẦN BAO BÌ Á CHÂU,NCC010006
PO11/24-051,Nguyễn Thị Đào,11/16/2024,PR24/11-054,5200100080000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 119cm (-0/+1), độ bền nén: >=270kgF/100mm",ONG,20,KG,83.3,,VND,125000,200000,2500000,CÔNG TY CỔ PHẦN BAO BÌ Á CHÂU,NCC010006
PO10/24-065,Nguyễn Thị Đào,10/19/2024,PR24/10-065,5200100080000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 119cm (-0/+1), độ bền nén: >=270kgF/100mm",ONG,32,KG,133.28,,VND,125000,320000,4000000,CÔNG TY CỔ PHẦN BAO BÌ Á CHÂU,NCC010006
PO11/24-051,Nguyễn Thị Đào,11/16/2024,PR24/11-054,5200100090000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 120cm (-1), độ bền nén: >=270kgF/100mm.",ONG,20,KG,84,,VND,127000,203200,2540000,CÔNG TY CỔ PHẦN BAO BÌ Á CHÂU,NCC010006
PO10/24-075,Nguyễn Dũng Trung,10/23/2024,,THATRLUI055105105124TRDU,"[Tráng ngoài]Cuộn PP, trắng đục, tráng bóng ngoài 18gsm, K55.0cm, MĐ: 10.5x10.5, TL: 124.3g/m.",M,28000,KG,3480.4,,VND,8000,0,4520000,CÔNG TY TNHH BAO BÌ NHỰA QUỐC ANH,NCC010022
PO10/24-088,Nguyễn Dũng Trung,10/26/2024,,THATRLUI055105105124TRDU,"[Tráng ngoài]Cuộn PP, trắng đục, tráng bóng ngoài 18gsm, K55.0cm, MĐ: 10.5x10.5, TL: 124.3g/m.",M,11800,KG,1466.74,,VND,8000,0,2000000,CÔNG TY TNHH BAO BÌ NHỰA QUỐC ANH,NCC010022
PO11/24-026,Nguyễn Thị Đào,11/13/2024,PR24/11-032,5200103460000000,8802 Lumut,CM2,10000,CM2,10000,,VND,290,232000,2900000,CÔNG TY TNHH CHÍNH KIỆT,NCC010204
PO10/24-090,Nguyễn Thị Đào,10/26/2024,PR24/10-088,5200103570000000,9901 Lumut,CM2,10000,CM2,10000,,VND,290,232000,2900000,CÔNG TY TNHH CHÍNH KIỆT,NCC010204
PO10/24-049,Nguyễn Thị Đào,10/15/2024,PR24/10-051,5200103630000000,9902 Lumut,CM2,10000,CM2,10000,,VND,290,232000,2900000,CÔNG TY TNHH CHÍNH KIỆT,NCC010204
PO11/24-026,Nguyễn Thị Đào,11/13/2024,PR24/11-032,5200103600000000,9902C Lumut,CM2,10000,CM2,10000,,VND,290,232000,2900000,CÔNG TY TNHH CHÍNH KIỆT,NCC010204
