Ngày,Số chứng từ,Đơn hàng bán,Khách hàng,Diễn giải,Vật tư,Tên vật tư,Đơn vị tính 1,Só lượng (1),Số lượng (2),Đơn vị tính 2
10/1/2024,SIM10/24-001,SO2409-0032,CÔNG TY TNHH INTERFLOUR VIỆT NAM,"Xk bán hàng ngày 01/10/2024, XE 50H-213.01",TPH075112G119INT.CAMI026,"Bao TP-PP, trắng tẩy, K75.0x112.0LL, TL: 119.0g/cái, MK: CÁM MÌ POLLARD - CODE 026 (1+0) (Mã: 5000673). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,5000,584.5,KG
10/1/2024,SIM10/24-001,SO2409-0032,CÔNG TY TNHH INTERFLOUR VIỆT NAM,"Xk bán hàng ngày 01/10/2024, XE 50H-213.01",TPH075112G119INT.CAMI027,"Bao TP-PP, trắng tẩy, K75.0x112.0LL, TL: 119.0g/cái, MK: CÁM MÌ POLLARD - CODE 027 (1+0) (Mã: 5000673). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,5000,582.5,KG
10/1/2024,SIM10/24-001,SO2409-0032,CÔNG TY TNHH INTERFLOUR VIỆT NAM,"Xk bán hàng ngày 01/10/2024, XE 50H-213.01",TPH075112G119INT.CAMI028,"Bao TP-PP, trắng tẩy, K75.0x112.0LL, TL: 119.0g/cái, MK: CÁM MÌ POLLARD - CODE 028 (1+0) (Mã: 5000673). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,5000,587.5,KG
10/1/2024,SIM10/24-001,SO2409-0032,CÔNG TY TNHH INTERFLOUR VIỆT NAM,"Xk bán hàng ngày 01/10/2024, XE 50H-213.01",TPH075112G119INT.CAMI029,"Bao TP-PP, trắng tẩy, K75.0x112.0LL, TL: 119.0g/cái, MK: CÁM MÌ POLLARD - CODE 029 (1+0) (Mã: 5000673). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,5000,593.5,KG
10/1/2024,SIM10/24-001,SO2409-0032,CÔNG TY TNHH INTERFLOUR VIỆT NAM,"Xk bán hàng ngày 01/10/2024, XE 50H-213.01",TPH075112G119INT.CAMI030,"Bao TP-PP, trắng tẩy, K75.0x112.0LL, TL: 119.0g/cái, MK: CÁM MÌ POLLARD - CODE 030 (1+0) (Mã: 5000673). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,5000,590.5,KG
10/1/2024,SIM10/24-002,SO2409-0014,CÔNG TY TNHH CHẾ BIẾN BỘT MỲ MÊ KÔNG,"Xk bán hàng ngày 01/10/2024, XE 50H-213.01",TPH495805G079MEK.CHD,"Bao TP-PP, trắng tẩy, K49.5x80.5PB (cm), TL: 79.0 (±3.0)g/cái, MK: Chuyên dụng - 25KG [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài]",Cái,5000,391.5,KG
10/1/2024,SIM10/24-002,SO2407-0013,CÔNG TY TNHH CHẾ BIẾN BỘT MỲ MÊ KÔNG,"Xk bán hàng ngày 01/10/2024, XE 50H-213.01",TPH495805G079MEK.MK5,"Bao TP-PP, trắng tẩy, K49.5x80.5PB (cm), TL: 79.0 (±3.0)g/cái, MK: MK5 - 25KG [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài]",Cái,5000,392.5,KG
10/1/2024,SIM10/24-002,SO2404-0006,CÔNG TY TNHH CHẾ BIẾN BỘT MỲ MÊ KÔNG,"Xk bán hàng ngày 01/10/2024, XE 50H-213.01",TPH595920G112MEK.CF,"Bao TP-PP, trắng tẩy, K59.5x92.0PB (cm), TL: 112.0 (±3.0)g/cái, MK: CF - 40KG [Đóng gói: 50 cái/xấp, gấp lại làm 2, 1 bó 2 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài, bỏ vào túi HDPE, dán tem nhận diện]",Cái,7900,869.5,KG
10/1/2024,SIM10/24-002,SO2407-0013,CÔNG TY TNHH CHẾ BIẾN BỘT MỲ MÊ KÔNG,"Xk bán hàng ngày 01/10/2024, XE 50H-213.01",TPH595920G112MEK.CF,"Bao TP-PP, trắng tẩy, K59.5x92.0PB (cm), TL: 112.0 (±3.0)g/cái, MK: CF - 40KG [Đóng gói: 50 cái/xấp, gấp lại làm 2, 1 bó 2 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài, bỏ vào túi HDPE, dán tem nhận diện]",Cái,2100,235.2,KG
10/1/2024,SIM10/24-002,SO2407-0013,CÔNG TY TNHH CHẾ BIẾN BỘT MỲ MÊ KÔNG,"Xk bán hàng ngày 01/10/2024, XE 50H-213.01",TPH595920G112MEK.CF,"Bao TP-PP, trắng tẩy, K59.5x92.0PB (cm), TL: 112.0 (±3.0)g/cái, MK: CF - 40KG [Đóng gói: 50 cái/xấp, gấp lại làm 2, 1 bó 2 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài, bỏ vào túi HDPE, dán tem nhận diện]",Cái,3000,339.2,KG
