Ngày lập đơn,Số KHSX,Số đơn hàng,Mã sản phẩm,Tên sản phẩm,KHTK SL (1),KHTK SL (2),Nhóm,Mã mặt hàng,Tên mặt hàng,Đvt (1),Đvt (2),Số lượng (1),Số lượng (2),Mã BTP,Tên hàng BTP,SLSX (1),SLSX (2)
10/7/2024,MP24/08-023,SO2408-0015,0119132012001000,"Manh tròn JB, trắng UV, K174.5-175.5cm x 132.0-133.0cm, TL: 776.0g (+/-5%), MK: HK+GRADE 2S1C (1+1). [UNP170gsm] [UP01050R3] [68”×52”-HK+GRADE 2S1C]",25000,19400,MANH,MANH175133G763TDUNP.HKGD,"Manh tròn PP, trắng đục UV, K175.5cmx133.0cm, TL: 763.92g/cái (+/-23.00), MK: HK+GRADE 2S1C (1+1). [UNP170gsm] [68”×52”-HK+GRADE 2S1C]",CAI,KG,25000,19098,0119132012001000,"Manh tròn JB, trắng UV, K174.5-175.5cm x 132.0-133.0cm, TL: 776.0g (+/-5%), MK: HK+GRADE 2S1C (1+1). [UNP170gsm] [UP01050R3] [68”×52”-HK+GRADE 2S1C]",25000,19400
10/7/2024,MP24/08-023,SO2408-0015,0119132012001000,"Manh tròn JB, trắng UV, K174.5-175.5cm x 132.0-133.0cm, TL: 776.0g (+/-5%), MK: HK+GRADE 2S1C (1+1). [UNP170gsm] [UP01050R3] [68”×52”-HK+GRADE 2S1C]",25000,19400,MANH,MANH175133G763TDUNP,"Manh tròn PP, trắng đục UV, K175.5cmx133.0cm, TL: 763.42g/cái (+/-23.00).",CAI,KG,25500,19467.21,MANH175133G763TDUNP.HKGD,"Manh tròn PP, trắng đục UV, K175.5cmx133.0cm, TL: 763.92g/cái (+/-23.00), MK: HK+GRADE 2S1C (1+1). [UNP170gsm] [68”×52”-HK+GRADE 2S1C]",25000,19098
10/7/2024,MP24/08-023,SO2408-0015,0119132012001000,"Manh tròn JB, trắng UV, K174.5-175.5cm x 132.0-133.0cm, TL: 776.0g (+/-5%), MK: HK+GRADE 2S1C (1+1). [UNP170gsm] [UP01050R3] [68”×52”-HK+GRADE 2S1C]",25000,19400,TPH-1552,THACAUNP175120122574TRDU,"Vải cuộn PP, K175.5cm, MĐ: 12.0x13.0, TL: 574.0g/m. [UNP170gsm]",M,KG,35441.175,20343.2345,MANH175133G763TDUNP,"Manh tròn PP, trắng đục UV, K175.5cmx133.0cm, TL: 763.42g/cái (+/-23.00).",25500,19467.21
10/7/2024,MP24/08-023,SO2408-0015,0119132012001000,"Manh tròn JB, trắng UV, K174.5-175.5cm x 132.0-133.0cm, TL: 776.0g (+/-5%), MK: HK+GRADE 2S1C (1+1). [UNP170gsm] [UP01050R3] [68”×52”-HK+GRADE 2S1C]",25000,19400,TPH-1551,SOI-JB54,"Sợi PP, trắng UV, 1160D,2.15mm (cũ 2.20mm).",KG,KG,7865.1818,7865.1818,THACAUNP175120122574TRDU,"Vải cuộn PP, K175.5cm, MĐ: 12.0x13.0, TL: 574.0g/m. [UNP170gsm]",35441.175,20343.23445
10/7/2024,MP24/08-023,SO2408-0015,0119132012001000,"Manh tròn JB, trắng UV, K174.5-175.5cm x 132.0-133.0cm, TL: 776.0g (+/-5%), MK: HK+GRADE 2S1C (1+1). [UNP170gsm] [UP01050R3] [68”×52”-HK+GRADE 2S1C]",25000,19400,PHUGIA,HAT-UV-EMH793,Hạt UV EMH793.,KG,KG,198.7807,198.7807,SOI-JB54,"Sợi PP, trắng UV, 1160D,2.15mm (cũ 2.20mm).",9865.182,9865.18
10/7/2024,MP24/08-023,SO2408-0015,0119132012001000,"Manh tròn JB, trắng UV, K174.5-175.5cm x 132.0-133.0cm, TL: 776.0g (+/-5%), MK: HK+GRADE 2S1C (1+1). [UNP170gsm] [UP01050R3] [68”×52”-HK+GRADE 2S1C]",25000,19400,HATTAICAL,HAT-TACKS-JB,Hạt Taical kéo sợi Jumbo. [Hanotech: HF006R] [Châu Âu: PP1002BRT],KG,KG,973.1471,973.1471,SOI-JB54,"Sợi PP, trắng UV, 1160D,2.15mm (cũ 2.20mm).",9865.182,9865.18
10/7/2024,MP24/08-023,SO2408-0015,0119132012001000,"Manh tròn JB, trắng UV, K174.5-175.5cm x 132.0-133.0cm, TL: 776.0g (+/-5%), MK: HK+GRADE 2S1C (1+1). [UNP170gsm] [UP01050R3] [68”×52”-HK+GRADE 2S1C]",25000,19400,HAT_PP,HAT-PPKC,Hạt nhựa PP kéo sợi.,KG,KG,6811.2317,6811.2317,SOI-JB54,"Sợi PP, trắng UV, 1160D,2.15mm (cũ 2.20mm).",9865.182,9865.18
10/7/2024,MP24/08-023,SO2408-0015,0119132012001000,"Manh tròn JB, trắng UV, K174.5-175.5cm x 132.0-133.0cm, TL: 776.0g (+/-5%), MK: HK+GRADE 2S1C (1+1). [UNP170gsm] [UP01050R3] [68”×52”-HK+GRADE 2S1C]",25000,19400,TPH-1551,SOI-JB55,"Sợi PP, trắng UV, 1850D, 5.0mm.",KG,KG,12752.6895,12752.6895,THACAUNP175120122574TRDU,"Vải cuộn PP, K175.5cm, MĐ: 12.0x13.0, TL: 574.0g/m. [UNP170gsm]",35441.175,20343.23445
10/7/2024,MP24/08-023,SO2408-0015,0119132012001000,"Manh tròn JB, trắng UV, K174.5-175.5cm x 132.0-133.0cm, TL: 776.0g (+/-5%), MK: HK+GRADE 2S1C (1+1). [UNP170gsm] [UP01050R3] [68”×52”-HK+GRADE 2S1C]",25000,19400,PHUGIA,HAT-UV-EMH793,Hạt UV EMH793.,KG,KG,322.305,322.305,SOI-JB55,"Sợi PP, trắng UV, 1850D, 5.0mm.",12752.6895,12752.6895
10/7/2024,MP24/08-023,SO2408-0015,0119132012001000,"Manh tròn JB, trắng UV, K174.5-175.5cm x 132.0-133.0cm, TL: 776.0g (+/-5%), MK: HK+GRADE 2S1C (1+1). [UNP170gsm] [UP01050R3] [68”×52”-HK+GRADE 2S1C]",25000,19400,HATTAICAL,HAT-TACKS-JB,Hạt Taical kéo sợi Jumbo. [Hanotech: HF006R] [Châu Âu: PP1002BRT],KG,KG,1577.8713,1577.8713,SOI-JB55,"Sợi PP, trắng UV, 1850D, 5.0mm.",12752.6895,12752.6895
