Ngày SX,Tên máy,Ca,Tên TT,Tên TP,Đơn hàng,Số KHTK,LSX,Mã Sợi,Tên Sợi,Số lượng sợi yêu cầu,Số lượng phế theo bom,Số lượng sợi đạt,Số lượng sợi tạm nhập,Số lượng sợi phế,Số lượng sợi chênh lệch với KH,Số lượng phế chênh lệch với KH,Đánh giá % sợi,Đánh giá % phế,Đánh giá
1/11/2025,O01,Ngày,,,SO2501-0002,MP25/01-002,LSX01/25-011,SUI-TRANG,Sủi trắng,0,0,2320,0,0,-2320,0,,,Không đạt
1/13/2025,O01,Ngày,,,SO2501-0002,MP25/01-002,LSX01/25-011,SUI-TRANG,Sủi trắng,0,0,2640,0,0,-2640,0,,,Không đạt
1/2/2025,O01,Ngày,,,SO2501-0002,MP25/01-002,LSX01/25-011,SUI-TRANG,Sủi trắng,0,0,1920,0,0,-1920,0,,,Không đạt
1/3/2025,O01,Ngày,,,SO2501-0002,MP25/01-002,LSX01/25-011,SUI-TRANG,Sủi trắng,0,0,2720,0,0,-2720,0,,,Không đạt
1/6/2025,O01,Ngày,,,SO2501-0002,MP25/01-002,LSX01/25-011,SUI-TRANG,Sủi trắng,0,0,2520,0,0,-2520,0,,,Không đạt
1/9/2025,O01,Ngày,,,SO2501-0002,MP25/01-002,LSX01/25-011,SUI-TRANG,Sủi trắng,0,0,1440,0,0,-1440,0,,,Không đạt
1/10/2025,O01,Ngày,,,SO2501-0002,MP25/01-002,LSX01/25-011,SUI-TRANG,Sủi trắng,0,0,2720,0,0,-2720,0,,,Không đạt
1/7/2025,O01,Ngày,,,SO2501-0002,MP25/01-002,LSX01/25-011,SUI-TRANG,Sủi trắng,0,0,2680,0,0,-2680,0,,,Không đạt
1/11/2025,SOI7,Ngày,,,SO2412-0041,MP24/12-068,LSX01/25-032,SOI-ECL5-1,"Sợi PP, trắng đục, 850D, 3.33mm. [19.50%]",1368,19.836,685.37,0,0,682.63,19.836,0.501001462,0,Không đạt
1/6/2025,SOI8,Đêm,,,SO2412-0041,MP24/12-068,LSX01/25-032,SOI-ECL5-1,"Sợi PP, trắng đục, 850D, 3.33mm. [19.50%]",3420,49.59,845.1,0,1,2574.9,48.59,0.247105263,0.020165,Không đạt
1/7/2025,SOI8,Ngày,,,SO2412-0041,MP24/12-068,LSX01/25-032,SOI-ECL5-1,"Sợi PP, trắng đục, 850D, 3.33mm. [19.50%]",0,0,0,104.44,0,-104.44,0,,,Không đạt
1/7/2025,SOI8,Ngày,,,SO2412-0041,MP24/12-068,LSX01/25-032,SOI-ECL5-1,"Sợi PP, trắng đục, 850D, 3.33mm. [19.50%]",0,0,621.32,0,0,-621.32,0,,,Không đạt
1/7/2025,SOI8,Đêm,,,SO2412-0041,MP24/12-068,LSX01/25-032,SOI-ECL5-1,"Sợi PP, trắng đục, 850D, 3.33mm. [19.50%]",0,0,1017.2,0,67,-1017.2,-67,,,Không đạt
1/10/2025,SOI7,Đêm,,,SO2412-0041,MP24/12-068,LSX01/25-032,SOI-ECL5-1,"Sợi PP, trắng đục, 850D, 3.33mm. [19.50%]",2736,39.672,3295.5,0,23,-559.5,16.672,1.204495614,0.579753,Đạt
1/10/2025,SOI7,Đêm,,,SO2412-0041,MP24/12-068,LSX01/25-032,SOI-ECL5-1,"Sợi PP, trắng đục, 850D, 3.33mm. [19.50%]",2736,39.672,0,103.9,0,2632.1,39.672,0.037975146,0,Không đạt
1/11/2025,SOI1,Ngày,,,SO2412-0017,MP24/12-043,LSX01/25-061,SOI-GL15,"Sợi PP, trắng đục, 920D, 2.25mm. [33.3TC] [Recycled]",415,5.6025,1309.7,0,0,-894.7,5.6025,3.155903614,0,Đạt
1/10/2025,SOI1,Đêm,,,SO2412-0017,MP24/12-043,LSX01/25-061,SOI-GL15,"Sợi PP, trắng đục, 920D, 2.25mm. [33.3TC] [Recycled]",4150,56.025,3484.3,0,17,665.7,39.025,0.839590361,0.303435,Không đạt
1/10/2025,SOI1,Ngày,,,SO2412-0017,MP24/12-043,LSX12/24-054,SOI-GL15,"Sợi PP, trắng đục, 920D, 2.25mm. [33.3TC] [Recycled]",0,0,113.41,0,0,-113.41,0,,,Không đạt
1/10/2025,SOI1,Ngày,,,SO2412-0017,MP24/12-043,LSX01/25-061,SOI-GL15,"Sợi PP, trắng đục, 920D, 2.25mm. [33.3TC] [Recycled]",2905,39.2175,2745.09,0,17,159.91,22.2175,0.944953528,0.433479,Không đạt
1/10/2025,SOI3,Ngày,,,SO2412-0063,MP25/01-015,LSX01/25-068,SOI-GL4-3,"Sợi PP, trắng đục, 760D, 2.60mm. [33%]",4940,66.69,3756.3,0,11,1183.7,55.69,0.760384615,0.164942,Không đạt
1/10/2025,SOI3,Đêm,,,SO2412-0063,MP25/01-015,LSX01/25-068,SOI-GL4-3,"Sợi PP, trắng đục, 760D, 2.60mm. [33%]",3800,51.3,4684.5,0,13,-884.5,38.3,1.232763158,0.253411,Đạt
1/10/2025,SOI3,Đêm,,,SO2412-0063,MP25/01-015,LSX01/25-068,SOI-GL4-3,"Sợi PP, trắng đục, 760D, 2.60mm. [33%]",4940,66.69,384.78,0,0,4555.22,66.69,0.077890688,0,Không đạt
1/11/2025,SOI3,Ngày,,,SO2412-0063,MP25/01-015,LSX01/25-068,SOI-GL4-3,"Sợi PP, trắng đục, 760D, 2.60mm. [33%]",3040,41.04,2151.12,0,23,888.88,18.04,0.707605263,0.560428,Không đạt
1/11/2025,SOI3,Ngày,,,SO2412-0029,MP25/01-031,LSX01/25-076,SOI-GL4-3,"Sợi PP, trắng đục, 760D, 2.60mm. [33%]",0,0,1655.48,0,0,-1655.48,0,,,Không đạt
1/9/2025,SOI3,Ngày,,,SO2412-0063,MP25/01-015,LSX01/25-068,SOI-GL4-3,"Sợi PP, trắng đục, 760D, 2.60mm. [33%]",0,0,3920.3,0,8,-3920.3,-8,,,Không đạt
1/9/2025,SOI3,Đêm,,,SO2412-0063,MP25/01-015,LSX01/25-068,SOI-GL4-3,"Sợi PP, trắng đục, 760D, 2.60mm. [33%]",0,0,913.6,0,4,-913.6,-4,,,Không đạt
1/8/2025,SOI3,Đêm,,,SO2412-0037,MP25/01-005,LSX01/25-017,SOI-GL4-3,"Sợi PP, trắng đục, 760D, 2.60mm. [33%]",4180,56.43,2870.216,0,6,1309.784,50.43,0.686654545,0.106326,Không đạt
1/8/2025,SOI3,Ngày,,,SO2412-0037,MP25/01-005,LSX01/25-017,SOI-GL4-3,"Sợi PP, trắng đục, 760D, 2.60mm. [33%]",760,10.26,3789.4,0,10,-3029.4,0.26,4.986052632,0.974658,Đạt
1/6/2025,SOI3,Ngày,,,SO2412-0037,MP25/01-005,LSX01/25-017,SOI-GL4-3,"Sợi PP, trắng đục, 760D, 2.60mm. [33%]",760,10.26,3918.6,0,10,-3158.6,0.26,5.156052632,0.974658,Đạt
1/6/2025,SOI3,Đêm,,,SO2412-0037,MP25/01-005,LSX01/25-017,SOI-GL4-3,"Sợi PP, trắng đục, 760D, 2.60mm. [33%]",4180,56.43,846.7,0,5,3333.3,51.43,0.202559809,0.088605,Không đạt
1/5/2025,SOI3,Đêm,,,SO2412-0037,MP25/01-005,LSX01/25-017,SOI-GL4-3,"Sợi PP, trắng đục, 760D, 2.60mm. [33%]",1900,25.65,6387.7,0,18,-4487.7,7.65,3.361947368,0.701754,Đạt
1/5/2025,SOI3,Ngày,,,SO2412-0037,MP25/01-005,LSX01/25-017,SOI-GL4-3,"Sợi PP, trắng đục, 760D, 2.60mm. [33%]",6840,92.34,2183.1,0,6,4656.9,86.34,0.319166667,0.064977,Không đạt
1/4/2025,SOI3,Đêm,,,SO2411-0057,MP24/11-075,LSX12/24-079,SOI-GL4-3,"Sợi PP, trắng đục, 760D, 2.60mm. [33%]",0,0,29.76,0,0,-29.76,0,,,Không đạt
1/4/2025,SOI3,Đêm,,,SO2412-0037,MP25/01-005,LSX01/25-017,SOI-GL4-3,"Sợi PP, trắng đục, 760D, 2.60mm. [33%]",3040,41.04,2428.14,0,10,611.86,31.04,0.798730263,0.243664,Không đạt
1/11/2025,SOI3,Đêm,,,SO2412-0029,MP25/01-031,LSX01/25-076,SOI-GL4-3,"Sợi PP, trắng đục, 760D, 2.60mm. [33%]",0,0,2449.9,0,12,-2449.9,-12,,,Không đạt
1/12/2025,SOI3,Đêm,,,SO2412-0029,MP25/01-031,LSX01/25-076,SOI-GL4-3,"Sợi PP, trắng đục, 760D, 2.60mm. [33%]",0,0,6059.4,0,26,-6059.4,-26,,,Không đạt
1/12/2025,SOI3,Ngày,,,SO2412-0029,MP25/01-031,LSX01/25-076,SOI-GL4-3,"Sợi PP, trắng đục, 760D, 2.60mm. [33%]",0,0,1935.3,0,5,-1935.3,-5,,,Không đạt
