Mã số,Mặt hàng,Đơn vị tính 1,SL Đầu kỳ 1,Giá trị đầu kỳ 1,SL Nhập 1,Giá trị Nhập 1,SL Xuất 1,Giá trị xuất 1,SL Tồn 1,Giá trị tồn 1,Đơn vị tính 2,SL Đầu kỳ 2,SL Nhập 2,SL Xuất 2,SL Tồn 2,Date
0905300610000000,Dao hàn siêu âm máy cắt Jumbo ( theo bản vẽ),CAI,2,2700000,0,0,0,0,2,2700000,CAI,2,0,0,2,17/09/2024
0901900330000000,BÁNH XE CAM NOVA6 - phi 52mm (Nova6 063506),Cái,806,24430502,0,0,0,0,806,24430502,Cái,806,0,0,806,17/09/2024
0923800260000000,GỌNG THOI DƯỚI ( SHUTTLE GUIDE - P) Mã : 11158161610,CAI,14,1020236,0,0,0,0,14,1020236,CAI,14,0,0,14,17/09/2024
5300101040000000,Thước lá INOX - dài 300mm,CAI,1,30000,0,0,0,0,1,30000,CAI,1,0,0,1,17/09/2024
HAT-TC-ADE50,Hạt taical kéo sợi HDPE,KG,175,0,0,0,0,0,175,0,KG,175,0,0,175,17/09/2024
0905500480000000,Sắt kẽm H30x60 (1.4 ly),CAY,102,20670000,0,0,0,0,102,20670000,CAY,102,0,0,102,17/09/2024
0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",KG,1456.2,60264661,0,0,0,0,1456.2,60264661,Cuộn,145.62,0,0,145.62,17/09/2024
0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,KG,70,1575000,0,0,0,0,70,1575000,CUON,7,0,0,7,17/09/2024
0500100060000000,"Dây đai nẹp xấp nhỏ, màu vàng, K12.0mm, TL: 6.0g/m.",KG,200,5403030,0,0,0,0,200,5403030,CUON,20,0,0,20,17/09/2024
0500100080000000,"Dây đai ép kiện PET, màu xanh lá, K15.5mm, dày 0.6mm, bề mặt dập nổi, tension >350kgF, 20kg/cuộn.",KG,111.24,4167320,0,0,0,0,111.24,4167320,CUON,5.56,0,0,5.56,17/09/2024
5200108430000000,Dongwon 88-A,CM2,2294,665260,0,0,0,0,2294,665260,CM2,2294,0,0,2294,17/09/2024
5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",KG,2698.175,75876561,0,0,0,0,2698.175,75876561,ONG,607,0,0,607,17/09/2024
5200100167000000,"Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, chiều dài 115.0cm (+1.0), F(Min) = 270kgF/100mm.",KG,312.8,36754000,0,0,0,0,312.8,36754000,ONG,85,0,0,85,17/09/2024
5200100030000000,"Nắp chụp nhựa, dùng cho ống giấy 3-inch, TL: 30g/cái.",KG,658.9,0,2223,0,1482,0,1399.9,0,CAI,18750,74100,49400,43450,17/09/2024
9045002450000000,"Ống nhựa PVC đường kính trong 16mm, dày 2mm, trắng trong. TL: 100g/m",KG,10.53,740906,0,0,0,0,10.53,740906,M,105.28,0,0,105.28,17/09/2024
5200107430000000,Dongwon Màu Xanh,BO,-16,-5976320,0,0,0,0,-16,-5976320,BO,-16,0,0,-16,17/09/2024
5200107430000000,Dongwon Màu Xanh,BO,16,5976320,0,0,0,0,16,5976320,Bộ,16,0,0,16,17/09/2024
020020021,"Ống giấy mới, dài 202cm(+2/-0), ĐK trong: 76.0mm, Dày: 7.0-8.0mm, ĐK ngoài: 91.0mm, lực nén tối thiểu: 100kgF, TL: 3.0kg/ống(+/-0.2).",KG,2266.67,51002610,0,0,0,0,2266.67,51002610,ONG,755.56,0,0,755.56,17/09/2024
5200100050000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 113cm (-1), độ bền nén: >=270kgF/100mm.",KG,240.71,9993162,0,0,0,0,240.71,9993162,ONG,55,0,0,55,17/09/2024
5200100060000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 116cm (-1), độ bền nén: >=270kgF/100mm.",KG,16.24,480000,0,0,0,0,16.24,480000,ONG,4,0,0,4,17/09/2024
5200100080000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 119cm (-0/+1), độ bền nén: >=270kgF/100mm",KG,0.005,150,0,0,0,0,0.005,150,ONG,0,0,0,0,17/09/2024
5200100090000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 120cm (-1), độ bền nén: >=270kgF/100mm.",KG,176.4,5334000,0,0,0,0,176.4,5334000,ONG,42,0,0,42,17/09/2024
5200100110000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 114cm (+1), độ bền nén: >=270kgF/100mm.",KG,240,26760000,0,0,0,0,240,26760000,ONG,60,0,0,60,17/09/2024
5200100120000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 123cm (+1), độ bền nén: >=270kgF/100mm.",KG,266.915,10212521,0,0,0,0,266.915,10212521,ONG,62,0,0,62,17/09/2024
05200100158000000,"Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, chiều dài 92.0cm (+1.0), F(Min) = 270kgF/100mm.",KG,14.72,15220480,0,0,0,0,14.72,15220480,ONG,5,0,0,5,17/09/2024
5200100162000000,"Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, chiều dài 117.0cm (+1.0), F(Min) = 270kgF/100mm.",KG,33.7,0,0,0,0,0,33.7,0,ONG,9,0,0,9,17/09/2024
5200100270000000,Ống giấy cũ dài 36cm,ONG,70,0,0,0,0,0,70,0,ONG,70,0,0,70,17/09/2024
5200101380000000,"[ĐA] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 96cm (+1), độ bền nén: >=270kgF/100mm.",KG,201.6,0,0,0,0,0,201.6,0,ONG,60,0,0,60,17/09/2024
5200101500000000,"Ống giấy mới, dài 183cm(+1/-0), ĐK trong: 76.5mm, Dày: 15mm(+1/-0), độ bền nén: >=270kgF/100mm",ONG,2,0,0,0,0,0,2,0,ONG,2,0,0,2,17/09/2024
0900200040000000,"Thùng Carton giấy màu nâu, KT phủ bì DxRxC: 560x350x190mm (-0/+5),5 lớp,thùng có in 2 bên, marka: GECOSAC REF 274P SACS TISSES 65KGS; TL: 760.0-/+10.0g/thùng.",KG,9.68,202873,0,0,0,0,9.68,202873,CAI,13,0,0,13,17/09/2024
0900200050000000,"Thùng Carton giấy màu nâu, KT phủ bì DxRxC: 530x320x190mm (-0/+5),5 lớp,thùng có in 2 bên, marka: ACOSAC REF 432 SACS TISSES 65KGS; TL:650+/-10g/thùng",KG,3.6,1580992,0,0,0,0,3.6,1580992,CAI,5,0,0,5,17/09/2024
BIACARTON5LOP.1111,Bìa carton 5 lớp kích thước 1.1mx1.1m. [Lót Pallet],TAM,1,15000,0,0,0,0,1,15000,TAM,1,0,0,1,17/09/2024
040010002000000,"Chỉ may polyester 210/3, màu trắng. Lực ≥4KgF, độ giãn 18.5- 20.0%",KG,41.19,2540078,0,0,0,0,41.19,2540078,KG,41.19,0,0,41.19,17/09/2024
040010003000000,"Chỉ may polyester 40/2, màu trắng. Lực ≥1KgF, độ giãn ≥ 16%",KG,251.36,29728631,0,0,0,0,251.36,29728631,KG,251.36,0,0,251.36,17/09/2024
040010004000000,"Chỉ may cotton C6, màu trắng. [1600D, 6.0kgF, 16%]",KG,519.22,28492803,0,0,0,0,519.22,28492803,KG,519.22,0,0,519.22,17/09/2024
040010005000000,"Chỉ may cotton C6, màu đỏ. [1600D, 6.0kgF, 16%]",KG,235.06,14538906,0,0,0,0,235.06,14538906,KG,235.06,0,0,235.06,17/09/2024
040010006000000,"Chỉ may cotton C9, màu trắng. [2400D, 9.0kgF, 16%]",KG,39.1,1871357,0,0,0,0,39.1,1871357,KG,39.1,0,0,39.1,17/09/2024
040010007000000,"Chỉ may multi Polyester, 2000D (se đôi), màu trắng. [Dùng cho may bao Jumbo]; Lực ≥15KgF, độ giãn ≥ 15.5% ± 1",KG,1000,34509551,0,0,0,0,1000,34509551,KG,1000,0,0,1000,17/09/2024
040010008000000,Chỉ may PP 1200D,KG,106,3289714,0,0,0,0,106,3289714,KG,106,0,0,106,17/09/2024
040010009000000,"Chỉ may PP 1200D, màu trắng không tẩy. Lực >4.8kgF, dãn >20%, nhúng hồ 20 điểm/1 mét, kháng UV 1-2%",KG,1000.5,41575326,0,0,0,0,1000.5,41575326,KG,1000.5,0,0,1000.5,17/09/2024
040010010000000,"Chỉ may PP 1200D, màu đỏ. Cơ lý > or = 4.8 KgF. Độ dãn > or =20%, Nhúng hồ 20 điểm/1 mét (5cm/điểm), kháng UV 1-2%",KG,567.85,30096050,0,0,0,0,567.85,30096050,KG,567.85,0,0,567.85,17/09/2024
040010011000000,"Chỉ may PP 1200D, xanh dương. Cơ lý > or = 4.8KgF. Độ dãn > or =20%, Nhúng hồ 20 điểm/1 mét (5cm/điểm), kháng UV 1-2%",KG,431.66,19856360,0,0,0,0,431.66,19856360,KG,429.63,0,0,429.63,17/09/2024
040010012000000,"Chỉ may PP 600D, màu trắng không tẩy. Cơ lý > or = 2.4Kgf. Độ dãn > or =20%, Nhúng hồ 20 điểm/1 mét (5cm/điểm). Kháng UV 1-2%",KG,270.57,10321048,0,0,0,0,270.57,10321048,KG,270.57,0,0,270.57,17/09/2024
040010013000000,"Chỉ may PP 600D, màu xanh dương.Cơ lý > or = 2,4Kgf. Độ dãn > or =20%, Nhúng hồ 20 điểm/1 mét (5cm/điểm). Kháng UV 1-2%",KG,455,23192472,0,0,0,0,455,23192472,KG,455,0,0,455,17/09/2024
040010014000000,Chỉ may PP multiflament 900D,KG,105,3258679,0,0,0,0,105,3258679,KG,105,0,0,105,17/09/2024
040010015000000,"Chỉ may PP 900D, màu trắng không tẩy.(Cơ lý > or = 3.6Kgf. Độ dãn > or = 20%, Nhúng hồ 20 điểm/1 mét (5cm/điểm), màu trắng không tẩy), kháng UV 1-2%",KG,1860.03,68821110,0,0,207.34,7671580,1652.69,61149530,KG,1860.03,0,207.34,1652.69,17/09/2024
040010020000000,"Chỉ may  Polyester, 3000D, màu trắng. [Dùng cho may bao Jumbo]; Lực ≥22KgF, độ giãn ≥ 15.5% ± 1",KG,190.5,9525000,0,0,0,0,190.5,9525000,KG,190.5,0,0,190.5,17/09/2024
0700100030000000,nhớt 10,LIT,3230,99577013.47,2000,0,2200,6165760,3030,93411253.47,LIT,3230,2000,2200,3030,17/09/2024
0700100060000000,nhớt 40,LIT,80,560000000,0,0,0,0,80,560000000,LIT,80,0,0,80,17/09/2024
0700100210000000,Dầu thắng vh3-2,LON,3,240000,0,0,0,0,3,240000,LON,3,0,0,3,17/09/2024
0700100240000000,AXIT LOÃNG CHÂM BÌNH,LIT,210,1470000,0,0,210,1470000,0,0,LIT,210,0,210,0,17/09/2024
0700100350000000,Mực Gray 4274 gián tiếp,KG,50,5650000,0,0,0,0,50,5650000,KG,50,0,0,50,17/09/2024
0700100370000000,Nước làm mát động cơ ESNA Coolant,LIT,3,120000,0,0,0,0,3,120000,LIT,3,0,0,3,17/09/2024
0700100090000000,dầu do,Lít,320,5322951,0,0,0,0,320,5322951,Lít,320,0,0,320,17/09/2024
0700100050000000,Nhớt omala320,LIT,179,9966073,0,0,30,1670292,149,8295781,LIT,179,0,30,149,17/09/2024
MDM-D7423C-GIANTIEP,Mực đỏ 7423C-GIÁN TIẾP,KG,48,3552000,0,0,0,0,48,3552000,KG,48,0,0,48,17/09/2024
MDM-DMC,Dung môi Chỉnh,KG,50,1950000,0,0,25,975000,25,975000,KG,50,0,25,25,17/09/2024
MDM-DML,Dung Môi PP - Dung Môi trực tiếp,KG,1061,41365669.96,0,0,340,13258251,721,28107418.96,KG,1061,0,340,721,17/09/2024
MDM-DMPB,Dung môi phủ bóng,KG,5,395000,0,0,0,0,5,395000,KG,5,0,0,5,17/09/2024
MDM-FL021,Cam 021C FL.,KG,50,3750000,0,0,0,0,50,3750000,KG,50,0,0,50,17/09/2024
MDM-FL021GT,Cam 021C FL gián tiếp,KG,100,7500000,0,0,0,0,100,7500000,KG,100,0,0,100,17/09/2024
MDM-FL10,Đỏ Cam 10 FL,KG,50,3700000,0,0,25,1850000,25,1850000,KG,50,0,25,25,17/09/2024
MDM-FL10GT,Đỏ Cam 10 FL gián tiếp,KG,50,3700000,0,0,0,0,50,3700000,KG,50,0,0,50,17/09/2024
MDM-FL23,Vàng Chanh 23 FL,KG,100,7372727,0,0,0,0,100,7372727,KG,100,0,0,100,17/09/2024
MDM-FL23GT,Vàng Chanh 23 FL gián tiếp (P012C),KG,25,1850000,0,0,0,0,25,1850000,KG,25,0,0,25,17/09/2024
MDM-FL348,Xanh lá 348C,KG,50,3800000,0,0,0,0,50,3800000,KG,50,0,0,50,17/09/2024
MDM-FL348GT,Xanh lá 348C gián tiếp,KG,50,4150000,0,0,0,0,50,4150000,KG,50,0,0,50,17/09/2024
MDM-FL39,Xanh Dương 39 FL,KG,25,1900000.62,0,0,0,0,25,1900000.62,KG,25,0,0,25,17/09/2024
MDM-FL39GT,Xanh Dương 39 FL gián tiếp,KG,50,3802307.43,0,0,0,0,50,3802307.43,KG,50,0,0,50,17/09/2024
MDM-FL485GT,Đỏ 485C gián tiếp,KG,75,5554590.49,0,0,0,0,75,5554590.49,KG,75,0,0,75,17/09/2024
