Mã số,Mặt hàng,Đvt (2),SL (2),Đvt (1),SL (1),Date
9045002480000236,Ghế ngồi may chân cao 60cm inox bọc nệm phía trên,CAI,10,CAI,10,03/04/2025
0901900330000000,BÁNH XE CAM NOVA6 - phi 52mm (Nova6 063506),Cái,1624,Cái,1624,03/04/2025
0923800260000000,GỌNG THOI DƯỚI ( SHUTTLE GUIDE - P) Mã : 11158161610,CAI,14,CAI,14,03/04/2025
5300101040000000,Thước lá INOX - dài 300mm,CAI,1,CAI,1,03/04/2025
HAT-TC-ADE50,Hạt taical kéo sợi HDPE,KG,175,KG,175,03/04/2025
0905500470000000,Sắt kẽm bô,KG,3,KG,3,03/04/2025
0907101270000000,Motor máy hút bụi AMETEK 1000W - 240V - 50/60HZ.,CAI,3,CAI,3,03/04/2025
0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",KG,2223.39,Cuộn,222.33,03/04/2025
0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,KG,61.44,CUON,6.14,03/04/2025
0500100060000000,"Dây đai nẹp xấp nhỏ, màu vàng, K12.0mm, TL: 6.0g/m.",KG,100,CUON,10,03/04/2025
5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",KG,2895.96,ONG,651.67,03/04/2025
5200100167000000,"Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, chiều dài 115.0cm (+1.0), F(Min) = 270kgF/100mm.",KG,312.8,ONG,85,03/04/2025
0500100110000000,"Dây đai ép kiện PP, màu xanh lá, K15.0mm, dày 1mm, tension >350kgF, TL: 10g/m",KG,100,Cuộn,10,03/04/2025
9045002450000000,"Ống nhựa PVC đường kính trong 16mm, dày 2mm, trắng trong. TL: 100g/m",KG,3.47,M,34.73,03/04/2025
020020021,"Ống giấy mới, dài 202cm(+2/-0), ĐK trong: 76.0mm, Dày: 7.0-8.0mm, ĐK ngoài: 91.0mm, lực nén tối thiểu: 100kgF, TL: 3.0kg/ống(+/-0.2).",KG,2541,ONG,847,03/04/2025
5200100050000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 113cm (-1), độ bền nén: >=270kgF/100mm.",KG,173.47,ONG,38,03/04/2025
5200100060000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 116cm (-1), độ bền nén: >=270kgF/100mm.",KG,73.08,ONG,18,03/04/2025
5200100080000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 119cm (-0/+1), độ bền nén: >=270kgF/100mm",KG,87.47,ONG,21,03/04/2025
5200100090000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 120cm (-1), độ bền nén: >=270kgF/100mm.",KG,218.4,ONG,52,03/04/2025
5200100100000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 123cm (-1), độ bền nén: >=270kgF/100mm.",KG,21.53,ONG,5,03/04/2025
5200100110000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 114cm (+1), độ bền nén: >=270kgF/100mm.",KG,136,ONG,34,03/04/2025
5200100120000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 123cm (+1), độ bền nén: >=270kgF/100mm.",KG,563.05,ONG,131,03/04/2025
05200100158000000,"Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, chiều dài 92.0cm (+1.0), F(Min) = 270kgF/100mm.",KG,14.72,ONG,5,03/04/2025
5200100162000000,"Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, chiều dài 117.0cm (+1.0), F(Min) = 270kgF/100mm.",KG,33.7,ONG,9,03/04/2025
5200100270000000,Ống giấy cũ dài 36cm,ONG,70,ONG,70,03/04/2025
5200100800000000,"Ống giấy cũ [3""x15mm], dài 100cm (+1).",KG,433.37,ONG,64,03/04/2025
5200100880000000,"Ống giấy cũ [3""x15mm], dài 123cm (+1).",KG,0.005,ONG,0,03/04/2025
5200101200000000,"Ống giấy cũ [3""x15mm], dài 68cm (+1).",KG,-23.8,ONG,-10,03/04/2025
5200101380000000,"[ĐA] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 96cm (+1), độ bền nén: >=270kgF/100mm.",KG,201.6,ONG,60,03/04/2025
5200101410000000,Ống giấy cũ dài trên 135cm.,KG,9580,KG,9580,03/04/2025
5200101500000000,"Ống giấy mới, dài 183cm(+1/-0), ĐK trong: 76.5mm, Dày: 15mm(+1/-0), độ bền nén: >=270kgF/100mm",ONG,2,ONG,2,03/04/2025
040010002000000,"Chỉ may polyester 210/3, màu trắng. Lực ≥4KgF, độ giãn 18.5- 20.0%",KG,37.49,KG,37.49,03/04/2025
040010003000000,"Chỉ may polyester 40/2, màu trắng. Lực ≥1KgF, độ giãn ≥ 16%",KG,201.34,KG,201.34,03/04/2025
040010004000000,"Chỉ may cotton C6, màu trắng. [1600D, 6.0kgF, 16%]",KG,650.01,KG,650.01,03/04/2025
040010005000000,"Chỉ may cotton C6, màu đỏ. [1600D, 6.0kgF, 16%]",KG,235.06,KG,235.06,03/04/2025
040010006000000,"Chỉ may cotton C9, màu trắng. [2400D, 9.0kgF, 16%]",KG,318.85,KG,318.85,03/04/2025
040010007000000,"Chỉ may multi Polyester, 2000D (se đôi), màu trắng. [Dùng cho may bao Jumbo]; Lực ≥15KgF, độ giãn ≥ 15.5% ± 1",KG,1489.36,KG,1489.36,03/04/2025
040010008000000,Chỉ may PP 1200D,KG,106,KG,106,03/04/2025
040010009000000,"Chỉ may PP 1200D, màu trắng không tẩy. Lực >4.8kgF, dãn >20%, nhúng hồ 20 điểm/1 mét, kháng UV 1-2%",KG,627.92,KG,584.92,03/04/2025
040010010000000,"Chỉ may PP 1200D, màu đỏ. Cơ lý > or = 4.8 KgF. Độ dãn > or =20%, Nhúng hồ 20 điểm/1 mét (5cm/điểm), kháng UV 1-2%",KG,515.17,KG,515.17,03/04/2025
040010011000000,"Chỉ may PP 1200D, xanh dương. Cơ lý > or = 4.8KgF. Độ dãn > or =20%, Nhúng hồ 20 điểm/1 mét (5cm/điểm), kháng UV 1-2%",KG,73.73,KG,73.73,03/04/2025
040010012000000,"Chỉ may PP 600D, màu trắng không tẩy. Cơ lý > or = 2.4Kgf. Độ dãn > or =20%, Nhúng hồ 20 điểm/1 mét (5cm/điểm). Kháng UV 1-2%",KG,697.78,KG,697.78,03/04/2025
040010013000000,"Chỉ may PP 600D, màu xanh dương.Cơ lý > or = 2,4Kgf. Độ dãn > or =20%, Nhúng hồ 20 điểm/1 mét (5cm/điểm). Kháng UV 1-2%",KG,455,KG,455,03/04/2025
040010014000000,Chỉ may PP multiflament 900D,KG,105,KG,105,03/04/2025
040010015000000,"Chỉ may PP 900D, màu trắng không tẩy.(Cơ lý > or = 3.6Kgf. Độ dãn > or = 20%, Nhúng hồ 20 điểm/1 mét (5cm/điểm), màu trắng không tẩy), kháng UV 1-2%",KG,2233.35,KG,2233.35,03/04/2025
040010020000000,"Chỉ may  Polyester, 3000D, màu trắng. [Dùng cho may bao Jumbo]; Lực ≥22KgF, độ giãn ≥ 15.5% ± 1",KG,15.1,KG,15.1,03/04/2025
040010020540000,"Chỉ tơ Polyester, không se , 3000D, màu trắng. [Dùng cho may bao Jumbo]; Lực ≥22KgF, độ giãn ≥ 15.5% ± 1",KG,2.6,KG,2.6,03/04/2025
040010007010000,"Chỉ may multi Polyester, 2000D (se đôi), màu xanh dương. [Dùng cho may bao Jumbo]; Lực ≥15KgF, độ giãn ≥ 15.5% ± 1",KG,4.3,KG,4.3,03/04/2025
040010022000000,"Chỉ may PP 3000D, xanh dương. Cơ lý > or = 15KgF. Độ dãn > or =22%, Nhúng hồ 20 điểm/1 mét (5cm/điểm), kháng UV 1-2%",KG,399.4,KG,399.4,03/04/2025
040010023000000,"Chỉ may PP 3000D, trắng đục. Cơ lý > or = 15KgF. Độ dãn > or =22%, Nhúng hồ 20 điểm/1 mét (5cm/điểm), kháng UV 1-2%",KG,80,KG,80,03/04/2025
040010024000000,"Chỉ may Polyester, 4000D, màu xanh dương. [Dùng cho may bao Jumbo]; Lực ≥22KgF, độ giãn ≥ 15.5%",KG,783.8,KG,783.8,03/04/2025
040010025000000,Chỉ may (4000D PP BLUE SEWING THREAD),CUON,2000,CUON,2000,03/04/2025
040010026000000,Chỉ may (4000D PP WHITE SEWING THREAD),CUON,1000,CUON,1000,03/04/2025
0700100030000000,nhớt 10,LIT,1095,LIT,1095,03/04/2025
0700100060000000,nhớt 40,LIT,30,LIT,30,03/04/2025
0700100210000000,Dầu thắng vh3-2,LON,3,LON,3,03/04/2025
0700100350000000,Mực Gray 4274 gián tiếp,KG,50,KG,50,03/04/2025
0700100090000000,dầu do,Lít,510,Lít,510,03/04/2025
MDM-D7423C-GIANTIEP,Mực đỏ 7423C-GIÁN TIẾP,KG,48,KG,48,03/04/2025
MDM-DML,Dung Môi PP - Dung Môi trực tiếp,KG,510,KG,510,03/04/2025
MDM-DMPB,Dung môi phủ bóng,KG,5,KG,5,03/04/2025
