Mã số,Mặt hàng,Đvt (2),Đầu kỳ (2),Giá trị đầu kỳ,Nhập (2),Giá trị nhập,Xuất (2),Giá trị xuất,Cuối kỳ (2),Giá trị cuối kỳ,Đvt (1),Đầu kỳ (1),Nhập (1),Xuất (1),Cuối kỳ (1)
9045002480000236,Ghế ngồi may chân cao 60cm inox bọc nệm phía trên,CAI,10,1700000,0,0,0,0,10,1700000,CAI,10,0,0,10
0901900330000000,BÁNH XE CAM NOVA6 - phi 52mm (Nova6 063506),Cái,1624,50654658,0,0,0,0,1624,50654658,Cái,1624,0,0,1624
0923800260000000,GỌNG THOI DƯỚI ( SHUTTLE GUIDE - P) Mã : 11158161610,CAI,14,1020236,0,0,0,0,14,1020236,CAI,14,0,0,14
5300101040000000,Thước lá INOX - dài 300mm,CAI,1,30000,0,0,0,0,1,30000,CAI,1,0,0,1
HAT-TC-ADE50,Hạt taical kéo sợi HDPE,KG,175,0,0,0,0,0,175,0,KG,175,0,0,175
0905500470000000,Sắt kẽm bô,KG,3,73846,0,0,0,0,3,73846,KG,3,0,0,3
0907101270000000,Motor máy hút bụi AMETEK 1000W - 240V - 50/60HZ.,CAI,3,3750000,0,0,0,0,3,3750000,CAI,3,0,0,3
0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",KG,2223.39,92251503,0,0,0,0,2223.39,92251503,Cuộn,222.33,0,0,222.33
0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,KG,61.44,1392950,0,0,0,0,61.44,1392950,CUON,6.14,0,0,6.14
0500100060000000,"Dây đai nẹp xấp nhỏ, màu vàng, K12.0mm, TL: 6.0g/m.",KG,100,2717677,0,0,0,0,100,2717677,CUON,10,0,0,10
5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",KG,1953.62,79561160,0,0,0,0,1953.62,79561160,ONG,439.67,0,0,439.67
5200100167000000,"Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, chiều dài 115.0cm (+1.0), F(Min) = 270kgF/100mm.",KG,312.8,36754000,0,0,0,0,312.8,36754000,ONG,85,0,0,85
0500100110000000,"Dây đai ép kiện PP, màu xanh lá, K15.0mm, dày 1mm, tension >350kgF, TL: 10g/m",KG,100,3193333,0,0,0,0,100,3193333,Cuộn,10,0,0,10
9045002450000000,"Ống nhựa PVC đường kính trong 16mm, dày 2mm, trắng trong. TL: 100g/m",KG,3.47,225550,0,0,0,0,3.47,225550,M,34.73,0,0,34.73
020020021,"Ống giấy mới, dài 202cm(+2/-0), ĐK trong: 76.0mm, Dày: 7.0-8.0mm, ĐK ngoài: 91.0mm, lực nén tối thiểu: 100kgF, TL: 3.0kg/ống(+/-0.2).",KG,2541,51198242,0,0,0,0,2541,51198242,ONG,847,0,0,847
5200100050000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 113cm (-1), độ bền nén: >=270kgF/100mm.",KG,173.47,7201669,0,0,0,0,173.47,7201669,ONG,38,0,0,38
5200100060000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 116cm (-1), độ bền nén: >=270kgF/100mm.",KG,73.08,2067800,0,0,0,0,73.08,2067800,ONG,18,0,0,18
5200100080000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 119cm (-0/+1), độ bền nén: >=270kgF/100mm",KG,87.47,2432138,0,0,0,0,87.47,2432138,ONG,21,0,0,21
5200100090000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 120cm (-1), độ bền nén: >=270kgF/100mm.",KG,218.4,6452000,0,0,0,0,218.4,6452000,ONG,52,0,0,52
5200100100000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 123cm (-1), độ bền nén: >=270kgF/100mm.",KG,21.53,615000,0,0,0,0,21.53,615000,ONG,5,0,0,5
5200100110000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 114cm (+1), độ bền nén: >=270kgF/100mm.",KG,136,15164000,0,0,0,0,136,15164000,ONG,34,0,0,34
5200100120000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 123cm (+1), độ bền nén: >=270kgF/100mm.",KG,563.05,16598970,0,0,0,0,563.05,16598970,ONG,131,0,0,131
05200100158000000,"Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, chiều dài 92.0cm (+1.0), F(Min) = 270kgF/100mm.",KG,14.72,15220480,0,0,0,0,14.72,15220480,ONG,5,0,0,5
5200100162000000,"Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, chiều dài 117.0cm (+1.0), F(Min) = 270kgF/100mm.",KG,33.7,0,0,0,0,0,33.7,0,ONG,9,0,0,9
5200100270000000,Ống giấy cũ dài 36cm,ONG,70,0,0,0,0,0,70,0,ONG,70,0,0,70
5200100800000000,"Ống giấy cũ [3""x15mm], dài 100cm (+1).",KG,433.37,0,0,0,0,0,433.37,0,ONG,64,0,0,64
5200100880000000,"Ống giấy cũ [3""x15mm], dài 123cm (+1).",KG,0.005,0,0,0,0,0,0.005,0,ONG,0,0,0,0
5200101200000000,"Ống giấy cũ [3""x15mm], dài 68cm (+1).",KG,-23.8,0,0,0,0,0,-23.8,0,ONG,-10,0,0,-10
5200101380000000,"[ĐA] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 96cm (+1), độ bền nén: >=270kgF/100mm.",KG,201.6,0,0,0,0,0,201.6,0,ONG,60,0,0,60
5200101410000000,Ống giấy cũ dài trên 135cm.,KG,9580,76440776,0,0,0,0,9580,76440776,KG,9580,0,0,9580
5200101500000000,"Ống giấy mới, dài 183cm(+1/-0), ĐK trong: 76.5mm, Dày: 15mm(+1/-0), độ bền nén: >=270kgF/100mm",ONG,2,0,0,0,0,0,2,0,ONG,2,0,0,2
040010002000000,"Chỉ may polyester 210/3, màu trắng. Lực ≥4KgF, độ giãn 18.5- 20.0%",KG,37.49,2096377,0,0,0,0,37.49,2096377,KG,37.49,0,0,37.49
040010003000000,"Chỉ may polyester 40/2, màu trắng. Lực ≥1KgF, độ giãn ≥ 16%",KG,201.34,23476131,0,0,0,0,201.34,23476131,KG,201.34,0,0,201.34
040010004000000,"Chỉ may cotton C6, màu trắng. [1600D, 6.0kgF, 16%]",KG,650.01,32308023,0,0,0,0,650.01,32308023,KG,650.01,0,0,650.01
040010005000000,"Chỉ may cotton C6, màu đỏ. [1600D, 6.0kgF, 16%]",KG,235.06,14538906,0,0,0,0,235.06,14538906,KG,235.06,0,0,235.06
040010006000000,"Chỉ may cotton C9, màu trắng. [2400D, 9.0kgF, 16%]",KG,318.85,15699988,0,0,0,0,318.85,15699988,KG,318.85,0,0,318.85
040010007000000,"Chỉ may multi Polyester, 2000D (se đôi), màu trắng. [Dùng cho may bao Jumbo]; Lực ≥15KgF, độ giãn ≥ 15.5% ± 1",KG,1489.36,92053443,0,0,0,0,1489.36,92053443,KG,1489.36,0,0,1489.36
040010008000000,Chỉ may PP 1200D,KG,106,3289714,0,0,0,0,106,3289714,KG,106,0,0,106
040010009000000,"Chỉ may PP 1200D, màu trắng không tẩy. Lực >4.8kgF, dãn >20%, nhúng hồ 20 điểm/1 mét, kháng UV 1-2%",KG,627.92,24241903,0,0,1.1,0,626.82,24241903,KG,584.92,0,1.1,583.82
040010010000000,"Chỉ may PP 1200D, màu đỏ. Cơ lý > or = 4.8 KgF. Độ dãn > or =20%, Nhúng hồ 20 điểm/1 mét (5cm/điểm), kháng UV 1-2%",KG,515.17,27304010,0,0,0,0,515.17,27304010,KG,515.17,0,0,515.17
040010011000000,"Chỉ may PP 1200D, xanh dương. Cơ lý > or = 4.8KgF. Độ dãn > or =20%, Nhúng hồ 20 điểm/1 mét (5cm/điểm), kháng UV 1-2%",KG,73.27,2949200,0,0,0,0,73.27,2949200,KG,73.27,0,0,73.27
040010012000000,"Chỉ may PP 600D, màu trắng không tẩy. Cơ lý > or = 2.4Kgf. Độ dãn > or =20%, Nhúng hồ 20 điểm/1 mét (5cm/điểm). Kháng UV 1-2%",KG,697.78,29066879,0,0,0,0,697.78,29066879,KG,697.78,0,0,697.78
