KHÁCH HÀNG;SLG;LOẠI FT;H.THỨC;LỊCH BAN ĐẦU;LỊCH ĐIỀU CHỈNH;XUẤT TT;THÁNG TT;NĂM TT;WEEK;NOTE 2;ĐƠN HÀNG;THÁNG SO;NĂM SO;MÃ SP;CHI TIẾT SẢN PHẨM;LOẠI SP; S.LG ; T.LG (KG) ;S.LG GIAO;T.LG GIAO (KG);ĐÃ GIAO TT;ĐÃ GIAO (Kg) TT;SO - XN;KHTK;LSX
48 LUMUT;1;20FT;Oversea;30/11/2022;30/11/2022;30/11/2022;11;2022;49;;SO2211-0016;THÁNG 11;NĂM 2022;0119119001001000;Bao TP-PP, trắng đục, K48.5x79LL(+/-1), TL: 80g/cái(+/-5%), MK: BALANCE. [Kiện 5 tép 100 cái trở đầu, loại bỏ dây cột, vải áo dệt xếp, nhận dạng MK bên ngoài, bắn đai 5 ngang x 1 dọc]/TPH485079TDMFM.LMBALA;BAG; 2.000,00 ; 160,00 ;2.000,00;160,00;2.000,00;160,00;CHỐT;CHỐT;CHỐT
48 LUMUT;;20FT;Oversea;30/11/2022;30/11/2022;30/11/2022;11;2022;49;;SO2211-0016;THÁNG 11;NĂM 2022;0119119001002000;Bao TP-PP, trắng đục, K48.5x79LL(+/-1), TL: 80g/cái(+/-5%), MK: BICYCLE BLUE. [Kiện 5 tép 100 cái trở đầu, loại bỏ dây cột, vải áo dệt xếp, nhận dạng MK bên ngoài, bắn đai 5 ngang x 1 dọc]/TPH485079TDMFM.LMBIBL;BAG; 25.000,00 ; 2.000,00 ;25.000,00;2.000,00;25.000,00;2.000,00;CHỐT;CHỐT;CHỐT
48 LUMUT;;20FT;Oversea;30/11/2022;30/11/2022;30/11/2022;11;2022;49;;SO2211-0016;THÁNG 11;NĂM 2022;0119119001003000;Bao TP-PP, trắng đục, K48.5x79LL(+/-1), TL: 80g/cái(+/-5%), MK: BICYCLE GREEN. [Kiện 5 tép 100 cái trở đầu, loại bỏ dây cột, vải áo dệt xếp, nhận dạng MK bên ngoài, bắn đai 5 ngang x 1 dọc]/TPH485079TDMFM.LMBIGR;BAG; 40.000,00 ; 3.200,00 ;40.000,00;3.200,00;40.000,00;3.200,00;CHỐT;CHỐT;CHỐT
48 LUMUT;;20FT;Oversea;30/11/2022;30/11/2022;30/11/2022;11;2022;49;;SO2211-0016;THÁNG 11;NĂM 2022;0119119001005000;Bao TP-PP, trắng đục, K48.5x79LL(+/-1), TL: 80g/cái(+/-5%), MK: BLUE BICYCLE (EXPORT). [Kiện 5 tép 100 cái trở đầu, loại bỏ dây cột, vải áo dệt xếp, nhận dạng MK bên ngoài, bắn đai 5 ngang x 1 dọc]/TPH485079TDMFM.LMBLBIEX;BAG; 2.000,00 ; 160,00 ;2.000,00;160,00;2.000,00;160,00;CHỐT;CHỐT;CHỐT
48 LUMUT;;20FT;Oversea;30/11/2022;30/11/2022;30/11/2022;11;2022;49;;SO2211-0016;THÁNG 11;NĂM 2022;0119119001006000;Bao TP-PP, trắng đục, K48.5x79LL(+/-1), TL: 80g/cái(+/-5%), MK: BLUE BICYCLE WISH & ABLE. [Kiện 5 tép 100 cái trở đầu, loại bỏ dây cột, vải áo dệt xếp, nhận dạng MK bên ngoài, bắn đai 5 ngang x 1 dọc]/TPH485079TDMFM.LMBLBIWI;BAG; 2.000,00 ; 160,00 ;2.000,00;160,00;2.000,00;160,00;CHỐT;CHỐT;CHỐT
48 LUMUT;;20FT;Oversea;30/11/2022;30/11/2022;30/11/2022;11;2022;49;;SO2211-0016;THÁNG 11;NĂM 2022;0119119001007000;Bao TP-PP, trắng đục, K48.5x79LL(+/-1), TL: 80g/cái(+/-5%), MK: BLUE ROSES PAU. [Kiện 5 tép 100 cái trở đầu, loại bỏ dây cột, vải áo dệt xếp, nhận dạng MK bên ngoài, bắn đai 5 ngang x 1 dọc]/TPH485079TDMFM.LMBLROP;BAG; 10.000,00 ; 800,00 ;10.000,00;800,00;10.000,00;800,00;CHỐT;CHỐT;CHỐT
48 LUMUT;;20FT;Oversea;30/11/2022;30/11/2022;30/11/2022;11;2022;49;;SO2211-0016;THÁNG 11;NĂM 2022;0119119001008000;Bao TP-PP, trắng đục, K48.5x79LL(+/-1), TL: 80g/cái(+/-5%), MK: DIAMOND. [Kiện 5 tép 100 cái trở đầu, loại bỏ dây cột, vải áo dệt xếp, nhận dạng MK bên ngoài, bắn đai 5 ngang x 1 dọc]/TPH485079TDMFM.LMDIMO;BAG; 23.000,00 ; 1.840,00 ;23.000,00;1.840,00;23.000,00;1.840,00;CHỐT;CHỐT;CHỐT
48 LUMUT;;20FT;Oversea;30/11/2022;30/11/2022;30/11/2022;11;2022;49;;SO2211-0016;THÁNG 11;NĂM 2022;0119119001011000;Bao TP-PP, trắng đục, K48.5x79LL(+/-1), TL: 80g/cái(+/-5%), MK: LOVE BIRD. [Kiện 5 tép 100 cái trở đầu, loại bỏ dây cột, vải áo dệt xếp, nhận dạng MK bên ngoài, bắn đai 5 ngang x 1 dọc]/TPH485079TDMFM.LMLOBI;BAG; 4.000,00 ; 320,00 ;4.000,00;320,00;4.000,00;320,00;CHỐT;CHỐT;CHỐT
48 LUMUT;;20FT;Oversea;30/11/2022;30/11/2022;30/11/2022;11;2022;49;;SO2211-0016;THÁNG 11;NĂM 2022;0119119001012000;Bao TP-PP, trắng đục, K48.5x79LL(+/-1), TL: 80g/cái(+/-5%), MK: NB SPECIAL. [Kiện 5 tép 100 cái trở đầu, loại bỏ dây cột, vải áo dệt xếp, nhận dạng MK bên ngoài, bắn đai 5 ngang x 1 dọc]/TPH485079TDMFM.LMNBSP;BAG; 2.000,00 ; 160,00 ;2.000,00;160,00;2.000,00;160,00;CHỐT;CHỐT;CHỐT
48 LUMUT;;20FT;Oversea;30/11/2022;30/11/2022;30/11/2022;11;2022;49;;SO2211-0016;THÁNG 11;NĂM 2022;0119119001014000;Bao TP-PP, trắng đục, K48.5x79LL(+/-1), TL: 80g/cái(+/-5%), MK: RED ROSES. [Kiện 5 tép 100 cái trở đầu, loại bỏ dây cột, vải áo dệt xếp, nhận dạng MK bên ngoài, bắn đai 5 ngang x 1 dọc]/TPH485079TDMFM.LMRERO;BAG; 4.000,00 ; 320,00 ;4.000,00;320,00;4.000,00;320,00;CHỐT;CHỐT;CHỐT
