Số đơn hàng,Mã sản phẩm,Tên sản phẩm,Công việc,Tên công việc,Mã nhóm,Mã mặt hàng,Tên mặt hàng,Đơn vị tính 1,Đơn vị tính 2,Số lượng (1),Số lượng (2)
SO2408-0026,0102109025000000,"Vải cuộn PP, trắng đục, hấp PE bên trong, K56.0cm, TL: 95.0g/m./HAPHAL560095TRDU",02,Công đoạn tạo sợi,TPH-1551,SOI-SP30-2,"Sợi PP, 820D, 2.91mm, trắng đục. [25.0%]",KG,KG,20187.87,20187.87
SO2408-0026,0102109025000000,"Vải cuộn PP, trắng đục, hấp PE bên trong, K56.0cm, TL: 95.0g/m./HAPHAL560095TRDU",03,Công đoạn dệt,TPH-1552,THACUHAL570085080735TRDU,"Vải cuộn PP, trắng đục, dệt lòng PE, K57.0cm(+/-0.5), TL vải + PE: 95g/m. (TL vải: 73.5g/m, 64.5gsm)",M,KG,271005,25745.475
SO2408-0026,0102109025000000,"Vải cuộn PP, trắng đục, hấp PE bên trong, K56.0cm, TL: 95.0g/m./HAPHAL560095TRDU",07,Công đoạn thổi túi (HDPE - LDPE-LLDPE),THA,HDPE0027-2,"Cuộn HDPE, K57.3cm, 21.5g/m, 22.0mic, trắng đục. [Ext B: 68HD10LL22TC]",M,KG,274663.701,5905.269572
SO2408-0026,0102109025000000,"Vải cuộn PP, trắng đục, hấp PE bên trong, K56.0cm, TL: 95.0g/m./HAPHAL560095TRDU",10,Công đoạn tráng hấp,TPH-1552,0102109025000000,"Vải cuộn PP, trắng đục, hấp PE bên trong, K56.0cm, TL: 95.0g/m./HAPHAL560095TRDU",M,KG,267000,25365
SO2408-0025,TPH066100MRT.EXACT.NONSR,"Bao PP, trắng UV, K66.0x100.0LL (+/-1), TL: 102.0g/cái (+/-3.0), MK: EXACT (NON SIRIM), cắt răng cưa. [Tép 100cái, kiện 5 tép trở đầu, 5 đai ngang + 1 đai dọc, MK in bên ngoài]",02,Công đoạn tạo sợi,TPH-1551,SOI-HV4,"Sợi PP, trắng UV, 740D, 2.60mm. [20.0Talc+1.3UV]",KG,KG,3543.75,3543.75
SO2408-0025,TPH066100MRTEXACTSR1063,"Bao PP, trắng UV, K66.0x100.0LL (+/-1), TL: 102.0g/cái (+/-3.0), MK: EXACT (SIRIM 1063), cắt răng cưa. [Tép 100cái, kiện 5 tép trở đầu, 5 đai ngang + 1 đai dọc, MK in bên ngoài]",02,Công đoạn tạo sợi,TPH-1551,SOI-HV4,"Sợi PP, trắng UV, 740D, 2.60mm. [20.0Talc+1.3UV]",KG,KG,3548.3,3548.3
SO2408-0025,TPH078130MRT.EXACT.NONSR,"Bao PP, trắng UV, K78x130LL (+/-1), TL: 160g/cái (+/-4.8), MK: EXACT (NON SIRIM), cắt răng cưa. [Tép 100cái, kiện 5 tép trở đầu, 6 đai ngang + 1 đai dọc, MK in bên ngoài]/TPH078130MRT.EXACT.NONSR",02,Công đoạn tạo sợi,TPH-1551,SOI-HV4,"Sợi PP, trắng UV, 740D, 2.60mm. [20.0Talc+1.3UV]",KG,KG,2421.945,2421.945
SO2408-0025,TPH078130MRTEXACTSR1063,"Bao PP, trắng UV, K78.0x130.0LL (+/-1), TL: 160.0g/cái (+/-4.8), MK: EXACT (SIRIM 1063), cắt răng cưa. [Tép 100cái, kiện 5 tép trở đầu, 6 đai ngang + 1 đai dọc, MK in bên ngoài]/TPH078130MRT.EXACT.SR1063",02,Công đoạn tạo sợi,TPH-1551,SOI-HV4,"Sợi PP, trắng UV, 740D, 2.60mm. [20.0Talc+1.3UV]",KG,KG,2421.945,2421.945
SO2408-0025,TPH066100MRT.EXACT.NONSR,"Bao PP, trắng UV, K66.0x100.0LL (+/-1), TL: 102.0g/cái (+/-3.0), MK: EXACT (NON SIRIM), cắt răng cưa. [Tép 100cái, kiện 5 tép trở đầu, 5 đai ngang + 1 đai dọc, MK in bên ngoài]",03,Công đoạn dệt,TPH-1552,THACAMRT660100110093TRUV,"Vải cuộn PP, trắng UV, K66cm(+1/-0.5), MĐ: 10.0x11.0, TL: 93g/m(+/-3).",M,KG,37597.455,3496.563315
SO2408-0025,TPH066100MRTEXACTSR1063,"Bao PP, trắng UV, K66.0x100.0LL (+/-1), TL: 102.0g/cái (+/-3.0), MK: EXACT (SIRIM 1063), cắt răng cưa. [Tép 100cái, kiện 5 tép trở đầu, 5 đai ngang + 1 đai dọc, MK in bên ngoài]",03,Công đoạn dệt,TPH-1552,THACAMRT660100110093TRUV,"Vải cuộn PP, trắng UV, K66cm(+1/-0.5), MĐ: 10.0x11.0, TL: 93g/m(+/-3).",M,KG,37645.37,3501.01941
