Đơn hàng,KHSX,Khách hàng,Mã hàng,Tên hàng,Note,BOM,Loại hàng,Ngày giao,Tỉ lệ,Số lượng 1,Số lượng 2
SO2406-0069,MP24/07-004,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH050080G080INT.GRGL262,"Bao TP-PP, trắng tẩy, K50x80LL, TL: 80g/cái, MK: GREEN GLOBE - CODE 262 (2+0) (Mã: 5000565). (Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập)",ĐƠN HÀNG INTER GIAO NGÀY 08/07/2024,Version 1,,7/8/2024,0.08,5000,400
SO2406-0069,MP24/07-004,CÔNG TY TNHH INTERFLOUR VIỆT NAM,INB050080G793INT.GRGL262,"Bao PP-In, trắng tẩy, K50x80LL, TL: 79.32g/cái, MK: GREEN GLOBE - CODE 262 (2+0) (Mã: 5000565). [Tép 20 cái gấp 3 code ra ngoài]",ĐƠN HÀNG INTER GIAO NGÀY 08/07/2024,Version 1,,7/8/2024,0.08,5000,400
SO2406-0069,MP24/07-004,CÔNG TY TNHH INTERFLOUR VIỆT NAM,CMA050080G080TT.INT,"Bao PP, trắng tẩy, K50(+1/-0.5)x80LL(+/-1), cắt thẳng 85cm(+/-1), đáy 1 lần/2 đường PP900D trắng, TL: 78.82g/cái(+/-2.5). [Đếm tép: 100cái/tép]",ĐƠN HÀNG INTER GIAO NGÀY 08/07/2024,Version 1,,7/8/2024,0.08,5000,400
SO2406-0069,MP24/07-004,CÔNG TY TNHH INTERFLOUR VIỆT NAM,THACAINT500105110092TRTA,"Cuộn PP, trắng tẩy, K50cm(+1/-0.5), MĐ: 10.5x11.0, TL: 92g/m(+/-3).",ĐƠN HÀNG INTER GIAO NGÀY 08/07/2024,Version 1,,7/8/2024,0.08,5000,400
SO2406-0069,MP24/07-004,CÔNG TY TNHH INTERFLOUR VIỆT NAM,SOI-MK11,"Sợi PP, trắng tẩy, 960D, 2.50mm.",ĐƠN HÀNG INTER GIAO NGÀY 08/07/2024,Version 1,,7/8/2024,0.08,5000,400
SO2406-0069,MP24/07-004,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH050080G080INT.GRGL263,"Bao TP-PP, trắng tẩy, K50x80LL, TL: 80g/cái, MK: GREEN GLOBE - CODE 263 (2+0) (Mã: 5000565). (Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập)",ĐƠN HÀNG INTER GIAO NGÀY 08/07/2024,Version 1,,7/8/2024,0.08,5000,400
SO2406-0069,MP24/07-004,CÔNG TY TNHH INTERFLOUR VIỆT NAM,INB050080G793INT.GRGL263,"Bao PP-In, trắng tẩy, K50x80LL, TL: 79.32g/cái, MK: GREEN GLOBE - CODE 263 (2+0) (Mã: 5000565). [Tép 20 cái gấp 3 code ra ngoài]",ĐƠN HÀNG INTER GIAO NGÀY 08/07/2024,Version 1,,7/8/2024,0.08,5000,400
SO2406-0069,MP24/07-004,CÔNG TY TNHH INTERFLOUR VIỆT NAM,CMA050080G080TT.INT,"Bao PP, trắng tẩy, K50(+1/-0.5)x80LL(+/-1), cắt thẳng 85cm(+/-1), đáy 1 lần/2 đường PP900D trắng, TL: 78.82g/cái(+/-2.5). [Đếm tép: 100cái/tép]",ĐƠN HÀNG INTER GIAO NGÀY 08/07/2024,Version 1,,7/8/2024,0.08,5000,400
SO2406-0069,MP24/07-004,CÔNG TY TNHH INTERFLOUR VIỆT NAM,THACAINT500105110092TRTA,"Cuộn PP, trắng tẩy, K50cm(+1/-0.5), MĐ: 10.5x11.0, TL: 92g/m(+/-3).",ĐƠN HÀNG INTER GIAO NGÀY 08/07/2024,Version 1,,7/8/2024,0.08,5000,400
SO2406-0069,MP24/07-004,CÔNG TY TNHH INTERFLOUR VIỆT NAM,SOI-MK11,"Sợi PP, trắng tẩy, 960D, 2.50mm.",ĐƠN HÀNG INTER GIAO NGÀY 08/07/2024,Version 1,,7/8/2024,0.08,5000,400
SO2406-0069,MP24/07-004,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH060085G102INT.GOLS020,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: GOLD S PP 40KG - CODE 020 (2+0) (Mã: 5000641). [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",ĐƠN HÀNG INTER GIAO NGÀY 08/07/2024,Version 1,,7/8/2024,0.102,2000,204
SO2406-0069,MP24/07-004,CÔNG TY TNHH INTERFLOUR VIỆT NAM,INB060085G102INT.GOLS020,"Bao PP-In, trắng tẩy, K60(+1/-0.5)x85LL(+/-1), TL: 101.13g/cái(+/-3), MK: GOLD S PP 40KG - CODE 020 (2+0) (Mã: 5000641). [Tép 20 cái gấp 03, code ra ngoài]",ĐƠN HÀNG INTER GIAO NGÀY 08/07/2024,Version 1,,7/8/2024,0.102,2000,204
SO2406-0069,MP24/07-004,CÔNG TY TNHH INTERFLOUR VIỆT NAM,CMA060085G101TT.INT,"Bao PP, trắng tẩy, K60(+1/-0.5)x85LL(+/-1), cắt răng cưa 90cm(+/-1), đáy 1 lần/2 đường PP900D trắng, TL: 100.63g/cái(+/-3). [Đếm tép: 100cái/tép]",ĐƠN HÀNG INTER GIAO NGÀY 08/07/2024,Version 1,,7/8/2024,0.102,2000,204
SO2406-0069,MP24/07-004,CÔNG TY TNHH INTERFLOUR VIỆT NAM,THACAINT600105110111TRTA,"Cuộn PP, trắng tẩy, K60cm(+1/-0.5), MĐ:10.5x11.0, TL: 111g/m(+/-3).",ĐƠN HÀNG INTER GIAO NGÀY 08/07/2024,Version 1,,7/8/2024,0.102,2000,204
