Mã phiếu,Người tạo,Ngày tạo,Mã yêu cầu,Mã vật tư,Tên vật tư,Đvt (01),SỐ LƯỢNG (01),ĐVT (02),SỐ LƯỢNG (02),NGÀY CẦN,Tiền tệ,Đơn giá,Tiền thuế,Tổng tiền,Mã NCC,Tên NCC
PO07/24-001,Nguyễn Thị Đào,45474.120138888888,PR24/07-001,5200103730000000,Aqua 28 (40kg),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO07/24-001,Nguyễn Thị Đào,45474.120138888888,PR24/07-001,5200103770000000,Aqua32,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO07/24-001,Nguyễn Thị Đào,45474.120138888888,PR24/07-001,5200103780000000,Aqua 34,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO07/24-001,Nguyễn Thị Đào,45474.120138888888,PR24/07-001,5200117500000000,STANDLEE-UNIPACK,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO07/24-001,Nguyễn Thị Đào,45474.120138888888,PR24/07-002,5200103710000000,AGRI FEED,CM2,15000,CM2,15000,,VND,290,348000,4350000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO07/24-001,Nguyễn Thị Đào,45474.120138888888,PR24/07-002,5200105150000000,Green horse,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO07/24-001,Nguyễn Thị Đào,45474.120138888888,PR24/07-002,5200106490000000,RAMA 108,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO07/24-001,Nguyễn Thị Đào,45474.120138888888,PR24/07-002,5200106620000000,Red Horse,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO07/24-001,Nguyễn Thị Đào,45474.120138888888,PR24/07-002,5200107370000000,Cap Rusa,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO07/24-001,Nguyễn Thị Đào,45474.120138888888,PR24/07-002,5200108723000000,Bản in RAMA 98,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO07/24-002,Nguyễn Thị Đào,45474.124305555553,PR24/07-003,0500100060000000,"Dây đai nẹp xấp nhỏ, màu vàng, K12.0mm, TL: 6.0g/m.",CUON,10,KG,100,,VND,275000,0,2750000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO07/24-002,Nguyễn Thị Đào,45474.124305555553,PR24/07-003,040010002000000,"Chỉ may polyester 210/3, màu trắng. Lực ≥4KgF, độ giãn 18.5- 20.0%",KG,102,KG,102,,VND,120000,0,12240000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO07/24-003,Nguyễn Thị Đào,45474.129861111112,PR24/07-003,HAT-CAM-33102B,Hạt màu cam 33102B,KG,1100,KG,1100,,VND,88000,9680000,96800000,NCC010014,CÔNG TY CỔ PHẦN NHỰA CHÂU ÂU PHƯƠNG NAM
PO07/24-003,Nguyễn Thị Đào,45474.129861111112,PR24/07-003,HAT-EMH06044,Hạt màu beige (nâu đất) EMH06044.,KG,300,KG,300,,VND,70000,2100000,21000000,NCC010014,CÔNG TY CỔ PHẦN NHỰA CHÂU ÂU PHƯƠNG NAM
