Ngày,Số chứng từ,Đơn hàng bán,Khách hàng,Diễn giải,Vật tư,Tên vật tư,Đơn vị tính 1,Só lượng (1),Số lượng (2),Đơn vị tính 2
7/1/2024,SIM07/24-001,SO2405-0049,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM ĐỨC,"Xk bán hàng ngày 01/07/2024,Xe 51C-672.66",THACUKID098100100078TRDU,"Vải manh PP trắng đục K.98.5cm, MĐ: 10.0x10.0, kiểu dệt caro; TL: 78.8g/m [4000m/cuộn]",M,19969,1567,KG
7/1/2024,SIM07/24-001,SO2405-0049,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM ĐỨC,"Xk bán hàng ngày 01/07/2024,Xe 51C-672.66",THACUKID117100100094TRDU,"Vải manh PP trắng đục K.117.5cm, MĐ: 10.0x10.0, kiểu dệt caro; TL: 94.0g/m [4000m/cuộn]",M,39986,3721,KG
7/1/2024,SIM07/24-002,SO2406-0004,P &  P DONGWON/ SEOGANG DISTRIBUTION,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455066G70CAMDW24.08A,"[08A] Bao TP-PP, màu cam, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 08A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,25380,1733.5,KG
7/1/2024,SIM07/24-002,SO2406-0004,P &  P DONGWON/ SEOGANG DISTRIBUTION,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455066G70CAMDW24.09A,"[09A] Bao TP-PP, màu cam, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 09A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,15300,1072.5,KG
7/1/2024,SIM07/24-002,SO2406-0004,P &  P DONGWON/ SEOGANG DISTRIBUTION,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455066G70CBTDW24.01B1,"[01B1] Bao TP-PP, cam biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 01B1. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,3064,201.3,KG
7/1/2024,SIM07/24-002,SO2406-0004,P &  P DONGWON/ SEOGANG DISTRIBUTION,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455066G70CBTDW24.01B2,"[01B2] Bao TP-PP, cam biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 01B2. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,1000,66.4,KG
7/1/2024,SIM07/24-002,SO2406-0004,P &  P DONGWON/ SEOGANG DISTRIBUTION,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455066G70TDUDW24.08B,"[08B] Bao TP-PP, màu trắng đục, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 08B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,2018,137.3,KG
7/1/2024,SIM07/24-002,SO2406-0004,P &  P DONGWON/ SEOGANG DISTRIBUTION,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455066G70TDUDW24.10A,"[10A] Bao TP-PP, màu trắng đục, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 10A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,60630,4057.7,KG
7/1/2024,SIM07/24-002,SO2406-0004,P &  P DONGWON/ SEOGANG DISTRIBUTION,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455066G70VBTDW24.01A1,"[01A1] Bao TP-PP, vàng biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 01A1. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,30525,2111,KG
7/1/2024,SIM07/24-002,SO2406-0004,P &  P DONGWON/ SEOGANG DISTRIBUTION,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455066G70VBTDW24.07A,"[07A] Bao TP-PP, vàng biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 07A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,30444,2089.3,KG
7/1/2024,SIM07/24-002,SO2406-0004,P &  P DONGWON/ SEOGANG DISTRIBUTION,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455066G70XLBTDW24.10D,"[10D] Bao TP-PP, màu xanh lá biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 10D. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,2050,141.7,KG
7/1/2024,SIM07/24-002,SO2406-0004,P &  P DONGWON/ SEOGANG DISTRIBUTION,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455066G70XLBTDW24.10E,"[10E] Bao TP-PP, màu  xanh lá biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 10E. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,2050,140.5,KG
7/1/2024,SIM07/24-002,SO2406-0003,P &  P DONGWON/ SEOGANG DISTRIBUTION,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455068G067CAMDW24.04A,"[04A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng HDPE-K48x75x13g, TL: PP-52g + Dây-2g + PE-13g = 67g/bộ, MK: DW24 - 04A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,25428,1610.4,KG
7/1/2024,SIM07/24-002,SO2406-0003,P &  P DONGWON/ SEOGANG DISTRIBUTION,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455068G067CAMDW24.05A,"[05A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng HDPE-K48x75x13g, TL: PP-52g + Dây-2g + PE-13g = 67g/bộ, MK: DW24 - 05A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,20364,1297.9,KG
7/1/2024,SIM07/24-002,SO2406-0003,P &  P DONGWON/ SEOGANG DISTRIBUTION,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455068G067VACDW24.05B,"[05B] Bao TP-PP, màu vàng chanh, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng HDPE-K48x75x13g, TL: PP-52g + Dây-2g + PE-13g = 67g/bộ, MK: DW24 - 05B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,5028,331.7,KG
7/1/2024,SIM07/24-002,SO2406-0003,P &  P DONGWON/ SEOGANG DISTRIBUTION,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455068G73CAMDW24.02A,"[02A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW24 - 02A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,38432,2675.2,KG
7/1/2024,SIM07/24-002,SO2406-0003,P &  P DONGWON/ SEOGANG DISTRIBUTION,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455068G73CAMDW24.03A,"[03A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW24- 03A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,27177,1883,KG
7/1/2024,SIM07/24-002,SO2406-0003,P &  P DONGWON/ SEOGANG DISTRIBUTION,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455068G73CAMDW24.06A,"[06A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW24 - 06A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,15259,1061.1,KG
7/1/2024,SIM07/24-002,SO2406-0003,P &  P DONGWON/ SEOGANG DISTRIBUTION,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455068G73TDUDW24.03B,"[03B] Bao TP-PP, màu trắng đục, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW24 - 03B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,5018,348.9,KG
7/1/2024,SIM07/24-002,SO2406-0003,P &  P DONGWON/ SEOGANG DISTRIBUTION,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455068G73TDUDW24.06B,"[06B] Bao TP-PP, màu trắng đục, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW24 - 06B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,10100,715.7,KG
7/1/2024,SIM07/24-002,SO2406-0003,P &  P DONGWON/ SEOGANG DISTRIBUTION,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455068G73XLBTDW24.02B,"[02B] Bao TP-PP, màu xanh lá biên trong, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW24 - 02B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,6950,517,KG
7/2/2024,SIM07/24-003,SO2405-0049,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM ĐỨC,"Xk bán hàng ngày 02/07/2024,Xe 51C-672.66",THACUKID098100100078TRDU,"Vải manh PP trắng đục K.98.5cm, MĐ: 10.0x10.0, kiểu dệt caro; TL: 78.8g/m [4000m/cuộn]",M,8000,630.4,KG
7/2/2024,SIM07/24-003,SO2405-0049,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM ĐỨC,"Xk bán hàng ngày 02/07/2024,Xe 51C-672.66",THACUKID098100100078TRDU,"Vải manh PP trắng đục K.98.5cm, MĐ: 10.0x10.0, kiểu dệt caro; TL: 78.8g/m [4000m/cuộn]",M,11995,945.1,KG
7/2/2024,SIM07/24-003,SO2405-0049,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM ĐỨC,"Xk bán hàng ngày 02/07/2024,Xe 51C-672.66",THACUKID117100100094TRDU,"Vải manh PP trắng đục K.117.5cm, MĐ: 10.0x10.0, kiểu dệt caro; TL: 94.0g/m [4000m/cuộn]",M,40237,3785.5,KG
7/3/2024,SIM07/24-004,SO2405-0049,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM ĐỨC,"Xk bán hàng ngày 03/07/2024,Xe 51C-672.66",THACUKID098100100078TRDU,"Vải manh PP trắng đục K.98.5cm, MĐ: 10.0x10.0, kiểu dệt caro; TL: 78.8g/m [4000m/cuộn]",M,20001,1585,KG
7/3/2024,SIM07/24-004,SO2405-0049,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM ĐỨC,"Xk bán hàng ngày 03/07/2024,Xe 51C-672.66",THACUKID117100100094TRDU,"Vải manh PP trắng đục K.117.5cm, MĐ: 10.0x10.0, kiểu dệt caro; TL: 94.0g/m [4000m/cuộn]",M,39783,3732.5,KG
