Chứng từ,Ngày tạo,Số chứng từ,Diễn giải,Vật tư,Tên vật tư,Kho,Đơn vị tính (1),SL 1,Đơn vị tính (2),SL 2,Giá,Tiền vốn,Tk Nợ,Tk Có,Đối tượng,Nhân viên,Phân xưởng,Bộ phận,Đơn hàng/Hợp đồng bán,Lệnh sản xuất,Công đoạn,Trung tâm chi phí,Sản phẩm,Mã vụ việc,Mã giao dịch
D1,7/1/2024,D107/24-0001,,0927600095000000,Chuyển mạch đảo chiều động cơ 3 pha Hanyoung HY-140R,KQC001,CAI,4,CAI,4,290000,1160000,1524,1524,NCC010053,,,,,,,,,,
D1,7/1/2024,D107/24-0002,,0902205101000000,Đèn côn trùng led 40cm,KQC001,CAI,5,CAI,5,1550000,7750000,1524,1524,NCC010053,,,,,,,,,,
D1,7/1/2024,D107/24-0003,,0903900170000000,Van điện từ khí nén 5 ngã ren trong 21mm.  JANATICS Model: DS267SC63.- PR.Rangge: 2-10Bar- Ports: G1/2.,KQC001,Cái,2,Cái,2,890000,1780000,1531,1531,NCC010053,,,,,,,,,,
D1,7/1/2024,D107/24-0004,,0902210550000000,Công tắc giật dây RP-RM83F-38LTE.,KQC001,CAI,4,CAI,4,1970000,7880000,1524,1524,NCC010053,,,,,,,,,,
D1,7/1/2024,D107/24-0005,,0908500410000000,Lô cao su phi 200 X 1150mm ( Gia công theo bản vẽ),KQC001,TRUC,1,TRUC,1,12479000,12479000,1524,1524,NCC010083,,,,,,,,,,
D1,7/1/2024,D107/24-0007,,5200107420000000,Chapati-48 lumut,KQC001,CM2,5190,CM2,5190,290,1505100,1522,1522,NCC010204,,,,,,,,,,
DC,7/1/2024,DC07/24-0001,Chuyển kho cuộn sang kho Kinh Doanh xuất Xe CTy KIM ĐỨC,THACUKID098100100078TRDU,"Vải manh PP trắng đục K.98.5cm, MĐ: 10.0x10.0, kiểu dệt caro; TL: 78.8g/m [4000m/cuộn]",KCU001,M,1567,KG,19969,867.27913,17318697,15517,15514,NCC010165,001306,,,SO2405-0049,,,,,,2260
DC,7/1/2024,DC07/24-0001,Chuyển kho cuộn sang kho Kinh Doanh xuất Xe CTy KIM ĐỨC,THACUKID117100100094TRDU,"Vải manh PP trắng đục K.117.5cm, MĐ: 10.0x10.0, kiểu dệt caro; TL: 94.0g/m [4000m/cuộn]",KCU001,M,3721,KG,39986,1684.89366,67372158,15517,15514,NCC010165,001306,,,SO2405-0049,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70CAMDW24.08A,"[08A] Bao TP-PP, màu cam, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 08A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,1733.5,KG,25380,1908.35465,48434041,15517,15515,KH020005,001306,,,SO2406-0004,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70CAMDW24.09A,"[09A] Bao TP-PP, màu cam, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 09A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,1072.5,KG,15300,1906.53451,29169978,15517,15515,KH020005,001306,,,SO2406-0004,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70CBTDW24.01B1,"[01B1] Bao TP-PP, cam biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 01B1. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,201.3,KG,3064,2311.07245,7081126,15517,15515,KH020005,001306,,,SO2406-0004,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70CBTDW24.01B2,"[01B2] Bao TP-PP, cam biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 01B2. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,66.4,KG,1000,3717.72,3717720,15517,15515,KH020005,001306,,,SO2406-0004,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70TDUDW24.08B,"[08B] Bao TP-PP, màu trắng đục, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 08B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,137.3,KG,2018,2552.00545,5149947,15517,15515,KH020005,001306,,,SO2406-0004,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70TDUDW24.10A,"[10A] Bao TP-PP, màu trắng đục, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 10A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,4057.7,KG,60630,1613.64445,97835263,15517,15515,KH020005,001306,,,SO2406-0004,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70VBTDW24.01A1,"[01A1] Bao TP-PP, vàng biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 01A1. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,2111,KG,30525,1827.70437,55790676,15517,15515,KH020005,001306,,,SO2406-0004,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70VBTDW24.07A,"[07A] Bao TP-PP, vàng biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 07A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,2089.3,KG,30444,1830.16256,55717469,15517,15515,KH020005,001306,,,SO2406-0004,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70XLBTDW24.10D,"[10D] Bao TP-PP, màu xanh lá biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 10D. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,141.7,KG,2050,1744.32,3575856,15517,15515,KH020005,001306,,,SO2406-0004,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70XLBTDW24.10E,"[10E] Bao TP-PP, màu  xanh lá biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 10E. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,140.5,KG,2050,1591.58488,3262749,15517,15515,KH020005,001306,,,SO2406-0004,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455068G067CAMDW24.04A,"[04A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng HDPE-K48x75x13g, TL: PP-52g + Dây-2g + PE-13g = 67g/bộ, MK: DW24 - 04A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,1610.4,KG,25428,984.73022,25039720,15517,15515,KH020005,001306,,,SO2406-0003,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455068G067CAMDW24.05A,"[05A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng HDPE-K48x75x13g, TL: PP-52g + Dây-2g + PE-13g = 67g/bộ, MK: DW24 - 05A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,1297.9,KG,20364,985.2774,20064189,15517,15515,KH020005,001306,,,SO2406-0003,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455068G067VACDW24.05B,"[05B] Bao TP-PP, màu vàng chanh, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng HDPE-K48x75x13g, TL: PP-52g + Dây-2g + PE-13g = 67g/bộ, MK: DW24 - 05B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,331.7,KG,5028,1677.40891,8434012,15517,15515,KH020005,001306,,,SO2406-0003,,,,,,2260
