Khách hàng,Đơn hàng,Số KHTK,LSX,Công đoạn,Mã thành phẩm,Mã công đoạn,Tên Công đoạn,Ngang,Dài,Trọng lượng,Mặt in,Màu,Số lượng đầu vào 1,Số lượng đầu vào 2,Ngày giao,Ngày SX,Ca,Máy,Tên CN,Đvt (1),Đvt (2),Đã SX số lượng 1,Đã SX số lượng 2,Phế số lượng 1,Phế số lượng 2
KH020024,SO2404-0032,MP24/05-023,LSX05/24-056,Công đoạn may viền miệng,0119128001000000,MMI036066G31.60TRUV.SMT,"Bao PP, trắng UV, K36x66PB(+/-1), có đục lỗ gần miệng, miệng gấp 1 lần/1 đường PP600D trắng, TL: 31.6g/cái.",0,0,1,,,0,0,5/31/2024,7/1/2024,N,1,,BAO,KG,10000,316,0,0
KH020024,SO2404-0032,MP24/05-023,LSX05/24-056,Công đoạn may viền miệng,0119128001000000,MMI036066G31.60TRUV.SMT,"Bao PP, trắng UV, K36x66PB(+/-1), có đục lỗ gần miệng, miệng gấp 1 lần/1 đường PP600D trắng, TL: 31.6g/cái.",0,0,1,,,0,0,5/31/2024,7/1/2024,N,1,,BAO,KG,7500,237,0,0
KH020024,SO2404-0032,MP24/05-023,LSX05/24-056,Công đoạn may viền miệng,0119128001000000,MMI036066G31.60TRUV.SMT,"Bao PP, trắng UV, K36x66PB(+/-1), có đục lỗ gần miệng, miệng gấp 1 lần/1 đường PP600D trắng, TL: 31.6g/cái.",0,0,1,,,0,0,5/31/2024,7/1/2024,N,1,,BAO,KG,3000,94.8,0,0
KH020024,SO2404-0032,MP24/05-023,LSX05/24-056,Công đoạn may viền miệng,0119128001000000,MMI036066G31.60TRUV.SMT,"Bao PP, trắng UV, K36x66PB(+/-1), có đục lỗ gần miệng, miệng gấp 1 lần/1 đường PP600D trắng, TL: 31.6g/cái.",0,0,1,,,0,0,5/31/2024,7/1/2024,N,1,,BAO,KG,5000,158,0,0
KH020024,SO2404-0032,MP24/05-023,LSX05/24-056,Công đoạn may viền miệng,0119128001000000,MMI036066G31.60TRUV.SMT,"Bao PP, trắng UV, K36x66PB(+/-1), có đục lỗ gần miệng, miệng gấp 1 lần/1 đường PP600D trắng, TL: 31.6g/cái.",0,0,1,,,0,0,5/31/2024,7/1/2024,N,1,,BAO,KG,5300,167.48,0,0
KH020024,SO2404-0032,MP24/05-023,LSX05/24-056,Công đoạn may viền miệng,0119128001000000,MMI036066G31.60TRUV.SMT,"Bao PP, trắng UV, K36x66PB(+/-1), có đục lỗ gần miệng, miệng gấp 1 lần/1 đường PP600D trắng, TL: 31.6g/cái.",0,0,1,,,0,0,5/31/2024,7/1/2024,N,1,,BAO,KG,4600,145.36,0,0
KH020024,SO2404-0032,MP24/05-023,LSX05/24-056,Công đoạn may viền miệng,0119128001000000,MMI036066G31.60TRUV.SMT,"Bao PP, trắng UV, K36x66PB(+/-1), có đục lỗ gần miệng, miệng gấp 1 lần/1 đường PP600D trắng, TL: 31.6g/cái.",0,0,1,,,0,0,5/31/2024,7/1/2024,N,1,,BAO,KG,2000,63.2,2,20
KH020024,SO2404-0032,MP24/05-023,LSX05/24-056,Công đoạn may viền miệng,0119128001000000,MMI036066G31.60TRUV.SMT,"Bao PP, trắng UV, K36x66PB(+/-1), có đục lỗ gần miệng, miệng gấp 1 lần/1 đường PP600D trắng, TL: 31.6g/cái.",0,0,1,,,0,0,5/31/2024,7/1/2024,N,1,,BAO,KG,2700,85.32,0,0
KH020024,SO2404-0032,MP24/05-023,LSX05/24-056,Công đoạn may viền miệng,0119128001000000,MMI036066G31.60TRUV.SMT,"Bao PP, trắng UV, K36x66PB(+/-1), có đục lỗ gần miệng, miệng gấp 1 lần/1 đường PP600D trắng, TL: 31.6g/cái.",0,0,1,,,0,0,5/31/2024,7/1/2024,N,1,,BAO,KG,6300,199.08,0,0
KH020024,SO2404-0032,MP24/05-023,LSX05/24-056,Công đoạn may viền miệng,0119128001000000,MMI036066G31.60TRUV.SMT,"Bao PP, trắng UV, K36x66PB(+/-1), có đục lỗ gần miệng, miệng gấp 1 lần/1 đường PP600D trắng, TL: 31.6g/cái.",0,0,1,,,0,0,5/31/2024,7/1/2024,N,1,,BAO,KG,4000,126.4,0,0
KH020024,SO2404-0032,MP24/05-023,LSX05/24-056,Công đoạn may viền miệng,0119128001000000,MMI036066G31.60TRUV.SMT,"Bao PP, trắng UV, K36x66PB(+/-1), có đục lỗ gần miệng, miệng gấp 1 lần/1 đường PP600D trắng, TL: 31.6g/cái.",0,0,1,,,0,0,5/31/2024,7/1/2024,N,1,,BAO,KG,3700,116.92,0,0
KH020024,SO2404-0032,MP24/05-023,LSX05/24-056,Công đoạn may viền miệng,0119128001000000,MMI036066G31.60TRUV.SMT,"Bao PP, trắng UV, K36x66PB(+/-1), có đục lỗ gần miệng, miệng gấp 1 lần/1 đường PP600D trắng, TL: 31.6g/cái.",0,0,1,,,0,0,5/31/2024,7/1/2024,N,1,,BAO,KG,1800,56.88,0,0
KH020024,SO2404-0032,MP24/05-023,LSX05/24-056,Công đoạn may viền miệng,0119128001000000,MMI036066G31.60TRUV.SMT,"Bao PP, trắng UV, K36x66PB(+/-1), có đục lỗ gần miệng, miệng gấp 1 lần/1 đường PP600D trắng, TL: 31.6g/cái.",0,0,1,,,0,0,5/31/2024,7/2/2024,N,1,,BAO,KG,4000,126.4,0,0
KH020024,SO2404-0032,MP24/05-023,LSX05/24-056,Công đoạn may viền miệng,0119128001000000,MMI036066G31.60TRUV.SMT,"Bao PP, trắng UV, K36x66PB(+/-1), có đục lỗ gần miệng, miệng gấp 1 lần/1 đường PP600D trắng, TL: 31.6g/cái.",0,0,1,,,0,0,5/31/2024,7/2/2024,N,1,,BAO,KG,5000,158,0,0
KH020024,SO2404-0032,MP24/05-023,LSX05/24-056,Công đoạn may viền miệng,0119128001000000,MMI036066G31.60TRUV.SMT,"Bao PP, trắng UV, K36x66PB(+/-1), có đục lỗ gần miệng, miệng gấp 1 lần/1 đường PP600D trắng, TL: 31.6g/cái.",0,0,1,,,0,0,5/31/2024,7/2/2024,N,1,,BAO,KG,2400,75.84,0,0
KH020024,SO2404-0032,MP24/05-023,LSX05/24-056,Công đoạn may viền miệng,0119128001000000,MMI036066G31.60TRUV.SMT,"Bao PP, trắng UV, K36x66PB(+/-1), có đục lỗ gần miệng, miệng gấp 1 lần/1 đường PP600D trắng, TL: 31.6g/cái.",0,0,1,,,0,0,5/31/2024,7/2/2024,N,1,,BAO,KG,3000,94.8,0,0
KH020024,SO2404-0032,MP24/05-023,LSX05/24-056,Công đoạn may viền miệng,0119128001000000,MMI036066G31.60TRUV.SMT,"Bao PP, trắng UV, K36x66PB(+/-1), có đục lỗ gần miệng, miệng gấp 1 lần/1 đường PP600D trắng, TL: 31.6g/cái.",0,0,1,,,0,0,5/31/2024,7/2/2024,N,1,,BAO,KG,2300,72.68,0,0
KH020024,SO2404-0032,MP24/05-023,LSX05/24-056,Công đoạn may viền miệng,0119128001000000,MMI036066G31.60TRUV.SMT,"Bao PP, trắng UV, K36x66PB(+/-1), có đục lỗ gần miệng, miệng gấp 1 lần/1 đường PP600D trắng, TL: 31.6g/cái.",0,0,1,,,0,0,5/31/2024,7/2/2024,N,1,,BAO,KG,3400,107.44,1,10
KH020024,SO2404-0032,MP24/05-023,LSX05/24-056,Công đoạn may viền miệng,0119128001000000,MMI036066G31.60TRUV.SMT,"Bao PP, trắng UV, K36x66PB(+/-1), có đục lỗ gần miệng, miệng gấp 1 lần/1 đường PP600D trắng, TL: 31.6g/cái.",0,0,1,,,0,0,5/31/2024,7/2/2024,N,1,,BAO,KG,1500,47.4,0,0
KH020024,SO2404-0032,MP24/05-023,LSX05/24-056,Công đoạn may viền miệng,0119128001000000,MMI036066G31.60TRUV.SMT,"Bao PP, trắng UV, K36x66PB(+/-1), có đục lỗ gần miệng, miệng gấp 1 lần/1 đường PP600D trắng, TL: 31.6g/cái.",0,0,1,,,0,0,5/31/2024,7/2/2024,N,1,,BAO,KG,2000,63.2,0,0
KH020024,SO2404-0032,MP24/05-023,LSX05/24-056,Công đoạn may viền miệng,0119128001000000,MMI036066G31.60TRUV.SMT,"Bao PP, trắng UV, K36x66PB(+/-1), có đục lỗ gần miệng, miệng gấp 1 lần/1 đường PP600D trắng, TL: 31.6g/cái.",0,0,1,,,0,0,5/31/2024,7/2/2024,N,1,,BAO,KG,3800,120.08,0,0
KH020024,SO2404-0032,MP24/05-023,LSX05/24-056,Công đoạn may viền miệng,0119128001000000,MMI036066G31.60TRUV.SMT,"Bao PP, trắng UV, K36x66PB(+/-1), có đục lỗ gần miệng, miệng gấp 1 lần/1 đường PP600D trắng, TL: 31.6g/cái.",0,0,1,,,0,0,5/31/2024,7/2/2024,N,1,,BAO,KG,3000,94.8,0,0
KH020024,SO2404-0032,MP24/05-023,LSX05/24-056,Công đoạn may viền miệng,0119128001000000,MMI036066G31.60TRUV.SMT,"Bao PP, trắng UV, K36x66PB(+/-1), có đục lỗ gần miệng, miệng gấp 1 lần/1 đường PP600D trắng, TL: 31.6g/cái.",0,0,1,,,0,0,5/31/2024,7/2/2024,N,1,,BAO,KG,2700,85.32,0,0
KH020024,SO2404-0032,MP24/05-023,LSX05/24-056,Công đoạn may viền miệng,0119128001000000,MMI036066G31.60TRUV.SMT,"Bao PP, trắng UV, K36x66PB(+/-1), có đục lỗ gần miệng, miệng gấp 1 lần/1 đường PP600D trắng, TL: 31.6g/cái.",0,0,1,,,0,0,5/31/2024,7/2/2024,N,1,,BAO,KG,1200,37.92,0,0
KH020024,SO2404-0032,MP24/05-023,LSX05/24-056,Công đoạn may viền miệng,0119128001000000,MMI036066G31.60TRUV.SMT,"Bao PP, trắng UV, K36x66PB(+/-1), có đục lỗ gần miệng, miệng gấp 1 lần/1 đường PP600D trắng, TL: 31.6g/cái.",0,0,1,,,0,0,5/31/2024,7/2/2024,N,1,,BAO,KG,600,18.96,0,0
