Mã số,Mặt hàng,Đơn vị tính 1,SL Đầu kỳ 1,Giá trị đầu kỳ 1,SL Nhập 1,Giá trị Nhập 1,SL Xuất 1,Giá trị xuất 1,SL Tồn 1,Giá trị tồn 1,Đơn vị tính 2,SL Đầu kỳ 2,SL Nhập 2,SL Xuất 2,SL Tồn 2
0901900330000000,BÁNH XE CAM NOVA6 - phi 52mm (Nova6 063506),Cái,768,31232853,218,0,180,6802351,806,24430502,Cái,768,218,180,806
0923800260000000,GỌNG THOI DƯỚI ( SHUTTLE GUIDE - P) Mã : 11158161610,CAI,14,1020236,0,0,0,0,14,1020236,CAI,14,0,0,14
918200030000000,Gạch ống,VIEN,0,0,4000,4200000,4000,4200000,0,0,VIEN,0,4000,4000,0
5300101040000000,Thước lá INOX - dài 300mm,CAI,1,30000,0,0,0,0,1,30000,CAI,1,0,0,1
HAT-TC-ADE50,Hạt taical kéo sợi HDPE,KG,175,0,0,0,0,0,175,0,KG,175,0,0,175
0913200011000000,SIKATEX,KG,0,0,10,920000,10,920000,0,0,KG,0,10,10,0
0913000011000000,Silicon A300 (màu xám),CHAI,0,0,40,2800000,40,2800000,0,0,CHAI,0,40,40,0
0905500480000000,Sắt kẽm H30x60 (1.4 ly),CAY,0,0,199,40365000,97,19695000,102,20670000,CAY,0,199,97,102
0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",KG,1000,40773828,4000,166000000,3543.8,126774290,1456.2,79999538,Cuộn,100,400,354.38,145.62
0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,KG,90,2025000,0,0,20,450000,70,1575000,CUON,9,0,2,7
0500100060000000,"Dây đai nẹp xấp nhỏ, màu vàng, K12.0mm, TL: 6.0g/m.",KG,400,10709091,200,5451515,400,10757576,200,5403030,CUON,40,20,40,20
0500100080000000,"Dây đai ép kiện PET, màu xanh lá, K15.5mm, dày 0.6mm, bề mặt dập nổi, tension >350kgF, 20kg/cuộn.",KG,71.24,5663580,220,5544000,180,8073030,111.24,3134550,CUON,3.56,11,9,5.56
5200108430000000,Dongwon 88-A,CM2,0,0,4588,1330520,2294,665260,2294,665260,CM2,0,4588,2294,2294
5200108726000000,GARDENIA BRUNEL,CM2,0,0,4,0,4,0,0,0,CM2,0,4,4,0
5200108727000000,RED HORSE EX,CM2,0,0,4,0,4,0,0,0,CM2,0,4,4,0
5200108734000000,RAMA ROTI CANAL,CM2,0,0,8,0,8,0,0,0,CM2,0,8,8,0
5300101541000000,Tro trấu,BAO,0,0,20,200000,20,200000,0,0,BAO,0,20,20,0
5300101542000000,Sơ dừa,BAO,150,3150000,0,0,150,3150000,0,0,BAO,150,0,150,0
5200100130000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 127cm (+1), độ bền nén: >=270kgF/100mm.",KG,533.395,14999860,12801.62,360000000,10636.84,299123299,2698.175,75876561,ONG,120,2880,2393,607
5200100167000000,"Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, chiều dài 115.0cm (+1.0), F(Min) = 270kgF/100mm.",KG,312.8,36754000,0,0,0,0,312.8,36754000,ONG,85,0,0,85
5200100030000000,"Nắp chụp nhựa, dùng cho ống giấy 3-inch, TL: 30g/cái.",KG,2.4,0,2025,0,1368.5,0,658.9,0,CAI,0,58100,39350,18750
9045002450000000,"Ống nhựa PVC đường kính trong 16mm, dày 2mm, trắng trong. TL: 100g/m",KG,6.48,648200,41.4,2526880,37.35,2434174,10.53,740906,M,64.82,414,373.54,105.28
5200107410000000,GJ- Thạch Hồng,CM2,4597,1333130,4597,1333130,9194,2666260,0,0,CM2,4597,4597,9194,0
5200107420000000,Chapati-48 lumut,CM2,5190,1505100,5190,1505100,10380,3010200,0,0,CM2,5190,5190,10380,0
5200107430000000,Dongwon Màu Xanh,BO,0,0,78974,27640480,78990,33616800,-16,-5976320,BO,0,78974,78990,-16
5200107430000000,Dongwon Màu Xanh,BO,0,0,16,5976320,0,0,16,5976320,Bộ,0,16,0,16
020020021,"Ống giấy mới, dài 202cm(+2/-0), ĐK trong: 76.0mm, Dày: 7.0-8.0mm, ĐK ngoài: 91.0mm, lực nén tối thiểu: 100kgF, TL: 3.0kg/ống(+/-0.2).",KG,4327.67,102967416,4470,89400000,6531,141364806,2266.67,51002610,ONG,1442.56,1490,2177,755.56
5200100050000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 113cm (-1), độ bền nén: >=270kgF/100mm.",KG,276.31,11471109,0,0,35.6,1477947,240.71,9993162,ONG,64,0,9,55
