Ngày lập đơn,Số yêu cầu,Diễn giải,Yêu cầu mua hàng,Đơn đặt hàng,Mã mặt hàng,Tên mặt hàng,Đơn vị tính 1,Hệ số,Đơn vị tính 2,Số lượng (1),Số lượng (2)
1/31/2024,LN01/24-119,Đặt khắc bản in cao su PO01/24-106.,PR24/01-103,PO01/24-106,5200107320000000,Yellow Horse,CM2,1,CM2,4179,4179
2/27/2024,LN02/24-078,Khắc bản in cao su PO02/24-045,PR24/02-041,PO02/24-045,5200104020000000,Xích Lô 40kg,CM2,1,CM2,8771,8771
1/9/2024,LN01/24-020,Đề xuất mua bảng micca ( giữ vệ sinh buồng Tolet) PO01/24-025.,PR24/01-027,PO01/24-025,0908100012000000,Xi măng thăng long,BAO,1,BAO,10,10
1/9/2024,LN01/24-019,VẬT TUWSUWAR CHỮA NHÀ VS X1 ( ANH HỢI) PO01/24-002/003.,PR24/01-004,PO01/24-002,0908100011000000,xi măng sao mai,BAO,1,BAO,15,15
1/30/2024,LN01/24-112,Vật tưu xây bo cây cảnh và sửa dường ống nước ( A HỢI) PO01/24-028/040/105.,PR24/01-100,PO01/24-105,0908100011000000,xi măng sao mai,BAO,1,BAO,15,15
1/30/2024,LN01/24-112,Vật tưu xây bo cây cảnh và sửa dường ống nước ( A HỢI) PO01/24-028/040/105.,PR24/01-035,PO01/24-040,0908100011000000,xi măng sao mai,BAO,1,BAO,6,6
2/3/2024,LN02/24-028,"MUA VẬT TƯ LÀM NHÀ RÁC THẢI NGUY HẠI VÀ KHUÔN VIÊN , MÁI CHE X7 PO01/24-003/028 VÀ PO005/105.",PR24/01-030,PO01/24-028,0908100011000000,xi măng sao mai,BAO,1,BAO,10,10
1/4/2024,LN01/24-003,"ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG CHIN PLASITIC, UNIPACK (SO2401-0001+SO2310-0052) ĐỀ NGHỊ NK THEO SL THỰC NHẬN 02 MÃ MỰC XANH LÁ/XANH TÍM.",PR24/01-009,PO01/24-007,MDM-FL79,Xanh Lá 79 FL,KG,1,KG,25,25
1/22/2024,LN01/24-061,"ĐẶT MỰC IN ĐƠN HÀNG SARAWAK, 66 MFM (SO2311-0048, SO2401-0007) PO01/24-058",PR24/01-055,PO01/24-058,MDM-FL79,Xanh Lá 79 FL,KG,1,KG,50,50
1/26/2024,LN01/24-102,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG KCP VÀ CHINA (SO2312-0011+SO2401-0002) PO01/24-089. ĐỀ NGHỊ NK THEO SL THỰC NHẬN MỰC IN XANH TÍM Blue C : 375 kg thực nhận),PR24/01-086,PO01/24-089,MDM-FL79,Xanh Lá 79 FL,KG,1,KG,25,25
1/17/2024,LN01/24-046,ĐẶT MỤC IN GIÁN TIẾP ĐƠN HÀNG CHINA SO2401-0001 + MFM PO01/24-051,PR24/01-049,PO01/24-051,MDM-FL348GT,Xanh lá 348C gián tiếp,KG,1,KG,128,128
1/24/2024,LN01/24-079,ĐẶT MỰC IN GIÁN TIẾP ĐƠN HÀNG CHINA (SO2401-0002) PO01/24-070 ĐỀ NGHỊ NHẬP KHO  02 MÃ XANH LÁ XANH DƯƠNG THEO SỐ THỰC NHẬN),PR24/01-071,PO01/24-070,MDM-FL348GT,Xanh lá 348C gián tiếp,KG,1,KG,94,94
1/4/2024,LN01/24-003,"ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG CHIN PLASITIC, UNIPACK (SO2401-0001+SO2310-0052) ĐỀ NGHỊ NK THEO SL THỰC NHẬN 02 MÃ MỰC XANH LÁ/XANH TÍM.",PR24/01-009,PO01/24-007,MDM-FL348,Xanh lá 348C,KG,1,KG,170,170
1/26/2024,LN01/24-102,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG KCP VÀ CHINA (SO2312-0011+SO2401-0002) PO01/24-089. ĐỀ NGHỊ NK THEO SL THỰC NHẬN MỰC IN XANH TÍM Blue C : 375 kg thực nhận),PR24/01-086,PO01/24-089,MDM-FL348,Xanh lá 348C,KG,1,KG,25,25
1/22/2024,LN01/24-066,ĐẶT MƯC IN GIÁN TIẾP ĐƠN HÀNG 66 MFM PO24/01-067.,PR24/01-064,PO01/24-067,MDM-FLXL3415CGT,Xanh Lá 3415C FL gián tiếp,KG,1,KG,75,75
2/2/2024,LN02/24-007,ĐẶT MỰC IN GIÁN TIẾP ĐƠN HÀNG MEKONG : PO02/24-002.,PR24/02-010,PO02/24-002,MDM-FLXL3415CGT,Xanh Lá 3415C FL gián tiếp,KG,1,KG,50,50
2/23/2024,LN02/24-054,ĐẶT MỰC IN GIÁN TIẾP ĐƠN HÀNG TƯ TRÚC SO2401-0042 PO02/24-027,PR24/02-026,PO02/24-027,MDM-FLXL3415CGT,Xanh Lá 3415C FL gián tiếp,KG,1,KG,100,100
3/4/2024,LN03/24-006,ĐẶT MỰC IN GIÁN TIẾP GẤP CHO ĐƠN HÀNG TƯ TRÚC SO2401-0042+ 48 LUMUT PO03/24-003,PR24/03-002,PO03/24-003,MDM-FLXL3415CGT,Xanh Lá 3415C FL gián tiếp,KG,1,KG,25,25
3/6/2024,LN03/24-016,ĐẶT MỰC IN GIÁN TIẾP ĐƠN HÀNG 66 PASIR - SO2401-0008 PO03/24-019.,PR24/03-019,PO03/24-019,MDM-FLXL3415CGT,Xanh Lá 3415C FL gián tiếp,KG,1,KG,50,50
3/26/2024,LN03/24-100,ĐẶT MỰC IN TRUC TIEP ĐƠN HÀNG MORINELA : SO2403-0043 PO03/24-066,PR24/03-061,PO03/24-066,MDM-FLXL3415CGT,Xanh Lá 3415C FL gián tiếp,KG,1,KG,100,100
1/9/2024,LN01/24-018,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG INTER + MEKONG (SO2401-0019+SO2401-0014) PO01/24-018,PR24/01-023,PO01/24-018,MDM-FLXL3415C,Xanh Lá 3415C FL,KG,1,KG,50,50
1/16/2024,LN01/24-042,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG INTER + MEKONG PO01/24-045/047.,PR24/01-041,PO01/24-045,MDM-FLXL3415C,Xanh Lá 3415C FL,KG,1,KG,25,25
