Ngày,Số chứng từ,Đơn hàng bán,Khách hàng,Diễn giải,Vật tư,Tên vật tư,Đơn vị tính 1,Só lượng (1),Số lượng (2),Đơn vị tính 2
1/4/2024,SIM01/24-001,SO2310-0034,CÔNG TY TNHH CHẾ BIẾN BỘT MỲ MÊ KÔNG,Xuất bán Bao ngày 04/1/2024-GIAO KH-XE 51C-67266,TPH073114G140MEK.POLA,"Bao TP-PP, trắng tẩy, K73x114.5PB (cm), TL: 140 (±3.0)g/cái, MK: Pollard - 50KG",Cái,16000,2291,KG
1/4/2024,SIM01/24-001,SO2310-0034,CÔNG TY TNHH CHẾ BIẾN BỘT MỲ MÊ KÔNG,Xuất bán Bao ngày 04/1/2024-GIAO KH-XE 51C-67266,TPH495805G079MEK.3BLR,"Bao TP-PP, trắng tẩy, K49.5x80.5PB (cm), TL: 79.0 (±3.0)g/cái, MK: 3-Blue Roses - 25KG [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài]",Cái,10000,792.5,KG
1/4/2024,SIM01/24-001,SO2310-0034,CÔNG TY TNHH CHẾ BIẾN BỘT MỲ MÊ KÔNG,Xuất bán Bao ngày 04/1/2024-GIAO KH-XE 51C-67266,TPH595935G114MEK.CF,"Bao TP-PP, trắng tẩy, K59.5x93.5PB (cm), TL: 114.0 (±3.0)g/cái, MK: CF - 40KG [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài]",Cái,10000,1170,KG
1/4/2024,SIM01/24-001,SO2310-0034,CÔNG TY TNHH CHẾ BIẾN BỘT MỲ MÊ KÔNG,Xuất bán Bao ngày 04/1/2024-GIAO KH-XE 51C-67266,TPH595935G114MEK.JP1,"Bao TP-PP, trắng tẩy, K59.5x93.5PB (cm), TL: 114.0 (±3.0)g/cái, MK: JP1 - 40KG [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài]",Cái,9500,1113.5,KG
1/4/2024,SIM01/24-002,SO2310-0033,SAN MIGUEL YAMAMURA WOVEN PRODUCTS SDN BHD,Xk bán hàng ngày 04/01/2024;Số cont : YMLU8907619 ;Số seal :YMAN666056; INV : 001,0102129003000000,"Vải manh PP, trắng đục, K127cm (Xẻ 2 hông thành 2 manh 127cm), MĐ: 7x7, TL: 76.0g/m. [4000 mét/cuộn]/THACUSMY127007007076TRDU",M,335874,25426,KG
1/4/2024,SIM01/24-003,SO2310-0033,SAN MIGUEL YAMAMURA WOVEN PRODUCTS SDN BHD,Xk bán hàng ngày 04/01/2024;Số cont :TEMU7625192;Số seal :YMAN666086; INV : 001,0102129003000000,"Vải manh PP, trắng đục, K127cm (Xẻ 2 hông thành 2 manh 127cm), MĐ: 7x7, TL: 76.0g/m. [4000 mét/cuộn]/THACUSMY127007007076TRDU",M,336391,25565.5,KG
1/4/2024,SIM01/24-004,SO2401-0016,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI KIÊN THẠNH,Xuất bán nhựa ngày 04/1/2024-GIAO KH-XE 61C-121.65,HAT-PPKC-GY130,Hạt nhựa PP kéo sợi - GY130,KG,5000,5000,KG
1/5/2024,SIM01/24-005,SO2312-0049,CÔNG TY TNHH INTERFLOUR VIỆT NAM,"Xk bán hàng ngày 05/01/2024,Xe 51C-67266",TPH050074G074INT.WHGL095,"Bao TP-PP, K50.0x74.0LL, TL: 74.0g/cái, MK: WHITE GLOBE 22.5KG - CODE 095 (2+0) (Mã KH: 5000470). [Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập]",Cái,5000,366.5,KG
1/5/2024,SIM01/24-005,SO2312-0049,CÔNG TY TNHH INTERFLOUR VIỆT NAM,"Xk bán hàng ngày 05/01/2024,Xe 51C-67266",TPH060085G102INT.VVBL019,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: VI VI BLUE PP 40KG - CODE 019 (1+0) (Mã: 5001103). [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",CAI,2000,208,KG
1/5/2024,SIM01/24-005,SO2312-0049,CÔNG TY TNHH INTERFLOUR VIỆT NAM,"Xk bán hàng ngày 05/01/2024,Xe 51C-67266",TPH060085INT.BRGL2.188,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: BROWN GLOBE-2 PP 40KG - CODE 188 (2+0) (Mã: 5000998). [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",Cái,5000,521.5,KG
