Mã,Ngày,Số chứng từ,Diễn giải,Vật tư,Tên vật tư,Đvt,Kho,Số lượng,Giá,Tiền vốn,Tk Nợ,Tk Có,Đối tượng,Nhân viên,Phân xưởng,Bộ phận,Đơn hàng/Hợp đồng bán,Lệnh sản xuất,Công đoạn,Trung tâm chi phí,Sản phẩm,Mã vụ việc,Mã giao dịch
D1,4/1/2024,D104/24-0001,,0902207850000000,Màn hình máy dệt CS. Model: TP04G-AS2 Power Input-24VDC-3.5W,CAI,KQC001,1,2200000,2200000,1524,1524,NCC010053,,,,,,,,,,
D1,4/1/2024,D104/24-0002,,0908400030000000,LAM CROMA,LUOI,KQC001,5000,1400,7000000,1524,1524,NCC010053,,,,,,,,,,
D1,4/1/2024,D104/24-0003,,0907101120000000,Motor Servo ECMA-C30807PS,CAI,KQC001,2,3500000,7000000,1524,1524,NCC010053,,,,,,,,,,
D1,4/1/2024,D104/24-0004,,0905500940000000,Sắt hộp tráng kẽm 30x60x1.8mm. - Dài 6000mm,CAY,KQC001,1,254510.93,254511,1524,1524,NCC010053,,,,,,,,,,
D1,4/1/2024,D104/24-0005,,0903900510000000,Van thau tay gạt phi 60mm.,CAI,KQC001,1,320000,320000,1524,1524,NCC010053,,,,,,,,,,
D1,4/1/2024,D104/24-0006,,0901300550000000,Bulong lục giác đầu tròn M18x50mm,CAI,KQC001,2,30000,60000,1524,1524,NCC010053,,,,,,,,,,
D1,4/1/2024,D104/24-0007,,0901100420000000,BẠC ĐẠN 6206,CAI,KQC001,30,62000,1860000,1524,1524,NCC010013,,,,,,,,,,
D1,4/1/2024,D104/24-0008,,0901101550000000,Bạc đạn SKF 6001-2Z( bít sắt),CAI,KQC001,500,23000,11500000,1524,1524,NCC010013,,,,,,,,,,
D1,4/1/2024,D104/24-0009,,0700100180000000,Dầu FUSHENG thùng 18 lít,THUNG,KQC001,2,4880000,9760000,1523,1523,NCC010074,,,,,,,,,,
D1,4/1/2024,D104/24-0010,,0908500530000000,LỌC KHÍ SA37A FUSHENG,CAI,KQC001,1,1470000,1470000,1524,1524,NCC010074,,,,,,,,,,
