Ngày SX,Tên máy,Ca,Tên TT,Tên TP,Đơn hàng,Số KHTK,LSX,Mã Sợi,Tên Sợi,Số lượng sợi yêu cầu,Số lượng phế theo bom,Số lượng sợi đạt,Số lượng sợi tạm nhập,Số lượng sợi phế,Số lượng sợi chênh lệch với KH,Số lượng phế chênh lệch với KH,Đánh giá % sợi,Đánh giá % phế,Đánh giá
4/10/2024,O01,Ngày,,,SO2403-0001,MP24/03-006,LSX02/24-033,SUI-TRANG,Sủi trắng,0,0,2770,0,0,-2770,0,,,Không đạt
4/10/2024,O01,Ngày,,,SO2404-0012,MP24/04-028,LSX04/24-030,SUI-TRANG,Sủi trắng,0,0,10710,0,0,-10710,0,,,Không đạt
4/11/2024,SOI1,Ngày,,,SO2312-0047,MP23/12-048,LSX12/23-055,SOI-RC3,"Sợi PP màu trắng đục, 940D, 2.50mm, 3.38KgF, 18%, long đền 5.5mm.",0,0,3113,0,5,-3113,-5,,,Không đạt
4/11/2024,SOI2,Ngày,,,SO2401-0046,MP24/01-055,LSX03/24-030,SOI-PR12-MI,"Sợi PP, trắng đục, 3.25mm, 670D. [15%] [MF5X]",0,0,1078,0,6,-1078,-6,,,Không đạt
4/11/2024,SOI2,Ngày,,,SO2312-0016,MP24/01-056,LSX03/24-066,SOI-PR23-MI02,"Sợi PP, 3.3mm, 710D, xanh dương. [EMH7016+MF4X/MF5X+20.5%Sủi xanh dương]",0,0,585,0,27,-585,-27,,,Không đạt
4/11/2024,SOI3,Ngày,,,SO2402-0017,MP24/02-018,LSX04/24-018,SOI-MA3-1,"Sợi PP, 880D, 2.91mm, trắng trong. [012Talc] [Cảnh báo: Không sử dụng sợi đồng cấp cho sợi này]",0,0,2488.7,0,11,-2488.7,-11,,,Không đạt
4/11/2024,SOI1,Đêm,,,SO2312-0047,MP23/12-048,LSX12/23-055,SOI-RC3,"Sợi PP màu trắng đục, 940D, 2.50mm, 3.38KgF, 18%, long đền 5.5mm.",0,0,446.8,0,20,-446.8,-20,,,Không đạt
4/11/2024,SOI1,Đêm,,,SO2404-0004,MP24/04-022,LSX04/24-022,SOI-MS01-1,"Sợi PP 820D bản chỉ 2.5 mm, trắng đục [Dùng MV8C]",0,0,2932.2,0,0,-2932.2,0,,,Không đạt
4/11/2024,SOI2,Đêm,,,SO2312-0016,MP24/01-056,LSX03/24-066,SOI-PR23-MI02,"Sợi PP, 3.3mm, 710D, xanh dương. [EMH7016+MF4X/MF5X+20.5%Sủi xanh dương]",0,0,379.3,0,35,-379.3,-35,,,Không đạt
4/11/2024,SOI2,Đêm,,,SO2312-0016,MP24/01-056,LSX03/24-066,SOI-PR24-MI02,"Sợi PP, 3.3mm, 710D, màu đen. [Giảm MF4X]",0,0,1351.9,0,100,-1351.9,-100,,,Không đạt
4/11/2024,SOI3,Đêm,,,SO2402-0017,MP24/02-018,LSX04/24-018,SOI-MA3-1,"Sợi PP, 880D, 2.91mm, trắng trong. [012Talc] [Cảnh báo: Không sử dụng sợi đồng cấp cho sợi này]",0,0,2750.1,0,6,-2750.1,-6,,,Không đạt
4/11/2024,SOI7,Ngày,,,SO2403-0007,MP24/03-017,LSX03/24-023,SOI-SMY2,"Sợi PP denier 950D , bản chỉ 3.33mm (khách hàng San Miguel )",0,0,3545,0,0,-3545,0,,,Không đạt
4/11/2024,SOI8,Ngày,,,SO2403-0021,MP24/03-031,LSX03/24-022,SOI-MK13-1,"Sợi PP, trắng tẩy, 830D, 2.6mm (cũ 2.50mm).(dùng hạt tẩy)",0,0,4735,0,30,-4735,-30,,,Không đạt
4/12/2024,SOI7,Đêm,,,SO2403-0007,MP24/03-017,LSX03/24-023,SOI-SMY2,"Sợi PP denier 950D , bản chỉ 3.33mm (khách hàng San Miguel )",0,0,4299.6,0,14,-4299.6,-14,,,Không đạt
4/12/2024,SOI8,Đêm,,,SO2404-0009,MP24/04-025,LSX04/24-032,SOI-TOP03,"Sợi PP trắng đục 660D, bản sợi 2.25 [Dùng MV8C]",0,0,983.1,0,60,-983.1,-60,,,Không đạt
4/12/2024,SOI8,Đêm,,,SO2403-0010,MP24/03-019,LSX03/24-039,SOI-GL16-4,"Sợi PP, trắng đục, 850D, 2.91mm. [22.7TC] [No Recycled]",0,0,2190.6,0,30,-2190.6,-30,,,Không đạt
4/12/2024,SOI8,Đêm,,,SO2403-0042,MP24/04-004,LSX04/24-014,SOI-SMY1,"Sợi PP denier 940D, bản chỉ 2.91mm (KH Sanmiguel)",0,0,823,0,21,-823,-21,,,Không đạt
