Số đơn hàng,Mã sản phẩm,Tên sản phẩm,Công việc,Tên công việc,Mã nhóm,Mã mặt hàng,Tên mặt hàng,Đơn vị tính 1,Đơn vị tính 2,Số lượng (1),Số lượng (2)
SO2310-0001,0102107003000000,"Vải manh cuộn PP, trắng đục, K116cm, MĐ: 7x7, 900D, caro láng, TL: 66.0g/m. [5000m/cuộn]/THACUECL116070070066TRDU",02,Công đoạn tạo sợi,TPH-1551,SOI-ECL5-2,"Sợi PP, trắng đục, 850D, 3.33mm. [21.99%]",KG,KG,66.956999999999994,66.956999999999994
SO2310-0001,0102107003000000,"Vải manh cuộn PP, trắng đục, K116cm, MĐ: 7x7, 900D, caro láng, TL: 66.0g/m. [5000m/cuộn]/THACUECL116070070066TRDU",03,Công đoạn dệt,TPH-1552,0102107003000000,"Vải manh cuộn PP, trắng đục, K116cm, MĐ: 7x7, 900D, caro láng, TL: 66.0g/m. [5000m/cuộn]/THACUECL116070070066TRDU",M,KG,1000,66
SO2310-0002,HAT-PPKC,Hạt nhựa PP kéo sợi.,,,HAT_PP,HAT-PPKC,Hạt nhựa PP kéo sợi.,KG,KG,100000,100000
SO2310-0003,0102129004000000,"Vải manh PP, trắng đục, K127cm (Xẻ 2 hông thành 2 manh 127cm), MĐ: 8x8, TL: 86.9g/m. [4000 mét/cuộn]/THACUSMY127080080869TRDU",02,Công đoạn tạo sợi,TPH-1551,SOI-SMY1,"Sợi PP denier 940D, bản chỉ 2.91mm (KH Sanmiguel)",KG,KG,26452.5,26452.5
SO2310-0003,0102129005000000,"Vải manh PP, trắng đục, K127cm (Xẻ 2 hông thành 2 manh 127cm), MĐ: 10x8, TL: 97.9g/m. [4000 mét/cuộn]/THACUSMY127100008098TRDU",02,Công đoạn tạo sợi,TPH-1551,SOI-SMY1-1,"Sợi PP denier 940D, bản chỉ 2.91mm (KH Sanmiguel)",KG,KG,4413.8,4413.8
SO2310-0003,0102129005000000,"Vải manh PP, trắng đục, K127cm (Xẻ 2 hông thành 2 manh 127cm), MĐ: 10x8, TL: 97.9g/m. [4000 mét/cuộn]/THACUSMY127100008098TRDU",02,Công đoạn tạo sợi,TPH-1551,SOI-SMY3-1,"Sợi PP, trắng đục, 950D, 2.50mm.",KG,KG,5518.2,5518.2
SO2310-0003,0102129004000000,"Vải manh PP, trắng đục, K127cm (Xẻ 2 hông thành 2 manh 127cm), MĐ: 8x8, TL: 86.9g/m. [4000 mét/cuộn]/THACUSMY127080080869TRDU",03,Công đoạn dệt,TPH-1552,0102129004000000,"Vải manh PP, trắng đục, K127cm (Xẻ 2 hông thành 2 manh 127cm), MĐ: 8x8, TL: 86.9g/m. [4000 mét/cuộn]/THACUSMY127080080869TRDU",M,KG,300000,26100
SO2310-0003,0102129005000000,"Vải manh PP, trắng đục, K127cm (Xẻ 2 hông thành 2 manh 127cm), MĐ: 10x8, TL: 97.9g/m. [4000 mét/cuộn]/THACUSMY127100008098TRDU",03,Công đoạn dệt,TPH-1552,0102129005000000,"Vải manh PP, trắng đục, K127cm (Xẻ 2 hông thành 2 manh 127cm), MĐ: 10x8, TL: 97.9g/m. [4000 mét/cuộn]/THACUSMY127100008098TRDU",M,KG,100000,9790
SO2310-0004,TPH495805G079MEK.BMSP9,"Bao TP-PP, trắng tẩy, K49.5x80.5PB (cm), TL: 79g/cái, MK: Bột mì chuyên dụng đặc biệt SP9 (3+2) [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài]",02,Công đoạn tạo sợi,TPH-1551,SOI-MK12,"Sợi PP, trắng tẩy, 970D, 2.50mm (cũ 990D).",KG,KG,0.79862,0.79862
SO2310-0004,TPH595935G114MEK.BMXL,"Bao TP-PP, trắng tẩy, K59.5x93.5PB (cm), TL: 114.0g/cái, MK: Bột mì chuyên dụng xích lô (4+2) [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài]",02,Công đoạn tạo sợi,TPH-1551,SOI-MK12,"Sợi PP, trắng tẩy, 970D, 2.50mm (cũ 990D).",KG,KG,1.1579200000000001,1.1579200000000001
SO2310-0004,TPH073114G140MEK.CATI,"Bao TP-PP, trắng tẩy, K73x114.5PB (cm), TL: 140g/cái, MK: Cám tinh (1+1)",02,Công đoạn tạo sợi,TPH-1551,SOI-MK13,"Sợi PP, trắng tẩy, 850D, 2.50mm.",KG,KG,1.42445,1.42445
SO2310-0004,TPH595935G114MEK.BMXL,"Bao TP-PP, trắng tẩy, K59.5x93.5PB (cm), TL: 114.0g/cái, MK: Bột mì chuyên dụng xích lô (4+2) [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài]",03,Công đoạn dệt,TPH-1552,THACAMEK595100110116TRDU,"Vải cuộn PP trắng đục có tẩy khổ 59.5cm, MĐ: 10.0x11.0, dọc: caro khít, ngang: 2x1; TL: 116.3g/m",M,KG,9.8237000000000005,1.142496
SO2310-0004,TPH073114G140MEK.CATI,"Bao TP-PP, trắng tẩy, K73x114.5PB (cm), TL: 140g/cái, MK: Cám tinh (1+1)",03,Công đoạn dệt,TPH-1552,THACAMEK073100110117TRDU,"Vải cuộn PP trắng đục có tẩy khổ 73.0cm, MĐ: 10.0x11.0, dọc: caro khít, ngang: 2x1; TL: 117.5g/m",M,KG,11.961499999999999,1.4054759999999999
SO2310-0004,TPH495805G079MEK.BMSP9,"Bao TP-PP, trắng tẩy, K49.5x80.5PB (cm), TL: 79g/cái, MK: Bột mì chuyên dụng đặc biệt SP9 (3+2) [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài]",03,Công đoạn dệt,TPH-1552,THACAMEK495100110092TRDU,"Vải cuộn PP trắng đục có tẩy khổ 49.5cm, MĐ: 10.0x11.0, dọc: caro khít, ngang: 2x1; TL: 92.7g/m",M,KG,8.5002999999999993,0.78797799999999996
SO2310-0004,TPH073114G140MEK.CATI,"Bao TP-PP, trắng tẩy, K73x114.5PB (cm), TL: 140g/cái, MK: Cám tinh (1+1)",15,Công đoạn cắt may tự động,BAO,CMA073114G139TD.MEK,"Bao PP, trắng đục K73.0x114.5PB (cm); TL: 139.0g/cái. Cắt thẳng 117.5cm , đáy gấp 1 lần may 2 đường PP900D màu trắng",Cái,KG,10,1.39
SO2310-0004,TPH495805G079MEK.BMSP9,"Bao TP-PP, trắng tẩy, K49.5x80.5PB (cm), TL: 79g/cái, MK: Bột mì chuyên dụng đặc biệt SP9 (3+2) [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài]",15,Công đoạn cắt may tự động,BAO,CMA495805G078TD.MEK,"Bao PP, trắng đục K49.5x80.5PB (cm); TL: 78.0g/cái. Cắt thẳng 83.5cm , đáy gấp 1 lần may 2 đường PP900D màu trắng",Cái,KG,10,0.78
SO2310-0004,TPH595935G114MEK.BMXL,"Bao TP-PP, trắng tẩy, K59.5x93.5PB (cm), TL: 114.0g/cái, MK: Bột mì chuyên dụng xích lô (4+2) [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài]",15,Công đoạn cắt may tự động,BAO,CMA595935G113TD.MEK,"Bao PP, trắng đục K59.5x93.5PB (cm); TL: 113.0g/cái. Cắt thẳng 96.5cm , đáy gấp 1 lần may 2 đường PP900D màu trắng",Cái,KG,10,1.13
SO2310-0004,TPH495805G079MEK.BMSP9,"Bao TP-PP, trắng tẩy, K49.5x80.5PB (cm), TL: 79g/cái, MK: Bột mì chuyên dụng đặc biệt SP9 (3+2) [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài]",34,Công đoạn ép kiện,TPH-1553,TPH495805G079MEK.BMSP9,"Bao TP-PP, trắng tẩy, K49.5x80.5PB (cm), TL: 79g/cái, MK: Bột mì chuyên dụng đặc biệt SP9 (3+2) [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài]",Cái,KG,10,0.8
SO2310-0004,TPH595935G114MEK.BMXL,"Bao TP-PP, trắng tẩy, K59.5x93.5PB (cm), TL: 114.0g/cái, MK: Bột mì chuyên dụng xích lô (4+2) [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài]",34,Công đoạn ép kiện,TPH-1553,TPH595935G114MEK.BMXL,"Bao TP-PP, trắng tẩy, K59.5x93.5PB (cm), TL: 114.0g/cái, MK: Bột mì chuyên dụng xích lô (4+2) [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài]",Cái,KG,10,1.175
SO2310-0004,TPH073114G140MEK.CATI,"Bao TP-PP, trắng tẩy, K73x114.5PB (cm), TL: 140g/cái, MK: Cám tinh (1+1)",34,Công đoạn ép kiện,TPH-1553,TPH073114G140MEK.CATI,"Bao TP-PP, trắng tẩy, K73x114.5PB (cm), TL: 140g/cái, MK: Cám tinh (1+1)",Cái,KG,10,1.355
SO2310-0005,THACUTAU670080080087TD35,"Vải cuộn PP dệt lồng HDPE, trắng đục, K67.0cm, MĐ: 8.0x8.0, TL: 87(PP) + 38(PE) = 125.0g/m.",02,Công đoạn tạo sợi,TPH-1551,SOI-GL16-3,"Sợi PP, trắng đục, 880D, 2.91mm. [22.7TC] [No Recycled]",KG,KG,7054,7054
SO2310-0005,THACUTAU670080080087TRDU,"Vải cuộn PP dệt lồng HDPE, trắng đục, K67.0cm, MĐ: 8.0x8.0, TL: 87(PP) + 28(PE) = 115.0g/m.",02,Công đoạn tạo sợi,TPH-1551,SOI-GL16-3,"Sợi PP, trắng đục, 880D, 2.91mm. [22.7TC] [No Recycled]",KG,KG,9699.25,9699.25
SO2310-0005,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",02,Công đoạn tạo sợi,TPH-1551,SOI-TP14-1,"Sợi PP, màu trắng đục, 820D, 3.0mm.",KG,KG,12423.566999999999,12423.566999999999
SO2310-0005,THACUTAU670080080087TD35,"Vải cuộn PP dệt lồng HDPE, trắng đục, K67.0cm, MĐ: 8.0x8.0, TL: 87(PP) + 38(PE) = 125.0g/m.",03,Công đoạn dệt,TPH-1552,THACUTAU670080080087TD35,"Vải cuộn PP dệt lồng HDPE, trắng đục, K67.0cm, MĐ: 8.0x8.0, TL: 87(PP) + 38(PE) = 125.0g/m.",M,KG,80000,10000
SO2310-0005,THACUTAU670080080087TRDU,"Vải cuộn PP dệt lồng HDPE, trắng đục, K67.0cm, MĐ: 8.0x8.0, TL: 87(PP) + 28(PE) = 115.0g/m.",03,Công đoạn dệt,TPH-1552,THACUTAU670080080087TRDU,"Vải cuộn PP dệt lồng HDPE, trắng đục, K67.0cm, MĐ: 8.0x8.0, TL: 87(PP) + 28(PE) = 115.0g/m.",M,KG,110000,12650
SO2310-0005,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",03,Công đoạn dệt,TPH-1552,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",M,KG,157000,12246
SO2310-0005,THACUTAU670080080087TRDU,"Vải cuộn PP dệt lồng HDPE, trắng đục, K67.0cm, MĐ: 8.0x8.0, TL: 87(PP) + 28(PE) = 115.0g/m.",07,Công đoạn thổi túi (HDPE - LDPE-LLDPE),THA,HDPE0032-1,"Cuộn HDPE, K67.3cm, 28.0g/m, 25.0mic, trắng đục. [18.3TC]",M,KG,111484.89,3121.57692
SO2310-0005,THACUTAU670080080087TD35,"Vải cuộn PP dệt lồng HDPE, trắng đục, K67.0cm, MĐ: 8.0x8.0, TL: 87(PP) + 38(PE) = 125.0g/m.",07,Công đoạn thổi túi (HDPE - LDPE-LLDPE),THA,HDPE0034,"Cuộn HDPE, K67.3cm, 38.0g/m, 35.0mic, trắng đục.",M,KG,81080,3081.04
