Đơn hàng,KHSX,Khách hàng,Mã hàng,Tên hàng,Note,BOM,Loại hàng,Ngày giao,Tỉ lệ,Số lượng 1,Số lượng 2
SO2309-0066,MP23/10-001,Công Ty TNHH Sản Xuất Thương Mại Thái Anh,MLD455068G496TDSD.DW,"[MMLD] Bao PP, trắng đục + 4 sọc đỏ 1.5cm cách biên 1.5cm, K45.5x68.0PB, miệng 1 lần/may 1 đường Polyester + luồn dây cước xanh 130cm(cũ 125+/-4cm), TL: 49.6gr/cái, bao không in. [May miệng bỏ dây luồn vào bên trong]",KHTK MAY MIỆNG LUỒNG DÂY TỒN DONGWON,Version 1,BAO,10/6/2023,0.0496,600000,29760
SO2309-0066,MP23/10-001,Công Ty TNHH Sản Xuất Thương Mại Thái Anh,CMA455071G475TDSD.DW,"[Cắt, may đáy] Bao PP, màu trắng đục + 4 sọc đỏ 1.5cm cách biên 1.5cm, khổ 45.5x71PB(+/-1), cắt thẳng dài 76cm, bẻ đáy 2 lần may 1 đường PP1200D, TL: 47.5gr/cái.",KHTK MAY MIỆNG LUỒNG DÂY TỒN DONGWON,Version 1,BAO,10/6/2023,0.0496,600000,29760
SO2309-0066,MP23/10-001,Công Ty TNHH Sản Xuất Thương Mại Thái Anh,THACADOW455100110062TDSD,"Vải cuộn PP, trắng đục + 4 line ĐỎ 1.5cm cách biên 1.5cm, K45.5cm(+/-0.5), MĐ: 10.0x11.0, kiểu dệt 2x1/5x1 (cũ 3 xếp 1/dệt tự do), TL: 62.0g/m(+/-1.8).",KHTK MAY MIỆNG LUỒNG DÂY TỒN DONGWON,Version 1,BAO,10/6/2023,0.0496,600000,29760
SO2309-0066,MP23/10-001,Công Ty TNHH Sản Xuất Thương Mại Thái Anh,SOI-DTD-01-1,"Sợi PP, màu trắng, 720D, 2.60mm.",KHTK MAY MIỆNG LUỒNG DÂY TỒN DONGWON,Version 1,BAO,10/6/2023,0.0496,600000,29760
SO2309-0066,MP23/10-001,Công Ty TNHH Sản Xuất Thương Mại Thái Anh,SOI-PR25,"Sợi PP, màu đỏ, 710D, 3.3mm, 4.3kgF, 20%. (Đỏ EMH4022, cũ 750D)",KHTK MAY MIỆNG LUỒNG DÂY TỒN DONGWON,Version 1,BAO,10/6/2023,0.0496,600000,29760
SO2309-0066,MP23/10-001,Công Ty TNHH Sản Xuất Thương Mại Thái Anh,MLD455068G496CA00.DW,"[MMLD] Bao PP, màu cam, K45.5x68.0PB, miệng 1 lần/may 1 đường Polyester + luồn dây cước xanh 130cm(cũ 125+/-4cm), TL: 49.60g/cái, không in. [May miệng bỏ dây luồn vào bên trong]",KHTK MAY MIỆNG LUỒNG DÂY TỒN DONGWON,Version 1,BAO,10/6/2023,0.0496,400000,19840
SO2309-0066,MP23/10-001,Công Ty TNHH Sản Xuất Thương Mại Thái Anh,CMA455071G475CA00.DW,"[Cắt, may đáy] Bao PP, màu cam, K45.5x71PB, cắt thẳng 76.0cm, đáy 2 lần/1 đường PP1200D trắng, TL: 47.5gr/cái. [100cái/tép]",KHTK MAY MIỆNG LUỒNG DÂY TỒN DONGWON,Version 1,BAO,10/6/2023,0.0496,400000,19840
SO2309-0066,MP23/10-001,Công Ty TNHH Sản Xuất Thương Mại Thái Anh,THACADOW455100110062CA00,"Vải cuộn PP, màu cam, K45.5cm, dệt 3x1/tự do (dệt máy 6 thoi kiểu dệt 2x1/5x1), MĐ: 10.0x11.0, TL: 62.0g/m. [68gsm]",KHTK MAY MIỆNG LUỒNG DÂY TỒN DONGWON,Version 1,BAO,10/6/2023,0.0496,400000,19840
SO2309-0066,MP23/10-001,Công Ty TNHH Sản Xuất Thương Mại Thái Anh,SOI-DCA-01,"Sợi PP, màu cam, 710D, 2.60mm.",KHTK MAY MIỆNG LUỒNG DÂY TỒN DONGWON,Version 1,BAO,10/6/2023,0.0496,400000,19840
SO2310-0004,MP23/10-002,CÔNG TY TNHH CHẾ BIẾN BỘT MỲ MÊ KÔNG,TPH495805G079MEK.BMSP9,"Bao TP-PP, trắng tẩy, K49.5x80.5PB (cm), TL: 79g/cái, MK: Bột mì chuyên dụng đặc biệt SP9 (3+2) [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài]",MẪU MEKONG,Version 1,,10/5/2023,0.079,10,0.8
