Ngày SX,Tên máy,Ca,Tên TT,Tên TP,Đơn hàng,Số KHTK,LSX,Mã Sợi,Tên Sợi,Số lượng sợi yêu cầu,Số lượng phế theo bom,Số lượng sợi đạt,Số lượng sợi tạm nhập,Số lượng sợi phế,Số lượng sợi chênh lệch với KH,Số lượng phế chênh lệch với KH,Đánh giá % sợi,Đánh giá % phế,Đánh giá
45137,O01,Ngày,,,SO2308-0005,MP23/08-011,LSX07/23-079,HAT-SUIMAU(TAH00059),Tạo hạt sủi màu beige (TAH00059),0,0,2080,0,0,-2080,0,,,Không đạt
45119,O01,Ngày,,,SO2307-0024,MP23/07-030,LSX07/23-029,SUI-DEN,Sủi đen,0,0,3000,0,0,-3000,0,,,Không đạt
45194,O01,Ngày,,,SO2307-0024,MP23/07-030,LSX07/23-029,SUI-MAUCAM,Sủi màu CAM,0,0,1210,0,0,-1210,0,,,Không đạt
45143,O01,Ngày,Nguyễn Thanh Tùng,,SO2307-0024,MP23/07-030,LSX07/23-029,SUI-MAUCAM,Sủi màu CAM,0,0,1800,0,0,-1800,0,,,Không đạt
45146,O01,Ngày,Nguyễn Thanh Tùng,,SO2307-0024,MP23/07-030,LSX07/23-029,SUI-MAUCAM,Sủi màu CAM,0,0,800,0,0,-800,0,,,Không đạt
45150,O01,Ngày,,,SO2307-0024,MP23/07-030,LSX07/23-029,SUI-MAUCAM,Sủi màu CAM,0,0,2960,0,0,-2960,0,,,Không đạt
45134,O01,Ngày,,,SO2307-0024,MP23/07-030,LSX07/23-029,SUI-MAUCAM,Sủi màu CAM,0,0,1040,0,0,-1040,0,,,Không đạt
45119,O01,Ngày,,,SO2307-0024,MP23/07-030,LSX07/23-029,SUI-MAUDO,Sủi màu đỏ.,0,0,2040,0,0,-2040,0,,,Không đạt
45119,O01,Ngày,,,SO2307-0003,MP23/07-004,LSX07/23-005,SUI-TAPMAU,SỦI TẠP MÀU,0,0,2320,0,0,-2320,0,,,Không đạt
45121,O01,Ngày,,,SO2307-0003,MP23/07-004,LSX07/23-005,SUI-TAPMAU,Sủi tạp màu.,0,0,80,0,0,-80,0,,,Không đạt
45150,O01,Ngày,,,SO2307-0003,MP23/07-004,LSX07/23-005,SUI-TAPMAU,SỦI TẠP MÀU,0,0,560,0,0,-560,0,,,Không đạt
45152,O01,Ngày,,,SO2307-0003,MP23/07-004,LSX07/23-005,SUI-TAPMAU,SỦI TẠP MÀU,0,0,4160,0,0,-4160,0,,,Không đạt
45154,O01,Ngày,,,SO2307-0003,MP23/07-004,LSX07/23-005,SUI-TAPMAU,SỦI TẠP MÀU,0,0,2280,0,0,-2280,0,,,Không đạt
45194,O01,Ngày,,,SO2309-0028,MP23/09-031,LSX09/23-015,SUI-TRANG,Sủi trắng,0,0,1070,0,0,-1070,0,,,Không đạt
45196,O01,Ngày,,,SO2309-0028,MP23/09-031,LSX09/23-015,SUI-TRANG,Sủi trắng,0,0,1210,0,0,-1210,0,,,Không đạt
45196,O01,Ngày,,,SO2309-0054,MP23/09-063,LSX09/23-048,SUI-TRANG,Sủi trắng,0,0,6390,0,0,-6390,0,,,Không đạt
45182,O01,Ngày,,,SO2307-0068,MP23/07-067,LSX07/23-068,SUI-TRANG,Sủi trắng,0,0,3480,0,0,-3480,0,,,Không đạt
45182,O01,Ngày,,,SO2309-0028,MP23/09-031,LSX09/23-015,SUI-TRANG,Sủi trắng,0,0,920,0,0,-920,0,,,Không đạt
45184,O01,Ngày,,,SO2309-0028,MP23/09-031,LSX09/23-015,SUI-TRANG,Sủi trắng,0,0,2240,0,0,-2240,0,,,Không đạt
45154,O01,Ngày,,,SO2307-0068,MP23/07-067,LSX07/23-068,SUI-TRANG,Sủi trắng,0,0,1960,0,0,-1960,0,,,Không đạt
45126,O01,Ngày,Nguyễn Thanh Tùng,,SO2307-0003,MP23/07-004,LSX07/23-005,SUI-TRANG,Sủi trắng,0,0,4560,0,0,-4560,0,,,Không đạt
45177,O01,Ngày,,,SO2307-0068,MP23/07-067,LSX07/23-068,SUI-TRANG,Sủi trắng,0,0,4600,0,0,-4600,0,,,Không đạt
45124,O01,Ngày,,,SO2307-0003,MP23/07-004,LSX07/23-005,SUI-TRANG,Sủi trắng,0,0,4240,0,0,-4240,0,,,Không đạt
45169,O01,Ngày,,,SO2307-0068,MP23/07-067,LSX07/23-068,SUI-TRANG,Sủi trắng,0,0,4200,0,0,-4200,0,,,Không đạt
45121,O01,Ngày,,,SO2307-0003,MP23/07-004,LSX07/23-005,SUI-TRANG,Sủi trắng,0,0,4080,0,0,-4080,0,,,Không đạt
45159,O01,Ngày,,,SO2307-0068,MP23/07-067,LSX07/23-068,SUI-TRANG,Sủi trắng,0,0,4480,0,0,-4480,0,,,Không đạt
45175,O01,Ngày,,,SO2307-0068,MP23/07-067,LSX07/23-068,SUI-TRANG,Sủi trắng,0,0,4600,0,0,-4600,0,,,Không đạt
45156,O01,Ngày,,,SO2307-0068,MP23/07-067,LSX07/23-068,SUI-TRANG,Sủi trắng,0,0,1960,0,0,-1960,0,,,Không đạt
45173,O01,Ngày,,,SO2307-0068,MP23/07-067,LSX07/23-068,SUI-TRANG,Sủi trắng,0,0,4600,0,0,-4600,0,,,Không đạt
45188,O01,Ngày,,,SO2309-0028,MP23/09-031,LSX09/23-015,SUI-TRANG,Sủi trắng,0,0,4560,0,0,-4560,0,,,Không đạt
45167,O01,Ngày,,,SO2307-0068,MP23/07-067,LSX07/23-068,SUI-TRANG,Sủi trắng,0,0,4400,0,0,-4400,0,,,Không đạt
45107,O01,Ngày,,,SO2307-0003,MP23/07-004,LSX07/23-005,SUI-TRANG,Sủi trắng,0,0,31040,0,0,-31040,0,,,Không đạt
45134,O01,Ngày,,,SO2307-0068,MP23/07-067,LSX07/23-068,SUI-TRANG,Sủi trắng,0,0,1240,0,0,-1240,0,,,Không đạt
45107,O01,Ngày,,,SO2307-0003,MP23/07-004,LSX07/23-005,SUI-TRANG,Sủi trắng,0,0,4360,0,0,-4360,0,,,Không đạt
