S? ch?ng t?;NgÖy t?o;Ng??i t?o;Lo?i k? ho?ch;Ghi ch£ 1;M? v?t t?;Tàn v?t t?;?vt 1;S? l??ng (1);HSQ?;?vt 2;S? l??ng (2);Ghi ch£ 2;M?c ?°ch s? d?ng;NgÖy s? d?ng
EP2305-0058;16/05/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2305-0011 - DONGWON
DÉy ?ai Çp ki?n mÖu vÖng";0500100020000000;DÉy ?ai Çp ki?n, mÖu vÖng, K15.0mm, TL: 10.0g/m.;CUON;10;0,01;KG;0,1;SO2305-0011;;23/06/2023
EP2305-0058;16/05/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2305-0011 - DONGWON
DÉy ?ai Çp ki?n mÖu vÖng";0500100020000000;DÉy ?ai Çp ki?n, mÖu vÖng, K15.0mm, TL: 10.0g/m.;CUON;10;0,01;KG;0,1;SO2305-0011;;07/07/2023
EP2305-0058;16/05/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2305-0011 - DONGWON
DÉy ?ai Çp ki?n mÖu vÖng";0500100020000000;DÉy ?ai Çp ki?n, mÖu vÖng, K15.0mm, TL: 10.0g/m.;CUON;10;0,01;KG;0,1;SO2305-0011;;21/07/2023
EP2305-0058;16/05/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2305-0011 - DONGWON
DÉy ?ai Çp ki?n mÖu vÖng";0500100020000000;DÉy ?ai Çp ki?n, mÖu vÖng, K15.0mm, TL: 10.0g/m.;CUON;6;0,01;KG;0,06;SO2305-0011;;04/08/2023
EP2306-0063;19/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2306-0035 - 48 LUMUT
SO2306-0035 - 48 LUMUT
SO2306-0036 - INTER";0500100020000000;DÉy ?ai Çp ki?n, mÖu vÖng, K15.0mm, TL: 10.0g/m.;CUON;1;10;KG;10;SO2306-0035 - 48 LUMUT;;23/06/2023
EP2307-0062;20/07/2023;Nguy?n D?ng Trung;Theo b? ph?n;"Ch? may PP 900D - DÉy ?ai Çp ki?n
SO2307-0038 - Inter
SO2307-0040 - 48 Lumut
SO2307-0041 - Inter";0500100020000000;DÉy ?ai Çp ki?n, mÖu vÖng, K15.0mm, TL: 10.0g/m.;CUON;2;10;KG;20;SO2307-0040 - 48 Lumut;;28/07/2023
EP2307-0075;26/07/2023;Nguy?n D?ng Trung;Theo b? ph?n;DONGWON;0500100020000000;DÉy ?ai Çp ki?n, mÖu vÖng, K15.0mm, TL: 10.0g/m.;Cu?n;10;1;KG;10;SO2305-0011;;27/07/2023
EP2307-0094;31/07/2023;Nguy?n D?ng Trung;Theo b? ph?n;DONGWON [SO T?NG];0500100020000000;DÉy ?ai Çp ki?n, mÖu vÖng, K15.0mm, TL: 10.0g/m.;Cu?n;10;1;KG;10;SO2307-0075 - DONGWON [SO T?NG];;03/08/2023
EP2308-0043;14/08/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2307-0075 - DONGWON - ??T SLCL
SO2308-0021 - KI?U V?N L?CH";0500100020000000;DÉy ?ai Çp ki?n, mÖu vÖng, K15.0mm, TL: 10.0g/m.;Cu?n;15;1;KG;15;;;16/08/2023
EP2308-0067;18/08/2023;Nguy?n D?ng Trung;Theo b? ph?n;HANWA - HARVEST - SANPOLY - HALSTON - T? TR?C - MATANG - DONGWON;0500100020000000;DÉy ?ai Çp ki?n, mÖu vÖng, K15.0mm, TL: 10.0g/m.;Cu?n;25;1;KG;25;;;23/08/2022
